channel,start_i,start_j,trend_corr,residual_corr
PM2.5,28052,28116,0.8920805477832758,0.04490693259715981
PM2.5,28244,33492,0.9465689222732452,-0.059172747403325225
PM2.5,28244,34068,0.8021745330918336,0.2684755035750791
PM2.5,28308,28820,0.8709851235715398,-0.307187624907273
PM2.5,28308,29204,0.8613027691845966,0.08429224719098617
PM2.5,28308,29780,0.8439131412449014,0.20567484964068883
PM2.5,28308,30548,0.9042546369321226,0.2905135567374891
PM2.5,28308,31892,0.8666971561979177,0.04094336510859656
PM2.5,28372,30932,0.8089584222835036,0.2423190398931121
PM2.5,28436,33236,0.8808098769372594,0.2249000040938615
PM2.5,28500,29076,0.9290422158851044,0.10792580736698001
PM2.5,28500,29140,0.8388801914790746,-0.13238541282221786
PM2.5,28500,29588,0.9090639004190253,-0.17374567460614032
PM2.5,28500,30164,0.9190325128033556,0.2095011060872276
PM2.5,28500,31380,0.878309054661957,-0.16576803993921424
PM2.5,28500,31636,0.9153947034416299,-0.031156902459384586
PM2.5,28500,31700,0.8764810735281806,-0.12453705821410453
PM2.5,28500,31828,0.8584291862089812,-0.19111236991238814
PM2.5,28500,31956,0.8536700278641952,-0.2121595044254359
PM2.5,28500,32212,0.8681313507851443,-0.09988628949888068
PM2.5,28500,32340,0.872854936420347,0.07630373940900005
PM2.5,28500,32724,0.819102462341867,-0.015399373732777716
PM2.5,28500,33108,0.873031424087452,0.16891324855976372
PM2.5,28500,33428,0.9117967854982766,0.023101128517715543
PM2.5,28500,33940,0.8922497941111248,-0.1449254062237971
PM2.5,28500,34196,0.8629350420966923,0.006902653342242184
PM2.5,28500,34324,0.8156845961884149,0.14620600255436578
PM2.5,28500,34772,0.9060377137571834,-0.12087590572417685
PM2.5,28692,30100,0.8818431646873471,-0.3239555464587798
PM2.5,28692,30868,0.8940072195027151,0.15362081684700643
PM2.5,28692,32020,0.8281154163292362,0.20334517988189915
PM2.5,28692,32596,0.8866327531701623,0.20173372825439617
PM2.5,28692,33172,0.9037010432575778,0.09807412587370329
PM2.5,28756,30420,0.841906673221834,-0.08954614413197155
PM2.5,28820,29204,0.8766154774704908,-0.1627237193822399
PM2.5,28820,30100,0.892494908211452,-0.16727085982117587
PM2.5,28820,30548,0.8889715180790646,-0.159917864737261
PM2.5,28820,30804,0.8358343717304813,-0.10075797983819511
