channel,start_i,start_j,trend_corr,residual_corr
PRES,32212,32916,0.9867632186967332,-0.0398712287197428
PM10,32084,34964,0.9866429716634352,-0.1114220678151865
PRES,31956,34772,0.979372042300171,-0.1245493055532111
DEWP,32212,32724,0.9753584950200064,0.0156814507959357
DEWP,30740,34964,0.9745967949701944,0.2001462493298121
PM2.5,33108,34324,0.9728425803219448,0.2129516726008173
CO,32212,32340,0.97281680511613,0.0014063077161938
PM2.5,31380,34772,0.9716925373846036,0.1134293544422648
PRES,28884,32788,0.9706670102533148,-0.184957424912628
PM2.5,29076,33428,0.969840266966144,0.0872710522204932
PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013
PM2.5,31828,32340,0.9687884169737784,0.2168772462432339
NO2,28820,34580,0.9683984369080368,0.0953066746304557
PM2.5,32084,34964,0.9683284324399982,0.046308060467045
DEWP,30164,33428,0.9678018270975768,0.0855131792700951
DEWP,34260,34836,0.9672545535316674,0.0823635811964959
CO,30740,34964,0.9666383963901396,0.2197892474522027
TEMP,32852,34580,0.965818546449394,0.1539980179546287
PM10,31700,32340,0.9625705764744452,-0.3133015932433064
NO2,33428,34772,0.9619981157977388,-0.197721175247037
CO,31572,32468,0.9617347635178064,0.1717458940550347
PM10,29588,33428,0.9605033976472516,-0.2791685673697612
CO,31380,32916,0.9604855148235304,0.1160588143760801
DEWP,29140,31188,0.9603795243609984,0.1146201769849391
WSPM,32788,32980,0.959702850927323,0.1343796594179757
CO,32276,32596,0.9563461517298932,0.2532212199830025
PRES,33492,33940,0.9551697381461552,0.2144151039096583
DEWP,31380,32916,0.954989587155973,0.1531962480941159
PM2.5,32788,33172,0.954804151530691,-0.1522677821779459
PRES,33108,34196,0.9538940679961816,-0.101807699081989
RAIN,31956,32276,0.953507690477341,0.1424507205745474
SO2,28628,33620,0.9524564623188206,0.1214337882795854
SO2,28308,29652,0.9522256439550985,0.2588760327813042
PM2.5,31956,33940,0.9512624332811542,0.2357637861110126
CO,32724,33428,0.95086448825152,0.0695549394913356
SO2,30420,34580,0.9497137187654372,-0.1076458220409073
DEWP,30676,32276,0.949193109822548,0.2463909562852625
PRES,30484,32724,0.9481385381401088,-0.5046092143275563
DEWP,29588,34196,0.946815299450874,-0.2067276432988422
PRES,30548,34836,0.9468008130152956,-0.024637207466527
O3,30100,30292,0.946688286151243,0.2880464387048996
WSPM,30420,33684,0.9459809068938572,-0.0322113816792445
RAIN,32020,33748,0.945387470918225,0.2267011198575805
SO2,29076,33428,0.9449773044702552,0.0179309521015021
PM2.5,28308,32980,0.9445264127796764,0.2181658189256189
CO,29716,29844,0.9433779685720836,-0.3947707551770809
PRES,29588,32020,0.940872720784514,-0.4522463794586383
DEWP,32788,32980,0.9407044584837326,0.2981132798067631
WSPM,28244,30740,0.9401965873283026,0.2120037885269211
NO2,29652,34452,0.93998465887199,-0.0693862248642698
PRES,31316,32596,0.9398510060667108,-0.2613965290549103
PM10,31828,31956,0.939842942671914,0.1623913538267469
PRES,31700,34708,0.9394238649542882,-0.1697633511536702
PM2.5,28244,33492,0.9369596642289052,-0.0974792361467816
DEWP,33620,34516,0.9369557179422708,0.0055531152643358
CO,33556,34324,0.936818875955243,0.2452526516905732
