channel,start_i,start_j,trend_corr,residual_corr
sw_in,19148,19724,0.9998512518553592,0.2719389552626427
ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419
swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055
ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052
sw_in,17932,19084,0.9990280559319732,0.2597812064578061
ppfd_in,16140,16716,0.999023446033096,0.1806019137420351
sw_in,16140,16716,0.9990234460330952,0.1806019137420369
swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486
vpd,17292,18444,0.9989439557027264,0.0503065478432536
swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883
swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434
swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877
rh,17292,18444,0.9980110823545014,0.0349938343905001
ta,16652,18956,0.9979379886581452,-0.4244458390898131
CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863
swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026
CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704
swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839
sw_in,17868,19020,0.9965498646428448,0.2414520775001709
ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708
sw_in,17292,18444,0.9965298686638432,0.0753537314623287
ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281
CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724
ta,18380,19660,0.9963098597362108,-0.0329389724092921
vpd,16076,18956,0.9962962529047882,-0.0523051669855552
swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961
CZE_LAN_Cbe_Jt_16,17804,18124,0.9960207056205304,0.2433423519379049
sw_in,18700,19276,0.9960051522096266,0.1416082433007063
ppfd_in,18700,19276,0.9960051522096264,0.1416082433007059
swc_shallow,17420,18572,0.9959196651266842,-0.1190178634519321
vpd,16140,16716,0.9958830253005176,0.1745308267487378
swc_shallow,15948,18828,0.995787078080987,0.2714393626573026
vpd,17164,18316,0.9957560656678944,0.0964706395169074
ppfd_in,17484,18636,0.9956230247936906,0.2046415474300183
sw_in,17484,18636,0.9956230247936904,0.2046415474300194
CZE_LAN_Cbe_Jt_16,17228,18828,0.9955771483863028,0.0183159210182785
ta,17292,18444,0.9955704264966196,-0.0317979526926053
swc_shallow,16268,19596,0.9954749550614016,-0.0894869445407765
ta,16780,17932,0.9954534623448138,-0.1615609205855275
swc_deep,16140,17292,0.995229586291172,0.2902568103602362
ta,16140,16716,0.9950096555339516,0.2132720190769561
sw_in,16652,18380,0.9949911378849838,0.0398827340423766
ppfd_in,16652,18380,0.9949911378849812,0.0398827340423772
swc_shallow,18060,18636,0.9949747097839904,0.2257416404934585
ta,17804,18252,0.9948477752740128,-0.2619340924166429
CZE_LAN_Cbe_Jt_16,16908,18636,0.994767497984248,0.2513256264159026
swc_shallow,18508,19084,0.994677422831239,-0.0625633573934806
ta,17164,18316,0.9946084531937204,0.1457273645582826
CZE_LAN_Cbe_Jt_16,17932,19660,0.9945924861864244,0.206534925927968
rh,16076,18956,0.9945538314836097,-0.1497243513514637
sw_in,17356,19660,0.994398984340124,0.2083821811342994
ppfd_in,17356,19660,0.9943989843401224,0.2083821811342997
swc_deep,16396,16524,0.9939476065272044,0.1560831387604662
rh,16140,16716,0.9938545196789774,0.0345792619290262
rh,18380,19084,0.9937484810598664,0.1660016028281284
ta,17356,18508,0.9937378400989,0.2605151997577403
vpd,16524,17804,0.9936553391541968,-0.0700294580076703
sw_in,16076,17228,0.9930965448906998,0.1615698352544191
ppfd_in,16076,17228,0.9930965448906977,0.1615698352544195
sw_in,17548,19852,0.9928017290895578,0.274390724773777
ppfd_in,17548,19852,0.9928017290895575,0.2743907247737763
rh,16460,17036,0.9926464533386083,0.2222710642957041
ta,17868,19020,0.9926424295519743,0.2396229872626139
swc_shallow,16076,18380,0.9925923529632774,0.1365955419145574
swc_deep,16460,18188,0.9920743337429326,0.0665170738897208
vpd,17228,18380,0.9917167655585613,0.1034073104620141
swc_shallow,16524,17100,0.9914983346744728,-0.2872774298124316
swc_deep,17036,18764,0.9912984833767604,0.0714261024642066
rh,17164,18316,0.990900828683672,0.138241649608711
rh,15948,19532,0.990863374812622,0.298189178979159
CZE_LAN_Cbe_Jt_16,16332,19788,0.9908194677727182,0.1646178038924238
ta,15948,16524,0.9906616845561164,0.17987997354286
swc_deep,16012,17164,0.9905431985268628,0.157268072709658
ta,17996,18572,0.9904356909014788,0.2574628602360097
swc_deep,19660,19788,0.990171602246353,0.207011417206577
CZE_LAN_Cbe_Jt_16,17868,18444,0.99014921019101,0.1599166636873268
CZE_LAN_Cbe_Jt_16,17292,19596,0.9900411848758268,0.1209366089160526
ta,17036,18188,0.989863441048534,0.2411422071422931
ppfd_in,16844,17420,0.9898523635953734,0.2858074389526137
sw_in,16844,17420,0.9898523635953734,0.2858074389526143
swc_shallow,17868,18444,0.9897686667185042,0.0611637283972655
swc_deep,18636,19212,0.9896459674607548,-0.210770069250271
vpd,16204,18508,0.9895649862659937,0.2759120048010753
vpd,17868,19020,0.9891078190932944,0.2687597168430026
vpd,16972,18700,0.9889085778537502,0.284365474549336
swc_shallow,18188,18764,0.9888622060378688,-0.0337463449854098
swc_shallow,16780,17804,0.9888028681903523,-0.0970162976644677
CZE_LAN_Cbe_Jt_16,15948,19852,0.9885067841550828,-0.0067426070402487
swc_deep,18444,18892,0.9881517775343444,-0.0702664717169064
CZE_LAN_Cbe_Jt_16,19084,19404,0.987826312822222,-0.0583639388527004
rh,17804,18252,0.9875174916294148,-0.3001251787922174
vpd,16268,16844,0.9874307481168216,0.2671459869243358
swc_deep,16332,16908,0.987291706244924,0.2666928394084987
ppfd_in,18060,19212,0.9871798333612748,0.2863582186165402
sw_in,18060,19212,0.9871798333612742,0.2863582186165376
ta,17740,19468,0.9871330545951642,-0.0130754894416212
rh,18188,18764,0.986957152073874,0.0241429485799254
vpd,16460,17036,0.9869340687106422,0.2364462194054514
ta,16076,17228,0.9869009056789788,0.2469915406696109
swc_shallow,16460,17036,0.9866542316866314,0.1078594983673798
rh,17420,19148,0.9863224677358116,0.1764769206377355
swc_shallow,16396,19276,0.9860862257992864,-0.1409521588893833
swc_deep,17548,18380,0.9858198227124708,0.1019184048408536
rh,16652,17228,0.9849668930225112,0.2166125713933692
swc_shallow,16908,19212,0.9845163169192012,0.0675775759023945
ta,18124,18700,0.9831883524127928,0.2553596442427642
ppfd_in,16204,16780,0.9830080203403692,0.0272828749975219
sw_in,16204,16780,0.983008020340369,0.0272828749975217
CZE_LAN_Cbe_Jt_16,18060,19212,0.9829619720051308,0.0502728196037662
ta,16332,18636,0.9827324798371364,0.2669786605076447
CZE_LAN_Cbe_Jt_16,16396,18252,0.9825674493921728,0.124298679334121
ta,17100,19532,0.9821414620050238,0.1310396014833527
vpd,18188,18764,0.9815113530179828,-0.0634532713671019
CZE_LAN_Cbe_Jt_16,16204,17548,0.9813141228170416,-0.2163325488353142
vpd,15948,18252,0.9812760796931196,0.1084717123438179
CZE_LAN_Cbe_Jt_16,18316,18892,0.9812319660778496,0.2072987202032454
rh,16972,18700,0.9809616964354808,0.2743184005525218
ppfd_in,17164,18316,0.9807519330863144,0.2677154817153232
sw_in,17164,18316,0.980751933086314,0.2677154817153225
CZE_LAN_Cbe_Jt_16,16972,18700,0.9806135886298,-0.0283560802110753
swc_shallow,16204,17356,0.9805782256026172,0.2454683613903508
rh,16268,16844,0.980066844052007,0.0323109762235644
swc_shallow,19340,19788,0.9794895226166074,-0.1628232413174051
ta,16844,19148,0.9788526211050304,0.2738803711620615
CZE_LAN_Cbe_Jt_16,18188,18764,0.97857288078046,-0.0223348623602702
vpd,16652,19660,0.977615230789696,0.2368484279362144
rh,17484,18636,0.977563077559518,0.1919288737190791
rh,17868,19020,0.9764312678666728,0.0971785318049176
swc_deep,17932,19532,0.9760270783160504,0.0081444675503226
vpd,17100,18828,0.9758955415625886,-0.001167867994672
CZE_LAN_Cbe_Jt_16,16844,17740,0.9758828997446078,0.2330797784128438
vpd,17420,19148,0.9753810513752909,0.208688087552356
vpd,16012,18892,0.9745402809808502,0.153429498546281
vpd,16780,17932,0.9740709266240352,-0.0153951735381528
vpd,19468,19596,0.973204271582056,-0.0021268048048821
swc_deep,17740,19468,0.9727261159301978,0.0194187485145044
CZE_LAN_Cbe_Jt_16,19020,19468,0.9712133787430244,-0.0346636916925905
rh,16524,17100,0.9696823957098152,0.2046344110763843
sw_in,16908,19788,0.969665152904155,0.0314072436184761
ppfd_in,16908,19788,0.9696651529041548,0.0314072436184742
swc_deep,16716,19020,0.9695292895620534,0.0769752057209314
ppfd_in,17036,18188,0.968714203590428,0.2186980361748622
sw_in,17036,18188,0.968714203590428,0.2186980361748621
swc_shallow,16012,18316,0.9676215418269776,0.145748659308292
ta,16012,18892,0.9673354774276922,-0.0119786656221065
rh,17356,18508,0.9661693057121016,0.1479824538693084
ta,16396,19404,0.9660988085590884,0.2970575810005694
swc_deep,17484,18060,0.9658190827304862,-0.1089275868307236
rh,17740,18892,0.964264603009448,-0.0835535855130927
ppfd_in,16268,17740,0.9633685976637438,0.0829082786988129
sw_in,16268,17740,0.9633685976637434,0.0829082786988135
swc_deep,17996,19404,0.963189788879693,0.2192132356652235
ta,17484,18060,0.9622841547489402,0.2425082724159135
swc_deep,17612,19276,0.9608409083882156,0.1221912869115498
swc_shallow,17548,18252,0.9602596218939808,-0.0690226442744997
swc_deep,17356,19084,0.9595225379766492,-0.0107195997353177
vpd,17484,18636,0.9583087383408682,0.2160795612889316
rh,16396,19404,0.9554539579465584,0.2313780847873256
vpd,18124,19404,0.9544192749480256,0.2013534475893151
CZE_LAN_Cbe_Jt_16,17676,19276,0.954220010332416,0.1695531189116188
vpd,18060,19212,0.953422943165596,0.1103307227625522
vpd,16332,16908,0.9530789274849368,0.2933760007200264
swc_deep,18252,18700,0.949804425943342,-0.1802452801384496
swc_deep,16844,17420,0.949615769121579,0.196648451165711
rh,17996,19724,0.9494658448146428,0.1921174729698646
swc_shallow,18956,19660,0.94811411723605,0.0402418097666646
ppfd_in,17804,18956,0.946589470497959,0.0173845909983678
sw_in,17804,18956,0.9465894704979572,0.0173845909983679
rh,16908,19212,0.9461462425747836,-0.021255844745332
vpd,19084,19276,0.9456010160571054,0.0471148573114466
ta,16972,17548,0.9453519331221356,-0.0865558931137445
sw_in,19468,19596,0.9442796420331044,0.1533373720968086
ppfd_in,19468,19596,0.9442796420331044,0.1533373720968088
ta,16908,19212,0.9436716764281812,-0.0379768501601745
rh,17548,18828,0.9423988615871984,0.1768208169361143
rh,16204,19660,0.9423942110474391,0.1166958843361412
ta,16204,19788,0.9415446590104966,0.1649849558353955
ta,16268,19596,0.931301080764778,0.2165936261391814
swc_deep,17868,19596,0.9309203645725316,-0.1016682949616513
CZE_LAN_Cbe_Jt_16,16524,16780,0.9290538668070508,0.1347381628118021
swc_deep,18316,19340,0.928845357034998,-0.1154394901515503
ws,16460,17484,0.928650376616864,0.0426428048252831
rh,19468,19596,0.928252757842642,-0.0169656665639579
swc_deep,17804,19852,0.9271778227978396,0.0436850938261199
ws,17804,19404,0.9263000482165652,0.2527962472280987
rh,17612,18060,0.9256571416254832,-0.1126580982784235
swc_deep,15948,18124,0.9226146722388252,0.2255358671074079
CZE_LAN_Cbe_Jt_16,16140,17164,0.922016608139802,-0.0402649761822257
rh,19276,19852,0.9206697592841264,0.027983556312513
ppfd_in,16012,18892,0.9204216920221624,0.1832254722469294
sw_in,16012,18892,0.9204216920221616,0.1832254722469315
ws,16140,16716,0.9199341020430316,-0.0823522613629969
ws,16204,19084,0.9158568546593852,-0.0672784263940995
vpd,17356,19788,0.9147827144805342,-0.1357303209050092
ext_rad,16204,19788,0.9137916427300272,0.1684214900844748
ws,16524,18508,0.913322038572649,0.1821146725451604
swc_shallow,17228,19532,0.9129433446418134,0.2746646077356789
swc_shallow,17164,18892,0.9125174280891084,0.0350747842099586
rh,17932,19788,0.9111633159080575,0.2270710659943494
vpd,17548,19532,0.9086417336107716,-0.420759571291625
ext_rad,16076,17932,0.8973846589235599,0.2743877839498785
ws,17356,18316,0.8966263245987139,0.1554967168027666
ta,17676,18828,0.8944372053475113,0.1646269099437581
ext_rad,16652,18508,0.8942539684235847,0.2756062601888616
ext_rad,16780,19212,0.8940876352787128,0.1026659005092738
vpd,16396,19852,0.8906324135085577,0.2287726232935825
ext_rad,17228,19084,0.8905440119199979,0.275701364084667
swc_deep,16780,16972,0.8889386004531098,0.2514935997083664
ext_rad,17804,19660,0.8862382950721348,0.2748822970366201
ws,17676,19596,0.8799851714246814,0.1769543320330746
ext_rad,16268,19596,0.877951741147505,0.0656116493828183
ws,16268,19020,0.8761604031274328,0.133198484007667
ext_rad,17356,18636,0.8727147762942328,0.038501100179663
ext_rad,16844,19020,0.8719638642143427,0.0574371556909895
ws,17164,17932,0.8704843125597396,-0.0897665947064134
ws,16652,17036,0.8677794432277129,0.0604544683496362
ext_rad,17420,18444,0.8660171462214049,0.050300127567317
ws,16076,16396,0.8621932214598127,0.2119269158957377
ta,19084,19276,0.8608883116800057,-0.1378714732772678
swc_shallow,19148,19468,0.860806625174551,0.1315642576080919
swc_deep,16268,18572,0.8601579790598664,0.1165605121633782
ext_rad,17868,17996,0.859896186762389,0.0417898685735968
ws,16332,19788,0.8597706740865825,-0.1495897994779206
ws,17420,19276,0.8588384870451049,-0.0901864734262478
swc_shallow,17740,17932,0.8567066721609897,0.2241482923766209
ext_rad,17292,18572,0.8540213046199302,0.0361568559299194
ta,17420,19724,0.8532856115492906,0.1865424710450199
swc_deep,16076,18508,0.8516902134977734,0.1034774203377955
ppfd_in,16588,18572,0.8484092536774627,0.0988124514703709
sw_in,16588,18572,0.8484092536774626,0.0988124514703708
ext_rad,16716,19148,0.8475695219521038,0.0280904131089168
sw_in,16460,17612,0.8463251498880185,0.0834901706076446
ppfd_in,16460,17612,0.846325149888018,0.0834901706076428
swc_deep,17100,18828,0.843172073442216,-0.0573914313942947
ppfd_in,18508,19532,0.8418161063573482,0.0552723160347464
sw_in,18508,19532,0.8418161063573465,0.0552723160347455
ext_rad,16140,19724,0.841132135968655,0.020886491452495
rh,16012,19340,0.8394247995734399,0.2265658488828258
ws,17740,17996,0.8330714866798454,-0.0777364532275607
CZE_LAN_Cbe_Jt_16,16012,16716,0.8195248293128045,-0.1679151448242926
vpd,17740,19340,0.8128413394995442,0.035548231869621
CZE_LAN_Cbe_Jt_16,16460,17612,0.8107894849103877,0.0579212438471344
