channel,start_i,start_j,trend_corr,residual_corr
HULL,12864,13056,0.959037641821233,0.2237634618738912
OT,13056,13824,0.9426761864127728,0.1436291034175758
HULL,12288,12480,0.935269074657346,0.2673239575812737
OT,12032,12352,0.9298092508129354,-0.0485925852744507
MULL,12864,13056,0.922860945154761,0.2361467657994069
MULL,12160,12544,0.9220085746625858,0.2031108849218866
MUFL,12352,14336,0.9180700492251204,0.2360249742747449
MULL,11968,14336,0.9153408514350512,-0.0364875687835225
LULL,11904,13248,0.913440683597972,0.0948054579289701
HUFL,12352,14336,0.9102818593969182,0.1994834764370003
MULL,12352,13312,0.9062201900764724,0.2187420809590237
LULL,12288,12672,0.9019374196701532,0.2885559988525516
LULL,11840,13760,0.8952147485611228,0.124829749116463
MULL,12032,13184,0.8935518450834815,0.2910647830771676
HULL,11968,14336,0.8861122018558761,-0.0938538112760696
HULL,12160,12544,0.8790715318912513,0.2311966607821612
MUFL,12160,12544,0.8770018297996932,0.240749934110751
OT,12288,12480,0.8766234930449524,0.2332626004910761
MULL,12288,12672,0.8648718696997232,0.1725654273508581
OT,12096,12672,0.8625317445527627,-0.0279755504999184
OT,12224,12800,0.8577614901673843,0.2579300518785212
OT,11968,12544,0.8551246580790225,0.0818084157555757
LULL,12608,13184,0.8463099216887117,0.1140305595649016
HULL,12992,13184,0.8454247963577539,0.2661429973489239
LULL,14016,14208,0.8436219084189474,0.2849792557425824
OT,12736,13248,0.841230861862274,-0.1100245349339903
OT,13888,14080,0.8354409247624276,0.1882062733236474
OT,13568,13952,0.8352001586703125,0.1345604217009568
HULL,12352,13312,0.8210959019093999,0.153530959312678
OT,11520,13440,0.8176186243204544,0.0324999560249745
LULL,12800,12992,0.8089419486479401,0.2378306668822753
HUFL,12928,13760,0.8024935553509251,0.1457515385949888
LULL,13376,13888,0.8018398259145865,0.0488078196567237
HULL,12672,14272,0.8013398478403396,-0.2103680303317577
