channel,start_i,start_j,trend_corr,residual_corr
OT,54016,56320,0.9989138113646686,0.2012196711767137
LULL,54144,56960,0.998516713865728,0.2364601125725998
OT,50368,56512,0.9980042248633644,0.2934542110298186
OT,47488,47872,0.997415845073283,0.1586899847525221
OT,49984,53632,0.996789006758549,0.1844959390002493
OT,48000,53568,0.9960156518426004,0.2030293011886217
OT,52864,54976,0.995918619560946,0.1986393601054941
OT,50496,52416,0.9958030392516988,0.2753552297203792
OT,51904,56704,0.9952838470584174,0.1895493485715718
OT,47296,53824,0.9944151759820952,0.2319127252535049
MUFL,50304,54720,0.9922728510174276,0.2652081367073156
OT,54592,57536,0.9914831133153776,-0.0551033547253773
LULL,51392,52928,0.99135580413269,0.2465730681292814
OT,49664,54464,0.9906011761905568,0.2102734169683665
MUFL,52864,54400,0.9905993503534756,0.007626730939294
OT,47424,50688,0.9899296104109994,0.2875389537147937
OT,49728,53376,0.9897491043980304,0.2669561102993336
MUFL,54976,56512,0.9895069503307916,0.0943653710791152
OT,46272,50304,0.9891230170320386,0.1850754831869936
OT,50880,56256,0.9886463575404514,0.133800853985501
OT,50176,57088,0.9881487983894652,0.1763725749765472
OT,47104,49600,0.9879779580946936,-0.0700375036153363
HUFL,52864,54592,0.9876388203068496,-0.0848527382636655
OT,55104,56448,0.9876242257007308,0.2145978920137469
OT,48064,49216,0.9874195663739964,0.1608698361994549
OT,49408,56896,0.9856316224791996,0.2898309323473735
OT,52800,53952,0.9854673051301596,0.115503811125216
HULL,55552,55936,0.9848265852437018,-0.1728787115308072
HUFL,54784,56896,0.9846712483829748,-0.1608277527150354
MUFL,48832,51136,0.9846359305882972,0.2249639397324668
HUFL,48832,51136,0.983958183282212,0.1480065327061083
LULL,46208,47360,0.9837004969310292,-0.3218476309632795
MUFL,50368,54208,0.9836732024827376,0.1990247399402826
OT,48576,54720,0.98360397091837,0.2231179171141428
OT,49472,49856,0.9827238162157632,0.238323547495339
HUFL,50560,54400,0.982326179579153,0.0495038784779204
OT,48448,50944,0.9819485199414144,0.2252199341894923
MUFL,51072,52992,0.9817906270554938,0.2366256137587951
OT,55168,55936,0.9814294823733576,0.2276914702818389
HUFL,50688,54720,0.9811558127992034,0.2535248891670172
HUFL,46912,51712,0.9811327692498066,-0.0266075823489912
OT,47680,52288,0.9808622788936538,0.2839828295426726
MUFL,56320,56896,0.9802647605663908,0.0517802623679559
MUFL,49728,50688,0.9802538825042336,0.1968398534472287
OT,52544,55360,0.980064310919064,0.130988321559615
MUFL,55360,56704,0.9795064682545848,0.0695711474420458
OT,54784,55552,0.9793024944079644,0.0657995332234227
HUFL,51072,52800,0.9792150139076552,0.2462592223859784
HULL,50560,51136,0.9781155457625916,-0.0256810886380548
MUFL,53824,54016,0.9777333480972152,0.080084540262013
MUFL,50560,54592,0.9770005656996348,0.0043824674950056
HUFL,54976,56512,0.9767064191028948,-0.0838969816219772
OT,47808,53184,0.9765650794167272,0.2804958122895739
MUFL,53952,55296,0.9764375488256144,0.0535636035575093
HUFL,51328,55552,0.975005532214713,0.2519121232902132
OT,48832,54400,0.9749094140538038,0.0301902865196125
LUFL,46592,51584,0.974672895781182,-0.0712512340318307
LUFL,55488,55872,0.9744811610945264,0.1975431927811543
MUFL,46336,48640,0.9741248267882188,-0.0757757378517024
MUFL,50176,55168,0.9739524616628225,0.0376761420760296
LUFL,55808,56192,0.9738645882249348,0.0229185491784296
MUFL,51328,54784,0.9734732727792228,0.0894790299845924
MUFL,50880,51264,0.9734710171764572,-0.0154191018290841
