channel,start_i,start_j,trend_corr,residual_corr
% WEIGHTED ILI,773,837,0.06463836627594864,-0.0939882213007584
% WEIGHTED ILI,773,901,-0.3789612114782803,0.015315117524254547
% WEIGHTED ILI,837,901,-0.002636113568547646,0.23407680840347675
%UNWEIGHTED ILI,773,837,0.02804789072087753,-0.10650818392253968
%UNWEIGHTED ILI,773,901,-0.3492067946536691,0.01677405067757568
%UNWEIGHTED ILI,837,901,0.07224415253640855,0.2452556154835507
AGE 0-4,773,837,-0.020542013906852927,0.12039979351774074
AGE 0-4,773,901,-0.47986537595446493,-0.01775419196824006
AGE 0-4,837,901,0.03112597732762307,0.330751988064832
AGE 5-24,773,837,-0.015403394299418399,-0.061257521184821626
AGE 5-24,773,901,-0.35780503587326046,0.0130156583792144
AGE 5-24,837,901,-0.18039354984802528,0.15551564497182302
ILITOTAL,773,837,0.0023096583202688844,-0.0363269770706328
ILITOTAL,773,901,-0.40381960515572934,0.05052474660617748
ILITOTAL,837,901,-0.10042577261884629,0.13622238676085058
NUM. OF PROVIDERS,773,837,-0.24523270818278947,-0.0020503466999611704
NUM. OF PROVIDERS,773,901,-0.4050950754591892,-0.1736153902136132
NUM. OF PROVIDERS,837,901,-0.062470888883385374,-0.011339721225525828
OT,773,837,-0.05462310060813317,-0.1583277667363162
OT,773,901,-0.4500018221999718,-0.24035887681444193
OT,837,901,-0.009810330500773642,0.00853743061558546
