channel,start_i,start_j,trend_corr,residual_corr
pred_temp,43547,47579,0.9959699061149372,0.0045023144632812
pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999
pred_temp,40603,43867,0.9952803593762208,0.2385661096775837
pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345
pred_temp,43099,45403,0.9939561611367064,0.293351798159829
pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047
pred_temp,45275,48347,0.9937258802911256,0.2287018547234738
pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617
pred_temp,41819,47195,0.9933949523148228,0.1558135620192495
pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096
pred_temp,44059,46939,0.9929053286967444,0.1302572608817584
pred_temp,42779,48155,0.992725389581968,0.2729064440915247
pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139
pred_temp,39707,47963,0.9912496705573334,0.2420136685640173
pred_humidity,40667,48347,0.9906056505323124,0.070352366183335
pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164
pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286
pred_temp,42203,44123,0.9902336106114766,0.1723607331840861
pred_temp,39899,46619,0.9899964167056828,0.152726477206883
pred_humidity,42587,47579,0.989900094647088,0.2879474922206119
pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591
pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871
pred_w_dir,43739,48155,0.989035314712682,0.229918706334076
pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136
pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529
pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459
pred_temp,42587,43355,0.9878701516138894,0.0525201870542771
pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688
pred_temp,41563,41947,0.9877526306668598,0.1481294239930812
pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096
pred_temp,40859,47003,0.9876526590839724,0.2091976882403149
pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525
pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484
pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728
pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057
pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694
pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853
pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442
pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002
pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881
pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189
pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272
pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228
pred_temp,42971,46043,0.984208680256352,0.2954500059995394
pred_temp,45659,47387,0.9841432421513178,0.1304473503505108
pred_temp,40411,43675,0.9838882691243814,0.2763953769196636
pred_temp,40283,41051,0.9838685532992958,0.2813792678825668
pred_w_dir,44763,47067,0.9835206238420678,-0.0944209561108623
pred_w_speed,42907,43483,0.9834698456430324,0.1388816623981261
pred_humidity,39771,47963,0.9834457394066168,0.0515655341428043
pred_humidity,40475,45403,0.9829928178363976,0.2726099274852764
pred_w_speed,45403,48283,0.9824480888289912,0.1096095364919474
pred_humidity,47195,48539,0.9821291032963396,-0.0460300557362969
pred_temp,43739,44315,0.981899326561384,0.0324806148671649
pred_pressure,40155,45915,0.981742514869764,0.1292925186407469
pred_humidity,40859,47771,0.981496147666446,0.0611109301864915
pred_pressure,44955,47643,0.9814772189391352,0.2224337596401074
pred_w_speed,44827,47963,0.9814219320332648,0.2223553818540887
pred_pressure,39835,40987,0.9813976495159282,0.2708204747870097
pred_pressure,40219,43483,0.980673262162019,0.1666898196384622
pred_pressure,39899,47515,0.9805582916636676,0.1157837333835402
pred_humidity,41051,41307,0.9804511066242156,0.0696857437956039
pred_pressure,46043,47387,0.9803380236037482,0.0856580332394258
pred_temp,41755,48283,0.980316590964136,0.1843776807187179
pred_w_dir,45531,46875,0.9802521498064262,0.2969451082932611
pred_pressure,47451,48411,0.9800568230508436,0.2795889870125429
pred_humidity,42971,45467,0.979727744605593,-0.019870937710047
pred_w_speed,39259,43227,0.979653951902368,0.0961148791987068
pred_humidity,41115,47067,0.979507966604018,0.2954974923280702
pred_pressure,43547,47003,0.9788772892115456,0.1526503444463014
pred_temp,42907,43483,0.9788726829975254,0.2621349952860859
target,42907,45403,0.9787999173154434,0.2744464264284646
pred_humidity,45787,46811,0.978615454327179,0.1872367649892005
pred_pressure,41691,42267,0.9783461068301312,0.1210762331838565
ture_w_speed,39771,45851,0.978162674572984,-0.1549693297955504
pred_w_dir,39835,48347,0.9776735541672406,0.2598451204266326
pred_humidity,41627,44507,0.977290576015213,-0.0659165950953878
pred_w_dir,39963,41307,0.976298007957094,0.1702374939529312
pred_humidity,40923,44955,0.9750278028616648,0.1433272463236508
pred_pressure,43867,45979,0.9748530284020156,-0.0320994092075928
pred_temp,40475,44699,0.9745395957419326,-0.2306214310808355
pred_humidity,46939,47899,0.9744883325028528,0.0253724163206652
pred_temp,42395,45787,0.9742278237395114,0.149175462113529
target,42651,45851,0.973952409323627,0.2085394586966161
pred_w_dir,40283,46683,0.9737953236617438,0.2944821102490614
pred_humidity,41755,44827,0.9737021837939662,-0.0138963583508232
pred_humidity,43547,48155,0.9735377219194898,0.1704215913587938
pred_humidity,39259,42139,0.9732508602484136,0.2927481292202231
pred_w_dir,45147,45979,0.9732042961045718,0.2717680199991744
ture_w_speed,42075,44123,0.9730580079065356,0.101357148518224
pred_humidity,46683,47259,0.972954736063419,0.2786547889628636
pred_w_dir,39131,42651,0.972626161064219,-0.2423698135463183
pred_humidity,41243,47707,0.9725629495494136,0.20517643046729
pred_w_dir,44379,46107,0.9723018019870996,0.2485749105920155
target,39387,43483,0.97215492582787,0.1439186702229475
pred_pressure,42395,47195,0.9715232795669192,0.2046339538564686
pred_temp,41435,47771,0.9713487219012372,0.1604845909283603
pred_humidity,40411,44443,0.971299345659346,0.2244847585788725
pred_w_speed,43611,44507,0.9712659570933,0.0003997681972028
target,41563,43675,0.9711057709450124,-0.2490047033471588
pred_temp,45211,48091,0.9702765141565918,0.2988037476730671
pred_pressure,46427,47131,0.9702711397593944,0.2254119555650245
target,39195,46171,0.969904402014226,0.2150672878456343
pred_humidity,43675,44635,0.969895058920032,0.0080119495828959
target,39323,46939,0.9698120273199806,0.1592017752281905
pred_pressure,42843,45723,0.9697372373358396,0.2735108058016702
pred_w_dir,40667,46171,0.9693474130031468,0.2437154292503382
pred_w_speed,39963,42459,0.9689913536498458,0.239652822933081
target,44571,44699,0.9689621604395496,0.0998658585848695
pred_w_speed,39771,44699,0.9688368339110078,0.0214709856594613
pred_temp,42459,46875,0.9684572627263393,0.1855062747837731
pred_humidity,39707,45851,0.968340384119268,0.2942208320102614
pred_temp,42331,44443,0.9681016843841684,0.2492944274187269
pred_humidity,42459,45339,0.967885537138844,0.1915229950047873
pred_w_dir,46427,48539,0.9675409959955622,0.0090015622118443
pred_pressure,42907,45403,0.9673078779133454,0.2580398804208951
pred_humidity,42779,46875,0.9671067136748556,0.1405416754727712
pred_w_speed,45851,48219,0.9666976542998484,0.1218253046314696
pred_w_dir,47259,47579,0.9656170748650948,-0.1695581561347376
ture_w_speed,40795,46235,0.965424940289488,0.1983429353390274
pred_w_dir,39451,47643,0.964829648460613,0.1332153799145721
pred_w_dir,40219,41691,0.964790539151384,0.1452645798311955
pred_humidity,43419,46491,0.9647094025307544,0.2623381310044601
pred_humidity,41947,43291,0.96441805709955,0.1708502026922742
pred_pressure,42459,46107,0.9642025518918084,0.2072962473085432
pred_w_dir,45211,48603,0.963397310028696,0.0194795239288426
pred_w_dir,41179,47387,0.9632070137736408,0.2181287030184459
pred_temp,38939,44507,0.9629663183381286,0.1901626483190308
target,40539,48219,0.9625178030135848,0.1287586452277341
pred_pressure,39131,45851,0.9624840139358024,-0.0364997577374326
ture_w_speed,45019,45403,0.9624220664429206,-0.0125741635224574
pred_w_dir,41627,47707,0.961882362902003,0.0788917206615918
ture_w_speed,39131,46683,0.9618094165775248,0.062357340690297
pred_pressure,47579,48347,0.961590417769594,0.0859532945296608
pred_w_dir,41819,43995,0.9611162357672648,-0.1917700988323869
pred_humidity,40795,45979,0.9608883361475564,0.028638036057323
pred_pressure,45019,48283,0.9604017712502656,0.2769039181670945
pred_pressure,43611,43803,0.9603281559410723,-0.0295656197994541
ture_w_speed,43483,47131,0.9599906432608064,0.0622588615150461
pred_pressure,39003,39195,0.9592908480552678,0.2204721668569612
pred_humidity,38939,43163,0.9592129190223384,0.1006725767109271
pred_w_dir,40923,41243,0.9588041360389854,-0.0003493609168959
pred_temp,47707,47899,0.9578335978682644,0.2353215004179654
pred_humidity,41563,42523,0.9577694560256772,0.1141796042925994
pred_w_speed,40219,47643,0.95774366541211,0.2954065039095371
pred_humidity,39131,43227,0.9573597412664876,0.221045382106639
pred_w_dir,39515,40027,0.9572782921880336,0.2534929161499774
pred_temp,39067,42139,0.9572452635724203,0.2079411884872552
pred_pressure,42971,48027,0.9571571023854496,0.1492965559861872
pred_w_speed,41691,48155,0.9569448790917332,0.2176801789474213
ture_w_speed,42267,42651,0.9568398230402004,-0.1728787496041064
pred_pressure,41115,44571,0.9567338059501832,0.2408028309187723
pred_w_speed,42651,48603,0.9566767028432626,0.1033623331550696
pred_temp,41243,45467,0.956100315772591,-0.5349528660453411
ture_w_speed,39323,46939,0.9559519720563622,0.0646307178156644
pred_w_speed,39387,44763,0.955950375120921,-0.1751998820928542
ture_w_speed,39707,48539,0.9559471316269884,-0.1512434534834218
ture_w_speed,45723,48603,0.9552274405279784,-0.0290434230247157
pred_temp,43611,45147,0.955102284096786,0.277052847520545
pred_pressure,43995,45531,0.9550985079515856,0.2224664660855011
ture_w_speed,43291,47707,0.9550420555206592,-0.1378282418601282
pred_w_dir,42075,42331,0.9549950834251674,0.1862684673105076
ture_w_speed,43931,47067,0.9549385399253038,-0.1296503600460131
ture_w_speed,43675,47387,0.954855290660595,-0.288688075081272
pred_humidity,39003,43611,0.95468470436068,0.2484579207568445
pred_w_dir,45339,46363,0.954392067065472,0.0979518352576332
ture_w_speed,42907,45339,0.9541919314057674,0.1056207508537822
pred_pressure,42331,44251,0.9531966842117956,-0.068742436904858
pred_w_dir,39579,44955,0.9528667783572644,-0.0365835645546157
pred_temp,40923,44955,0.9527962347979884,0.0808133813959579
pred_humidity,40027,48283,0.952756626149418,-0.0034263216909011
ture_w_speed,42459,47771,0.9526461864464076,0.016857326038583
pred_humidity,42651,48027,0.952636010756975,-0.0198150392436379
pred_w_dir,41371,45019,0.9524007930038536,0.2871922592138468
pred_pressure,41243,45595,0.9523086254170088,0.1851670431145871
pred_humidity,40155,41883,0.952216180791795,0.2617157142023627
pred_humidity,41435,44699,0.9521868615627715,0.007120526860923
ture_w_speed,39899,42523,0.9519039377784944,-0.0420278098409785
pred_humidity,39323,48475,0.9519037163718904,0.2016187443265205
target,40347,41115,0.9509279359336776,0.2399542197564414
pred_pressure,43355,46811,0.9509271413850784,0.169774937525433
target,41947,48475,0.9509231857772356,0.1995445537360027
pred_w_speed,40475,47323,0.9507146945806686,0.2815686987470782
pred_pressure,42587,45083,0.9503252081161244,0.2227432704705973
ture_w_speed,40539,48219,0.950231082212381,0.0062555476631026
ture_w_speed,41819,44571,0.9499963428648734,-0.045243337523659
pred_humidity,42075,48603,0.9495880014212952,0.2417657883904705
pred_w_dir,41051,48091,0.9494404105319936,0.0356970017171794
target,42331,47387,0.948164673571516,-0.2341203316224442
pred_w_dir,46555,48475,0.947805493997205,0.0862822482481567
pred_humidity,46363,47323,0.9477332047477056,0.2928039793834937
pred_pressure,40795,47707,0.9475753850096216,0.2795101523189891
target,40795,47003,0.9474636851077414,0.1462391295470759
pred_w_speed,39323,42843,0.9473570913311148,0.231872442808093
pred_pressure,41627,46619,0.9472452182951612,-0.0408240730520333
target,39259,48539,0.946839703545672,0.0669100913008757
pred_w_speed,46299,46619,0.9459924893485668,0.2471227172116935
target,41819,47771,0.9453191641980326,-0.1521378573688116
pred_temp,47451,48027,0.9453189051153704,0.0489862816542634
pred_w_dir,38939,45467,0.9452138400598477,0.134177521617023
pred_temp,40091,40667,0.9451647333905484,0.1939706902849872
pred_w_dir,40347,45275,0.9450918712560088,0.0974762740833678
pred_pressure,40475,42715,0.9448503021578148,-0.0651404749061921
ture_w_speed,39259,39387,0.9437848419555372,-0.1499740752597441
pred_w_speed,41243,43867,0.9434228376471352,0.2797518804848911
pred_w_speed,39899,42587,0.9428022437580922,0.2617191666467151
pred_w_dir,42907,48283,0.9427566058036724,0.2392159940893767
pred_w_speed,46747,47771,0.9421086187244132,-0.1948960241284588
pred_pressure,39579,41179,0.9420176005962192,0.2744818149991951
pred_pressure,47771,48539,0.941825990009072,-0.2798946477246122
pred_humidity,44315,45659,0.9416580302640124,0.1835231617881173
pred_w_speed,41819,44123,0.9409398638286546,0.0759881055699668
pred_humidity,46043,46619,0.9408750007563632,0.1410367342543866
target,41691,42267,0.940817432317306,-0.0072662490981124
pred_temp,43291,44251,0.9405259273979754,0.2556806081666819
pred_pressure,46171,47899,0.9401050472135728,-0.0222497079744992
ture_w_speed,41691,43611,0.9399860136333325,-0.2705978164113952
pred_w_dir,39323,41755,0.9398754462677572,-0.0268110690218166
target,39899,42523,0.9392577453724982,-0.1197372709200334
pred_w_dir,41115,43419,0.9390642829372594,0.2892068636395118
pred_w_speed,46363,46427,0.938910672536738,0.2233022632279004
pred_w_speed,41563,43803,0.938450362460834,-0.1215882153560828
ture_w_speed,39835,43419,0.9382926212997356,0.0834904908528661
pred_w_dir,45595,48219,0.9378916352046808,0.1902511684966326
pred_humidity,44123,47003,0.9370708034028554,0.246374845972405
pred_w_speed,39195,45147,0.9363309369893424,0.0618812103839403
pred_humidity,42395,43483,0.9362956333367656,-0.0221458594726538
target,41435,45019,0.9357808148216836,0.1197428140007762
target,39771,43611,0.9353358537557896,0.1109757394426241
target,40155,40859,0.9351492523180966,-0.0414558277494441
ture_w_speed,40091,46491,0.9344061440315432,-0.0812257586408926
pred_w_dir,40795,48027,0.93420481012406,0.0213015521589938
pred_pressure,41563,48475,0.933306760845912,0.0955414408257074
pred_humidity,45275,47387,0.9331791970049672,0.1807226006002043
pred_humidity,40731,45915,0.9327477271003728,0.2311794976975472
target,39835,42459,0.9319400277283466,-0.0591729132603039
target,45723,48603,0.931584018773074,-0.0454073013725326
pred_pressure,39067,39323,0.9313645640165616,-0.0202389074589172
pred_w_speed,41499,48475,0.9312759791959492,0.2686130403813366
ture_w_speed,40155,40859,0.93045677418627,-0.028494873527894
pred_temp,39579,44763,0.9300085684779996,0.1219412062448302
pred_humidity,41371,45211,0.9296469381007312,-0.0630669651222918
pred_w_dir,39003,39899,0.9293314254779252,-0.237536828013407
ture_w_speed,39451,41627,0.9293179981094554,0.1279488974149965
pred_w_dir,44635,46235,0.92912593622056,0.0322437936069392
pred_w_speed,45019,45339,0.9285951374405268,0.2240617520345212
pred_pressure,40603,45787,0.9278365096480284,0.2848001248439177
pred_pressure,40027,40859,0.9257754519416562,0.1364562557246385
pred_temp,39387,45915,0.9250363165578884,0.1689215600786442
pred_w_speed,41627,42011,0.9250021744878733,0.0940970936127751
target,40411,47067,0.9248615945509546,-0.0075870594361076
target,43099,44443,0.924686916115478,-0.095094813353265
pred_w_dir,42459,42587,0.9243754081589526,-0.2043113058392225
ture_w_speed,45083,46811,0.9241030670542738,-0.3339478793693464
pred_w_speed,39835,45979,0.9231713206765844,0.0975646301034519
pred_humidity,39899,40283,0.9213400728947708,-0.4338516922265161
pred_temp,39451,46363,0.92123063203713,0.0973406378553922
pred_pressure,43675,46555,0.920639409184114,0.1553591145829075
pred_w_dir,39067,43803,0.9201598401357411,0.2078411345641107
pred_w_speed,44635,47259,0.919716849206243,0.2937276572536612
pred_humidity,39067,42331,0.919598386192636,0.0003056107113095
target,41755,47707,0.9195761073660434,-0.1029418056353518
pred_temp,40987,41371,0.9193701424999312,0.2832629311596135
pred_pressure,40091,43739,0.9193486018381536,0.2534538936656013
pred_w_dir,40155,44699,0.919199545899723,0.2205633397555734
pred_w_speed,42971,48347,0.9187472242679816,0.2123965134581707
target,39515,40283,0.9182459845679758,0.1443779021913402
ture_w_speed,40027,45915,0.9173557105719836,0.0166207404666028
pred_pressure,40539,41883,0.9172911155550127,0.2424242424242424
ture_w_speed,47003,47963,0.916516163893344,-0.1431697776525716
target,41499,44507,0.9161527065999134,-0.0894138591797484
target,46491,47643,0.9147158531313108,0.1416807155226873
ture_w_speed,47323,47515,0.9140955661106408,-0.0657994318267394
pred_w_speed,43931,46811,0.914079748158532,0.0758782734269076
target,44187,44955,0.9139316488639392,0.0705697507072743
pred_humidity,42267,44379,0.9129787368180694,0.231383627544663
pred_w_dir,40539,46939,0.9127867098903945,0.2500098842789622
ture_w_speed,39515,40283,0.9126674396617004,0.1040281953671899
ture_w_speed,42331,48283,0.9122884976199912,0.0024302790126447
ture_w_speed,41115,47579,0.911173099476163,0.0162854325333863
pred_w_dir,42523,43099,0.9102043942155758,-0.0376108391957988
pred_temp,39259,45019,0.9087633784441572,0.1825308537190654
pred_w_speed,45083,47835,0.9082057011465208,0.2427711593786218
pred_w_speed,42267,44955,0.9081363074013836,0.2884678923837068
pred_w_speed,45531,47899,0.907860150931769,0.0010754758242335
pred_pressure,39451,46363,0.9076020691741764,0.2941632363193238
target,40731,41051,0.9071594817739616,-0.0253339864735476
pred_w_dir,43483,47003,0.905329418509584,0.0901858901534121
ture_w_speed,39195,46171,0.9049023719419196,0.2354771634816159
pred_temp,40795,45595,0.9040905680974032,-0.0807047105013653
target,45211,47131,0.902813469628446,-0.0190627656706923
