channel,start_i,start_j,trend_corr,residual_corr
swc_deep,15892,16852,0.9964274610951304,0.0866882974713211
swc_deep,15956,16148,0.994901419376525,0.0159464048996668
swc_deep,16596,17684,0.9899589917300318,0.0773849053357659
swc_deep,15764,18900,0.9863691711082112,-0.033933124100845
precip,17812,18964,0.9829643175460088,-0.2354886557479839
swc_deep,16276,17236,0.9819274620786927,0.1209765220750022
swc_deep,17364,18196,0.9805527069038236,0.0403904875363304
ZAF_NOO_E3_IRR_Mdo_Jt_2,15828,16212,0.9740518941355794,0.2556526062791543
rh,15380,18068,0.9700080295840184,0.2570580927108159
ZAF_NOO_E3_IRR_Mdo_Jt_2,15508,17044,0.9692420250840574,0.2677351426699216
swc_shallow,15764,17492,0.963020679832122,0.2175278495327167
ZAF_NOO_E3_IRR_Mdo_Jt_2,16532,16916,0.9621173983784224,0.2635181287609882
swc_deep,16212,17620,0.9607786659041976,-0.1230224242709829
ZAF_NOO_E3_IRR_Mdo_Jt_2,15764,17108,0.9561950693687687,0.2217448377838103
ZAF_NOO_E3_IRR_Mdo_Jt_2,15444,16980,0.9550821482372384,0.1752041471057634
swc_shallow,17108,17556,0.9513507637249238,-0.18500801841487
swc_deep,16340,17812,0.9501734196492402,0.0205669726363127
ZAF_NOO_E3_IRR_Mdo_Jt_2,15700,17620,0.9472489849651352,0.218373630447463
ZAF_NOO_E3_IRR_Mdo_Jt_2,16020,16404,0.9421133753222656,0.2789518313892284
rh,16596,18900,0.941807208864163,0.0949235393538521
swc_shallow,17620,18260,0.941051563081342,-0.1502662523703055
swc_shallow,16980,18772,0.9388176098186938,-0.1069787134253551
rh,15764,16532,0.9388065974878572,0.2974236184234973
precip,18388,18836,0.9374137756678812,0.2145831269399972
ZAF_NOO_E3_IRR_Mdo_Jt_2,15956,16724,0.9373425294998984,0.092722111575907
rh,17492,18452,0.9371732593398184,-0.0510023025637136
rh,18644,19028,0.9321739149741598,0.2175081451458673
sw_in,15892,18196,0.9298884299145512,0.2367817652773424
ppfd_in,15892,18196,0.9298884299145508,0.2367817652773425
swc_shallow,16468,17428,0.9293495327736508,0.0622771461498503
swc_deep,17172,18132,0.9247119295878644,0.0750671102716196
swc_shallow,15956,16724,0.9241825890629326,-0.1117294170530304
swc_deep,16020,16468,0.9235374466016986,0.1205534420709626
swc_shallow,17044,18900,0.923197809133003,0.0353153834462226
swc_shallow,16916,18132,0.9216548692986786,-0.1506184896246361
rh,15444,18516,0.9177609887809994,0.2653395909651654
swc_shallow,15572,16596,0.9125026683892098,0.0558975022366547
ws,15444,16788,0.9118412017147812,-0.1506920722508152
swc_shallow,17300,17812,0.910078055093103,0.2393021105138308
swc_deep,17492,18580,0.9050824912603562,0.2428019967799594
swc_shallow,16660,17940,0.9039459518140368,-0.025119581542685
precip,16596,18900,0.9034332870111036,0.1464237922358556
ws,17556,18964,0.8992087620154224,-0.0744703621628679
vpd,16212,18900,0.8929639385069599,0.2176616936517637
swc_deep,15508,15700,0.892496274487704,0.1331142165692817
precip,16724,17748,0.8900102968888743,0.1824747102283558
ws,17300,17748,0.8898439746427637,0.0482986340727373
swc_deep,17044,19092,0.8886140233108143,0.0596618281639341
ZAF_NOO_E3_IRR_Mdo_Jt_2,15636,16788,0.8845077646231925,0.2266175068517699
ws,15828,17172,0.8842116952563329,0.1934948598079164
rh,15508,17044,0.8834460791927693,0.115223640761806
swc_shallow,17876,18964,0.8808868835997733,-0.242970130152131
rh,17556,18324,0.879415253163865,0.1270640004211272
swc_shallow,15508,19156,0.8786831238370671,0.2261955576695436
vpd,15508,17044,0.8771628100702236,0.2543725499026011
rh,17684,18708,0.8765758788535248,-0.0481104501705607
swc_deep,15636,16980,0.8728362418008703,-0.0042801737246551
ws,16532,16724,0.8685711365362159,0.2809212405848909
ws,17684,19028,0.8631148684396478,-0.064999186611369
ta,17940,18836,0.8552103954317065,0.1008038227825796
swc_deep,15444,18068,0.8548450140192208,0.0016198094075392
ws,15380,15572,0.8541242103947219,-0.122657569248603
ZAF_NOO_E3_IRR_Mdo_Jt_2,16596,17940,0.8519269185291407,0.1663696494795402
swc_deep,15828,18964,0.8506871498357779,0.1855450499830456
ZAF_NOO_E3_IRR_Mdo_Jt_2,17172,17556,0.8454636612984484,0.2041407708202703
vpd,15892,16852,0.8454163150138294,0.1568389374712041
swc_shallow,17172,18004,0.844737482346904,-0.241021264128263
precip,15892,16916,0.8429194648831674,0.1584470918705511
swc_deep,15572,18260,0.836173860961192,-0.0292962495236371
ws,16340,17108,0.8309909466299514,-0.1355849291302121
ws,16212,18324,0.8287277681725104,0.0014316913461967
swc_shallow,15444,16404,0.8264143492239796,0.2584526008530408
vpd,17940,18836,0.823215868443052,0.0398496408144092
ws,15892,17364,0.823040899971533,-0.1921956826635985
swc_shallow,16788,19092,0.8214269900558687,-0.0408107372839397
swc_shallow,15828,18324,0.821415776387534,0.0459161021551352
ZAF_NOO_E3_IRR_Mdo_Jt_2,16148,17684,0.8210621477580983,-0.0866842396012559
rh,15892,18196,0.8100480176777404,-0.1743477008123117
ws,15700,16468,0.8097556736581752,0.2268649680043635
swc_shallow,15892,18836,0.8063422874135734,0.2484625879716926
vpd,17428,17684,0.8057417926123174,-0.0080683000089926
