channel,start_i,start_j,trend_corr,residual_corr
0,21172,21876,0.8046232862790438,0.178453827307319
0,21236,22068,0.8579456654345874,-0.029237398570576452
0,21300,26100,0.8759648585958307,-0.07760686825036742
0,21428,24308,0.8111184533893323,0.2303177920952537
0,21492,23028,0.887217058186913,-0.0641284681533063
0,21492,23988,0.8015540117370529,0.2008336199667466
0,21940,24628,0.8666747607693254,0.18500101129735588
0,22260,25396,0.8565862362575294,-0.001971870666991139
0,22644,25780,0.9123358535676921,-0.05486994409738814
0,23028,23988,0.8585016262027039,0.04546727961646111
0,23028,24756,0.8526352332716022,-0.06707612624081602
0,23348,25588,0.8352150025824863,0.12621561502555295
0,23348,25972,0.8874256459458499,0.1897212767832244
0,23476,25460,0.8210878194097243,-0.007840077605481721
0,23476,26228,0.865382635605068,0.06330657359020785
0,23924,25652,0.8365062757996176,0.2581102681740296
0,23924,25844,0.8930573335457807,0.23847124949784446
0,23988,24756,0.8700526415509255,0.07496476204422936
0,23988,24948,0.8957405902282894,0.18871963056425894
0,24116,24436,0.8574214366818989,0.007177124989597236
0,24180,24564,0.8051730345367918,0.10571063635591109
0,24692,25652,0.8765057249702757,0.22534745296676006
0,24948,25332,0.803008698453522,0.29416838270972023
1,21492,26100,0.8704981914632675,0.2799766823124824
1,21556,26164,0.9091277236670965,0.1969733180774187
1,21748,26164,0.868766377315769,0.2299649703170246
1,22708,26164,0.8499354121817868,0.2963201770333891
1,23028,26100,0.8106859980882496,0.2677755934477993
1,23220,26100,0.8328780282380132,0.2764004550587953
1,23604,26100,0.8806704004139446,0.27400281625456596
1,24052,26164,0.9123108179084691,0.2715393607903032
1,24180,26100,0.9225521043760697,0.21860756787790347
1,24244,26164,0.9332938583839518,0.17611431148620477
1,24372,26100,0.8986484346166564,0.272303012948845
1,24436,26164,0.9679299958767027,0.28060856394601685
1,24564,26100,0.9057167013773983,0.21748108520537257
1,24756,26100,0.8959148120236164,0.22255848155814567
1,24948,26100,0.9206417195020352,0.22298757741907818
1,25396,26164,0.9437403956568357,0.2806660313582391
1,25780,26164,0.9278819581756568,0.2987041723728235
3,21620,25268,0.9531040824592281,0.2962941306795828
3,21812,24692,0.9133220747416466,0.2835476169602853
3,21812,25076,0.9496728910199825,0.26221921467216913
3,21812,25268,0.9247588223042043,0.19558847071577484
3,22964,25268,0.881890442313479,0.23347891561059475
4,21108,24756,0.8386832855542576,0.29098460753680694
4,21364,25972,0.8830088943149679,0.22646387856789071
4,21428,23924,0.8971805360212396,0.2720076270582957
