channel,start_i,start_j,trend_corr,residual_corr
317,22644,23988,0.9934825917354172,0.1635762629298413
113,25204,26100,0.990702096503514,0.1131264419546761
129,22132,26164,0.990583571930088,0.2447972418914887
317,21172,23860,0.99043771054289,0.2803463668865412
295,21364,23860,0.9897910989698556,0.2971736070634108
317,22068,25140,0.9897826732570092,0.2975211184723756
246,21748,22708,0.9881491026684364,0.2158178764072747
103,23476,26164,0.9874954295025858,0.2939452438121518
87,23988,25332,0.985698549916772,0.0760049130147148
287,21492,23988,0.9843358601054162,0.2842065306325933
300,24820,25396,0.984124475369404,0.2415777521846374
103,22132,24820,0.9833204944404657,0.1909891333910588
317,21940,22900,0.981720617521776,0.2642304339373102
287,21876,23604,0.9805126191785808,0.2378047684723397
317,24628,25588,0.9802209112353576,0.2316028020656191
300,25076,25844,0.9790919601417946,0.2947324200295645
46,22644,23220,0.9789935264525332,0.2972481231262157
129,22004,26036,0.9786160482716978,0.2631927210223933
287,21428,22772,0.97806745351798,0.2894872659817189
87,22132,24820,0.9771813802303676,0.2819731502307036
25,21300,23988,0.9770760018754174,0.1435904230314218
9,24180,25716,0.9768741478004268,0.1892141748258888
103,23284,25972,0.976151222259024,0.2256131401877322
275,22708,23476,0.9751037137668098,0.1743738223684481
9,21300,23988,0.974787817411335,0.245271811435902
168,23412,24948,0.9746055922689454,0.2928948213068644
151,24308,25460,0.9743439948987668,0.2976929175346995
287,21812,24116,0.974199640783685,0.2541001244179625
287,22900,25396,0.9741739604748818,0.2818462370875482
66,23732,25076,0.9740633897886318,0.2729040949321039
174,24692,26036,0.9736141212246452,0.2735235681344113
129,22836,25524,0.9735306478748224,0.1172573691513469
95,21364,25780,0.9728913168334292,0.29188283134466
103,21876,24756,0.972593432924617,0.2605609325878583
119,22132,25396,0.9718686214994868,0.2709462298199571
317,23412,25140,0.9718677841483204,0.2969591712374023
129,23348,24692,0.9717127598761992,0.0207728745242148
184,23540,24692,0.9712640349712444,0.2517425122739827
105,21364,25012,0.9708466503832636,0.2970489810128018
27,21492,22836,0.9706060096660456,0.2575096936576501
307,21620,25076,0.9705105833494804,0.2031287516387983
112,23220,25140,0.970486172202232,0.2375939871674715
87,22068,24948,0.9698598884969668,0.2504737098801857
133,21172,25204,0.9694088638887356,0.1489337562749722
99,21300,25332,0.9693993516851356,0.2987567158739466
184,22644,25908,0.9692900983416748,0.2636018147514014
300,24948,25140,0.969140517876512,0.1911844479629965
103,22004,24692,0.9689797892733896,0.2246253001928921
307,22004,24884,0.968889132310132,0.186807060551802
18,23092,24628,0.9680413521131368,0.2604505382180785
307,22132,26164,0.9675504762380194,0.2777374593773739
127,24692,26036,0.967422718762227,0.193896138466707
OT,22324,25012,0.9672782563625164,0.2570776440214177
307,21236,22964,0.9672109340462992,0.2111437604950995
295,21748,25204,0.9670351591629937,0.2873825959448052
103,22068,23604,0.9666101122231427,0.2324997337358761
287,23220,25908,0.9664358713968844,0.242041435525261
319,23028,25716,0.9659741664302324,0.2612261484182184
159,24692,25844,0.9657905573079264,0.2686626594526312
129,22452,25140,0.9655208692148448,0.2882365641977635
36,21876,22260,0.9651993023095962,0.2466639906220795
307,21748,22324,0.9650155856576352,0.2943943912174326
118,23284,25780,0.9649900340504068,0.1489206367899027
25,22452,23796,0.964739010085316,0.1703155698129261
255,22644,25908,0.9640425382555464,0.2489246119083522
192,22324,25972,0.9636588444035904,0.2882077944077681
317,23860,24244,0.9630520701499308,0.2310223366996063
295,22324,25972,0.9629059402194045,0.280580842767639
307,21172,25204,0.9626186985598394,0.1636544091571623
119,22580,24884,0.9623669101361249,0.296159513127964
307,21812,25268,0.962189942309534,0.2665586487629878
129,21492,24180,0.9621793193939958,0.2913206961545208
310,21108,22452,0.9621767452383888,0.1312631965650054
255,25460,26228,0.9612278724013724,0.2946752280478164
25,22132,24820,0.9599307398446169,0.1817760325923237
307,21556,24436,0.9596497676899448,0.0589595471390756
247,23540,24692,0.9592172042766064,0.2875217471747388
295,21300,23796,0.9586595859139504,0.2989482061200965
104,23348,26036,0.9585042934469528,0.1178446783548647
245,21940,24244,0.9583274264005434,0.1945033168538397
119,25332,26100,0.958310150786078,0.1948539067841248
56,22580,24692,0.9581822388408728,0.2004122582492811
317,22196,22964,0.958173386663989,0.2277757620379825
295,21684,25332,0.9576922347197812,0.1415125508917341
255,25652,26036,0.9576482249655202,0.1914049646057111
9,23860,25204,0.957507186120066,0.2900343894563126
287,22004,23540,0.957459896748574,0.1756791355307196
300,21364,25780,0.9572453535383612,0.1479560553575052
300,22068,25908,0.9572369100163072,0.286826298278807
83,21492,24372,0.9569921719571036,0.294989240567898
287,21300,25524,0.95670524440366,0.2810350310239396
18,23604,24756,0.95661965058535,0.1673769165081762
109,21364,23668,0.9565944838293748,0.2832707465001906
127,24180,25524,0.9564234210336392,0.2526391302148223
155,22516,25972,0.9562774530319468,0.1657220647522264
125,22132,22516,0.955814083765523,0.2799251008748168
112,21556,25204,0.9551094070734196,0.278383916659371
310,21236,22388,0.9548538968546968,0.1481367076258665
307,22772,25844,0.9547284891371562,0.2363789564656908
307,21044,26228,0.9546395399930534,0.235780301405462
255,23284,25780,0.954508968908788,0.2130194278501171
103,22260,24564,0.9544861064037558,0.2376736537054961
18,21428,24884,0.9544394637278912,0.2105773469925334
6,22964,23348,0.9541725250623428,0.1249745930621434
6,23220,23412,0.9541481310259828,0.1685548200696807
104,23540,24692,0.9541366116548666,0.2310375464725554
307,21876,24372,0.9538314590306676,0.2710337423200391
66,21428,25652,0.9537720954567308,0.2948751527644256
17,24116,24500,0.9536723509482564,0.2697096157004251
4,22388,23732,0.9535089421245354,0.2965271576154502
18,21620,24116,0.9534319859059572,0.2914415934072126
41,22580,25652,0.9531577335289008,0.2361604118524259
115,24308,25140,0.9530815047292756,0.0918764831507039
9,22132,23476,0.9529440986254786,0.190325496878959
117,21172,25204,0.9528643967791092,0.1885053327718463
36,22452,23796,0.952663373999468,0.2749297504844713
83,23924,25460,0.9525128351525742,0.1999593936056093
295,21108,21876,0.9521880186495846,0.0798200087496422
295,21172,25012,0.9520692040958044,0.2728369655986123
104,22964,23988,0.951905062870058,-0.2367726604794646
86,22644,26100,0.9518436648748936,0.2607485330172242
133,21620,25652,0.9518409808110344,0.2940103533130856
83,24180,25524,0.951446400996635,0.1873188815817998
18,23284,24820,0.9509747330443424,0.2616133664413242
118,23988,24180,0.9507763413706672,0.1045248599566504
66,23924,24692,0.9500697466242318,0.2728082383943749
246,21812,24692,0.9500093729648252,0.2468771221622509
239,24372,24756,0.9499037555514404,0.2829546658797818
87,22260,25908,0.949833169947908,0.2156969051616616
143,23412,25908,0.949797822108426,0.2691796551652182
317,22004,24692,0.9496049716270678,0.26965321289268
9,21556,24244,0.9495567042953044,0.1545040041478201
299,21812,24116,0.9492400602341632,0.2990015878149429
129,21620,25652,0.9491804665683778,0.1467405338581252
158,23988,24756,0.9484741100623828,0.2475390309739054
103,23028,24372,0.9481813277522334,0.1527474287595197
131,22260,23220,0.9479123868226964,0.2296641575444474
6,22132,22708,0.9477408336454012,0.2954364969322387
59,22196,23732,0.9474550862843716,0.2758611242160285
300,23284,25588,0.9471620069150652,0.2947059354236963
14,21556,24820,0.9471074541280814,0.2971282340167508
