channel,start_i,start_j,trend_corr,residual_corr
124,48960,51264,0.9996341671606832,0.2464132393690358
47,48896,50048,0.9996073785660564,0.0549634318725326
106,43712,51776,0.9996008316724524,0.2040866848238627
20,44864,48320,0.9995392928348974,0.2747932032323137
85,47168,48320,0.9995303524672348,0.2417293648745052
86,48384,49536,0.9995285594499628,0.2761742474825132
107,42688,44416,0.9995215238449394,0.2774387619165535
2,46080,46656,0.9995135383264888,0.2101509781052259
35,43712,44288,0.9995062903397756,0.2653133348732903
76,44288,50048,0.9994650926197164,-0.1229573093121474
70,45440,47744,0.9994556266113088,0.1852677076006357
124,42688,48448,0.9993632456152054,0.275576806186772
80,46720,51904,0.9993528528696068,0.2937527910888301
28,45504,48384,0.9993444834722548,0.2860595123728064
34,44928,46080,0.9993415372899896,0.2840940305624757
95,44928,51840,0.99932929774961,0.2227845124201932
103,43200,49536,0.9993272286161242,0.2854224637375124
69,43712,48320,0.9993062193741774,0.2509412960696138
71,47232,49536,0.9993051190926786,0.2504305323727651
11,46144,51904,0.9993050006545716,0.2499904772845992
31,43200,45504,0.9993010998360264,-0.0393974695290245
128,43200,50112,0.9992612129296226,0.1315810796877095
35,48960,50688,0.9992575136910092,0.2668140758836945
90,44416,51328,0.999247935734077,0.2664470846589067
125,42688,43264,0.9992390045758572,0.1675122426429176
42,45376,49408,0.9992327440347284,0.0318513752281777
112,44352,49536,0.9992193396893396,-0.0343154697017954
32,44288,48320,0.99921830717268,0.2510866596147719
135,42560,48320,0.9992060243809314,0.2538577433249641
58,46080,50688,0.9992052470221372,0.2622178035425708
OT,47104,48256,0.9991994529724016,0.1163697344676309
38,50176,51328,0.9991869779850012,0.2309067202291578
52,43712,47744,0.9991775719979148,0.2323889531974
104,50176,51328,0.9991742539952222,0.2684594234554721
72,46016,48320,0.9991596146287984,0.277617669222846
52,44992,46720,0.9991564437835152,0.2618831439247327
1,42688,47296,0.9991544892785964,0.2395900985533564
105,43328,43904,0.9991444854742524,0.1873576239546424
72,47744,50624,0.9991423952307168,0.2789473046019699
114,42048,50688,0.999129415784146,0.2939102942110634
124,43264,43840,0.9991194029284776,0.0391088087800993
131,42624,46080,0.9991036412877112,0.2133299507207756
85,44352,47232,0.9991034286416236,0.2160460832841346
27,45504,49536,0.9990980290527448,0.1258640645788942
96,50112,51264,0.9990907111778468,0.2751232463928548
24,45504,46656,0.999084344982108,0.2894260943869987
119,49536,50112,0.999082725641481,0.1463147417120176
51,47232,48384,0.9990760224179642,0.1247147172739734
23,47168,47744,0.9990698803159072,0.0003850134088104
107,43200,51264,0.9990675019258384,0.2492229454923087
41,44352,46080,0.9990645313483392,0.224880476705247
44,43904,44480,0.999046326680294,0.2415025102525192
28,47296,49600,0.999039421925172,0.253701012536242
6,50112,50688,0.999035226153357,0.152603190690519
98,42624,46656,0.9990312493798008,0.2648136351066479
31,46080,47808,0.9990292692055468,0.1818805170652977
56,50176,51904,0.9990133211725748,0.2330351164535448
74,47168,48320,0.999005621534976,0.2769042107193677
14,48960,49536,0.998993358243359,0.2454694113371771
106,48384,50112,0.9989809789619924,-0.0494427501173491
63,48960,49536,0.998976794254722,0.2686648804614996
61,44352,51264,0.9989739688755668,0.21814811169494
118,44864,48320,0.9989714432366856,0.2921306859829479
80,43264,50176,0.99896189552225,0.231775100885857
92,44416,49024,0.9989579603650864,0.2152320084654655
60,42560,43712,0.9989369911555548,0.1466149896996413
83,43200,50688,0.9989320538274072,0.1760674304535011
38,46144,48448,0.9989226542913988,0.2619677159796653
59,43712,44288,0.9989213945275532,0.185350444446704
80,42752,43328,0.9989102387610942,0.2853137455824861
69,50112,51840,0.998894314142539,0.2304830317668215
104,46080,50112,0.9988917103360504,0.2710045346977091
124,46720,51328,0.9988915558739032,0.2306264263789566
122,43712,47168,0.9988812491226924,0.2997161816370463
99,42496,44800,0.9988728445243468,0.2773134966173145
130,44864,50048,0.9988715696679192,0.1830216752444902
20,43264,45568,0.9988640830688011,0.0473642971778907
53,47168,48320,0.9988611889714112,0.2239594795762644
115,44352,46656,0.9988461589995656,0.2970088567302448
94,46656,51840,0.9988458978223568,0.2125606840441729
75,44288,48320,0.9988157533850832,0.2566147988719186
10,44352,45504,0.9988110902648292,0.1795939914278074
5,49024,51328,0.9988091038097556,0.275550081660047
125,44864,46016,0.998800150627943,0.2762139928654978
86,44352,46656,0.998800077489382,0.2961682439184496
110,43200,51840,0.9987980136841508,0.1707771233917106
127,44416,47296,0.998794549720022,0.188611395049815
67,42112,44416,0.998793445549236,0.2758429928167724
64,45376,50560,0.9987865120144794,0.1737473920039208
114,42560,50048,0.9987860011878824,0.2692829615713348
46,48960,49536,0.998781355505829,0.2577075543461927
64,44992,47296,0.9987695251953712,0.2859251370224142
104,44224,47104,0.998765407708095,0.2080203552380653
14,43264,46720,0.998737094160805,0.1126659783805453
34,48960,51840,0.9987285165250004,0.0817729689242217
115,48384,50112,0.9987281684792628,0.2453226571950619
0,47936,49088,0.9987205964912432,0.2936992698147437
74,45568,46720,0.9987164647435308,0.145891248639337
31,43840,51904,0.9987120062983142,0.1440763169695731
20,42688,51328,0.998688701484893,0.297211261061606
114,43712,48896,0.9986766058574312,0.0720614831965775
22,50112,51840,0.9986667245792036,0.1863133414291336
131,42688,49600,0.9986654245586716,0.2939876612481978
59,45568,48448,0.9986525462584168,0.2063144869761198
104,43776,45504,0.998648005593866,0.2844839162022596
122,42688,44416,0.9986472028035656,0.2699470593910902
42,42688,44416,0.9986347810315248,0.1239236407559902
5,47168,48896,0.9986194230456932,0.0148406988004765
105,44352,49536,0.9986189530666592,0.287718502213165
