dataset,ma_window,trend_thr,resid_thr,n_pairs,n_channels_covered
ETTh1,8,0.8,0.3,71,6
ETTh1,8,0.75,0.35,125,6
ETTh1,8,0.7,0.4,231,7
ETTh1,12,0.8,0.3,71,6
ETTh1,12,0.75,0.35,120,7
ETTh1,12,0.7,0.4,216,7
ETTh1,16,0.8,0.3,73,6
ETTh1,16,0.75,0.35,120,7
ETTh1,16,0.7,0.4,220,7
ETTm1,8,0.8,0.3,11744,7
ETTm1,8,0.75,0.35,15695,7
ETTm1,8,0.7,0.4,19444,7
ETTm1,12,0.8,0.3,11481,7
ETTm1,12,0.75,0.35,15607,7
ETTm1,12,0.7,0.4,19538,7
ETTm1,16,0.8,0.3,11181,7
ETTm1,16,0.75,0.35,15265,7
ETTm1,16,0.7,0.4,19361,7
electricity,8,0.8,0.3,4816,158
electricity,8,0.75,0.35,9641,187
electricity,8,0.7,0.4,16850,221
electricity,12,0.8,0.3,2619,116
electricity,12,0.75,0.35,4972,134
electricity,12,0.7,0.4,8617,163
electricity,16,0.8,0.3,1999,92
electricity,16,0.75,0.35,3796,112
electricity,16,0.7,0.4,6391,136
ETTh2,8,0.8,0.3,79,7
ETTh2,8,0.75,0.35,140,7
ETTh2,8,0.7,0.4,250,7
ETTh2,12,0.8,0.3,82,7
ETTh2,12,0.75,0.35,169,7
ETTh2,12,0.7,0.4,252,7
ETTh2,16,0.8,0.3,104,7
ETTh2,16,0.75,0.35,180,7
ETTh2,16,0.7,0.4,288,7
ETTm2,8,0.8,0.3,6914,7
ETTm2,8,0.75,0.35,9472,7
ETTm2,8,0.7,0.4,12066,7
ETTm2,12,0.8,0.3,8324,7
ETTm2,12,0.75,0.35,11195,7
ETTm2,12,0.7,0.4,14030,7
ETTm2,16,0.8,0.3,9615,7
ETTm2,16,0.75,0.35,12696,7
ETTm2,16,0.7,0.4,15771,7
weather,8,0.8,0.3,31993,21
weather,8,0.75,0.35,40216,21
weather,8,0.7,0.4,47731,21
weather,12,0.8,0.3,35225,21
weather,12,0.75,0.35,43705,21
weather,12,0.7,0.4,51408,21
weather,16,0.8,0.3,37419,21
weather,16,0.75,0.35,46300,21
weather,16,0.7,0.4,54249,21
exchange_rate,8,0.8,0.3,153,8
exchange_rate,8,0.75,0.35,205,8
exchange_rate,8,0.7,0.4,254,8
exchange_rate,12,0.8,0.3,184,8
exchange_rate,12,0.75,0.35,255,8
exchange_rate,12,0.7,0.4,316,8
exchange_rate,16,0.8,0.3,220,8
exchange_rate,16,0.75,0.35,303,8
exchange_rate,16,0.7,0.4,360,8
traffic,8,0.8,0.3,31435,848
traffic,8,0.75,0.35,56178,856
traffic,8,0.7,0.4,87219,862
traffic,12,0.8,0.3,14804,809
traffic,12,0.75,0.35,28094,844
traffic,12,0.7,0.4,47648,853
traffic,16,0.8,0.3,3288,603
traffic,16,0.75,0.35,8095,739
traffic,16,0.7,0.4,16773,818
solar,8,0.8,0.3,89887,137
solar,8,0.75,0.35,133085,137
solar,8,0.7,0.4,176133,137
solar,12,0.8,0.3,104636,137
solar,12,0.75,0.35,160517,137
solar,12,0.7,0.4,211777,137
solar,16,0.8,0.3,137850,137
solar,16,0.75,0.35,188720,137
solar,16,0.7,0.4,229847,137
PEMS08,8,0.8,0.3,48881,170
PEMS08,8,0.75,0.35,57758,170
PEMS08,8,0.7,0.4,65265,170
PEMS08,12,0.8,0.3,53214,170
PEMS08,12,0.75,0.35,61892,170
PEMS08,12,0.7,0.4,69478,170
PEMS08,16,0.8,0.3,56172,170
PEMS08,16,0.75,0.35,64846,170
PEMS08,16,0.7,0.4,72471,170
AQWan,8,0.8,0.3,1664,11
AQWan,8,0.75,0.35,2724,11
AQWan,8,0.7,0.4,3965,11
AQWan,12,0.8,0.3,2399,11
AQWan,12,0.75,0.35,3577,11
AQWan,12,0.7,0.4,4830,11
AQWan,16,0.8,0.3,3278,11
AQWan,16,0.75,0.35,4530,11
AQWan,16,0.7,0.4,5876,11
Wind,8,0.8,0.3,5783,7
Wind,8,0.75,0.35,8118,7
Wind,8,0.7,0.4,10485,7
Wind,12,0.8,0.3,6602,7
Wind,12,0.75,0.35,9051,7
Wind,12,0.7,0.4,11485,7
Wind,16,0.8,0.3,7008,7
Wind,16,0.75,0.35,9603,7
Wind,16,0.7,0.4,12184,7
ILI,8,0.8,0.3,0,0
ILI,8,0.75,0.35,0,0
ILI,8,0.7,0.4,0,0
ILI,12,0.8,0.3,0,0
ILI,12,0.75,0.35,0,0
ILI,12,0.7,0.4,0,0
ILI,16,0.8,0.3,0,0
ILI,16,0.75,0.35,0,0
ILI,16,0.7,0.4,0,0
ZafNoo,8,0.8,0.3,416,10
ZafNoo,8,0.75,0.35,619,10
ZafNoo,8,0.7,0.4,852,10
ZafNoo,12,0.8,0.3,482,8
ZafNoo,12,0.75,0.35,662,8
ZafNoo,12,0.7,0.4,864,8
ZafNoo,16,0.8,0.3,635,8
ZafNoo,16,0.75,0.35,822,8
ZafNoo,16,0.7,0.4,1027,8
CzeLan,8,0.8,0.3,3259,10
CzeLan,8,0.75,0.35,3924,11
CzeLan,8,0.7,0.4,4404,11
CzeLan,12,0.8,0.3,3421,11
CzeLan,12,0.75,0.35,4030,11
CzeLan,12,0.7,0.4,4476,11
CzeLan,16,0.8,0.3,3483,11
CzeLan,16,0.75,0.35,4013,11
CzeLan,16,0.7,0.4,4507,11
