channel,start_i,start_j,trend_corr,residual_corr
p (mbar),42157,42221,0.9712714861521891,-0.12859987641909987
p (mbar),42157,42285,0.8846406703607129,0.14060210873873616
p (mbar),42157,42349,0.9109938855347541,0.2276738589594914
p (mbar),42157,42605,0.9197569380903676,-0.0814907588599203
p (mbar),42157,42669,0.8202375251524172,-0.2596443711799439
p (mbar),42157,42925,0.9900371442196282,0.0913206799454452
p (mbar),42157,42989,0.9041331473910963,-0.05349037461291676
p (mbar),42157,43309,0.8895127638502305,-0.254822345636995
p (mbar),42157,43437,0.9099114452989777,0.23084349340468596
p (mbar),42157,43821,0.9748142177417175,0.03886302662552247
p (mbar),42157,43885,0.9443749526945405,0.1703779399906785
p (mbar),42157,43949,0.9674082903948138,0.06316317818032136
p (mbar),42157,44013,0.9415807910216217,-0.18375545176580999
p (mbar),42157,44525,0.8567232104653009,0.03171631136007226
p (mbar),42157,44717,0.9606656114109461,-0.19852234299041252
p (mbar),42157,44781,0.9577458760472606,0.12629345520845223
p (mbar),42157,45357,0.9077009302249957,0.11101608795048064
p (mbar),42157,45421,0.849322691645457,-0.1698395196908032
p (mbar),42157,45485,0.9462736294553253,0.092464939504946
p (mbar),42157,45677,0.956870545002903,0.011166778403435702
p (mbar),42157,45869,0.9293409948950289,0.011202008386955242
p (mbar),42157,45997,0.9529209106974051,-0.29193253159535393
p (mbar),42157,46445,0.9865432981633347,0.009632122989612144
p (mbar),42157,46829,0.9946983591553662,0.1824462390078922
p (mbar),42157,46893,0.9769385624033733,-0.1334242087041649
p (mbar),42157,46957,0.9873072538817262,0.2035224012813617
p (mbar),42157,47213,0.9701530563881752,0.11583743431797626
p (mbar),42157,47277,0.9606186414580137,0.1946196232724658
p (mbar),42157,47405,0.8442252241116001,0.09704697622412281
p (mbar),42157,48173,0.9906222893263578,0.19693903460668924
p (mbar),42157,48365,0.8400480802918058,-0.11879652366966469
p (mbar),42157,48557,0.9860130685662337,-0.20562643761682095
p (mbar),42157,48621,0.9829079377119476,0.28067942605693824
p (mbar),42157,48941,0.9221050473651446,-0.03125269074042892
p (mbar),42157,49005,0.9572107821924902,-0.03523177827811553
p (mbar),42157,49069,0.8789273446491604,-0.0713945955502645
p (mbar),42157,49517,0.8915449764322442,0.14181425520346272
p (mbar),42157,49645,0.975767687789059,0.07809506223673679
p (mbar),42157,49709,0.9858843229022247,0.2577239076961748
p (mbar),42157,49773,0.9475902002854523,-0.11896874080185048
p (mbar),42157,50093,0.9453436696964882,-0.10223846710175477
p (mbar),42157,50221,0.9184446884679102,-0.17481713375299235
p (mbar),42157,50733,0.9573422728243126,-0.08993866220154885
p (mbar),42157,50797,0.9865318467593566,-0.26030056402667573
p (mbar),42157,50861,0.818524140465175,0.06668585120680785
p (mbar),42157,51181,0.9872965110371695,0.14276293840898913
p (mbar),42157,51245,0.9226390298592648,0.06570971045131602
p (mbar),42157,51373,0.9137985367138667,0.08861833969156566
p (mbar),42157,51501,0.8796777551143321,-0.02557689802134038
