channel,start_i,start_j,trend_corr,residual_corr
p (mbar),46445,52013,0.9994698315213276,0.0637199952363459
PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201
SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536
p (mbar),51309,51693,0.9987971301943352,0.08760732420156
rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773
VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706
PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672
max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673
T (degC),44525,45677,0.998526042458531,0.1239537665722569
Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674
max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684
PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685
rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765
PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488
PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251
p (mbar),43501,48301,0.998219422510768,0.1158502694667462
rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266
rh (%),44717,49325,0.9978261244962524,0.2716640456958237
p (mbar),49901,50349,0.9976902466498414,0.1608700528672035
PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929
Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192
SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876
max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384
p (mbar),44333,52397,0.9975360354665784,0.0647201627658495
p (mbar),46125,49965,0.997534887018418,0.2777457674959991
p (mbar),47085,48813,0.9975184410454904,0.196086791997055
max. PAR (�mol/m�/s),43565,51053,0.9974985346638872,0.2048209195073694
Tpot (K),46637,46765,0.9974984436330896,0.0114380623832369
SWDR (W/m�),44909,46637,0.9974597128248502,0.0702873162518401
SWDR (W/m�),47085,49965,0.9974512641259072,0.0881137261742378
p (mbar),47213,47277,0.997385381045906,0.2846427605612534
Tlog (degC),43949,50285,0.9973750178997391,0.1415086046858436
p (mbar),44461,46637,0.99730862632448,0.1947488016146446
max. PAR (�mol/m�/s),49261,50413,0.9972471425946632,0.0131079893896458
PAR (�mol/m�/s),44653,45805,0.997178754916874,0.2148929761517466
p (mbar),46189,52333,0.9971726191092484,-0.0344358764170541
p (mbar),50605,51757,0.9971604616864784,0.0516861300464544
SWDR (W/m�),47021,49325,0.9971594450619312,0.0437646626260338
p (mbar),48173,48557,0.9971405191450774,0.1067114692893908
p (mbar),43821,48621,0.9970755815980412,0.1840292507945735
PAR (�mol/m�/s),47085,49965,0.997059744165325,0.1161275734783486
T (degC),44717,45613,0.9970585931703084,-0.2093861663143651
PAR (�mol/m�/s),44845,52333,0.9970237095296044,0.068589122216378
VPmax (mbar),44589,46765,0.9970032540717728,-0.0086725932544801
Tpot (K),43949,47981,0.9969808809727696,0.1085330593381223
max. PAR (�mol/m�/s),44781,45933,0.9969682258300698,0.0578815367838547
p (mbar),46573,52269,0.996968102744992,0.2529456767309476
rh (%),44525,45677,0.9969542026970204,0.1824067389459045
T (degC),44461,44589,0.996889398138884,0.1342539427578408
SWDR (W/m�),45229,49261,0.9968224408513868,0.0041566708337442
PAR (�mol/m�/s),48301,48877,0.996763093710887,0.0467631599926701
SWDR (W/m�),44141,51053,0.9967465561335864,-0.0517429624773266
Tlog (degC),45613,45869,0.9967439636563672,0.0460489149663851
Tdew (degC),42157,45613,0.9967134552802668,0.1735089069029627
rh (%),44461,45613,0.9966925978791532,0.2085581672713834
T (degC),45869,46765,0.9966864504249788,-0.1279822936246125
p (mbar),44205,47469,0.9966567683380776,-0.1571750594034175
VPdef (mbar),45869,49325,0.996530519327986,0.2209979029888183
max. PAR (�mol/m�/s),44525,45101,0.9965169826128192,0.267009133958896
p (mbar),46893,50797,0.9965061459975202,-0.0642003888644986
VPact (mbar),42157,45613,0.9964202912662672,0.1460602463536032
max. PAR (�mol/m�/s),42541,45421,0.996400990973172,-0.0385375197834766
VPmax (mbar),47469,50925,0.99639987132776,0.1081214145493392
PAR (�mol/m�/s),48237,49389,0.9963904702744169,0.0776751367097811
Tpot (K),44461,44589,0.9963537949335616,0.1302777091616855
max. PAR (�mol/m�/s),44845,52333,0.9963272605529874,0.1089424861196074
H2OC (mmol/mol),42157,45613,0.996246915936615,0.1575722043109871
max. PAR (�mol/m�/s),48237,49389,0.9962332792274536,-0.1173992742524274
rho (g/m**3),43949,47981,0.9962286031054584,0.1462764160380618
SWDR (W/m�),44845,50029,0.996218399018364,0.1058111148792748
SWDR (W/m�),48237,49389,0.9962062638638448,0.055303874865187
VPdef (mbar),44525,45677,0.9961558174118098,-0.1410321823941755
SWDR (W/m�),46445,49901,0.9961200653570484,0.2292802719738635
SWDR (W/m�),42541,45421,0.9960946784960264,0.1190855876463526
sh (g/kg),42157,45613,0.9960866774469948,0.1725498776002899
SWDR (W/m�),45677,47405,0.9960832170465124,0.2856651893059775
PAR (�mol/m�/s),42541,45421,0.996056453011821,0.1173201169718781
T (degC),43949,47981,0.9960375487428064,0.0841410724468308
VPmax (mbar),44717,45613,0.9960317037389972,-0.0610425864560463
T (degC),45101,50861,0.9959707884228672,0.2481308995908897
Tpot (K),45101,50861,0.9959683381589374,0.2559432785362546
SWDR (W/m�),48301,48877,0.9959512285898234,0.0662341592962728
VPmax (mbar),43949,47981,0.9958490582925168,0.0858091333182303
SWDR (W/m�),45869,48749,0.9956959345079116,0.2661323286842945
T (degC),47469,50925,0.9956615637214884,0.0831561649156929
VPdef (mbar),44461,45613,0.9955606764751944,0.2114184359895543
Tpot (K),45037,45613,0.9955369269983756,-0.1231327219364729
p (mbar),46829,51949,0.9955114280767104,0.068418390619924
rho (g/m**3),45037,45613,0.9954142406574508,-0.1268261709899286
Tpot (K),47469,50925,0.995388710987419,0.0873080324510889
Tlog (degC),42157,42989,0.9953706032336688,0.1145799509740951
rho (g/m**3),45101,50861,0.9953129337326072,0.2627508409778191
max. PAR (�mol/m�/s),47661,51117,0.9951426295824624,-0.0876264016779654
rho (g/m**3),49901,51373,0.9951295763527874,0.0974174846350275
max. PAR (�mol/m�/s),47149,50029,0.995099875952464,-0.0075609571893927
H2OC (mmol/mol),43373,49069,0.9950534922944476,0.0702917908799943
sh (g/kg),43373,49069,0.9950511439348716,0.060284474781958
max. PAR (�mol/m�/s),45293,48749,0.994941397296501,-0.1039532757772427
VPact (mbar),43373,49069,0.99492298068841,0.0863971165032614
Tdew (degC),44461,44589,0.9947952842551546,0.2388614319632823
Tdew (degC),43373,49069,0.9947098162654244,0.0720313243436167
PAR (�mol/m�/s),45293,48749,0.9946952861358916,-0.0746047454217132
p (mbar),48941,49517,0.9946929206085044,-0.1290902471054257
p (mbar),42861,51437,0.9946688205456587,0.2144001285362734
VPact (mbar),44461,44589,0.9946042088344562,0.2471035144526297
H2OC (mmol/mol),44461,44589,0.9945933288671418,0.2419307732321293
Tpot (K),49901,51373,0.9945698509451272,0.1991184355462319
p (mbar),46957,48493,0.9945458718020296,0.0380883738176025
p (mbar),46317,52525,0.9945160799979684,0.2812615747680066
sh (g/kg),44461,44589,0.9944600092261524,0.2509507067493104
rho (g/m**3),47469,50925,0.994448678781245,0.113441803730009
max. PAR (�mol/m�/s),44973,46125,0.994446864007697,0.0912875229129553
p (mbar),43117,43693,0.9944265513634736,0.171149610873935
SWDR (W/m�),45997,51757,0.9943985880791324,0.1559923461377846
VPmax (mbar),46445,49325,0.9943533446105848,0.0935594269120613
p (mbar),48429,50733,0.994219290985362,0.0941424221729085
PAR (�mol/m�/s),43629,45357,0.9941820012129484,-0.1540879904806763
max. PAR (�mol/m�/s),48301,48877,0.9941023685582268,-0.0495228418761907
rho (g/m**3),45869,46765,0.994084598798984,-0.123850128429159
SWDR (W/m�),44717,50605,0.9940836178956964,0.0997994282437339
max. PAR (�mol/m�/s),45229,45805,0.9940568660647304,0.0530344697496223
rh (%),43757,51053,0.9939984025245412,-0.2774184174937514
max. PAR (�mol/m�/s),43629,45357,0.9939684434586038,0.0998361574938179
PAR (�mol/m�/s),46509,50541,0.9939254069599572,0.2840551573203764
max. PAR (�mol/m�/s),42413,50605,0.993837255344969,-0.1365727281786562
VPdef (mbar),44717,46445,0.9938348273235538,0.2864245867614812
p (mbar),45485,51245,0.9937555395421024,0.204187268585333
VPmax (mbar),45037,45869,0.9937302691904498,-0.0080328724776061
rho (g/m**3),44653,47533,0.9937234977907928,0.2684262073674028
Tdew (degC),44653,47533,0.993692827195038,0.0458757388024671
