backbone,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
ChronosBolt(rho2=0.0),ETTh1,main (swap dynamic),34,0.46635658,0.30755526,0.6176470588235294,0.0842443167930468
ChronosBolt(rho2=0.0),ETTh1,control (swap invariant),34,0.39802152,0.31459513,0.5588235294117647,0.3092015009606257
ChronosBolt(rho2=0.0),ETTm1,main (swap dynamic),496,0.3792667,0.45463255,0.4173387096774194,0.0001598165627145
ChronosBolt(rho2=0.0),ETTm1,control (swap invariant),496,0.39773524,0.42889318,0.4939516129032258,0.1130334805783919
ChronosBolt(rho2=0.0),electricity,main (swap dynamic),1322,0.40075606,0.36055622,0.540090771558245,8.129787154583866e-05
ChronosBolt(rho2=0.0),electricity,control (swap invariant),1322,0.4128441,0.42541218,0.4962178517397882,0.6297244464035154
ChronosBolt(rho2=0.0),ETTh2,main (swap dynamic),39,0.43576196,0.48352844,0.3846153846153846,0.2705514066146861
ChronosBolt(rho2=0.0),ETTh2,control (swap invariant),39,0.47045198,0.47762626,0.5641025641025641,0.9834906762916944
ChronosBolt(rho2=0.0),ETTm2,main (swap dynamic),365,0.5881162,0.6161609,0.4794520547945205,0.1596689237606362
ChronosBolt(rho2=0.0),ETTm2,control (swap invariant),365,0.6091541,0.5999124,0.5232876712328767,0.8593281275591564
ChronosBolt(rho2=0.0),weather,main (swap dynamic),1236,0.67125785,0.68544364,0.4830097087378641,0.3905541718788201
ChronosBolt(rho2=0.0),weather,control (swap invariant),1236,0.6957251,0.67048657,0.4878640776699029,0.8600491477748122
ChronosBolt(rho2=0.0),exchange_rate,main (swap dynamic),42,0.67633396,0.7689448,0.4047619047619047,0.3990517927454675
ChronosBolt(rho2=0.0),exchange_rate,control (swap invariant),42,0.7692887,0.81679934,0.3809523809523809,0.5521575472325821
ChronosBolt(rho2=0.0),traffic,main (swap dynamic),7698,0.47239485,0.57429904,0.4324499870096129,2.131695429209463e-57
ChronosBolt(rho2=0.0),traffic,control (swap invariant),7698,0.4836895,0.546222,0.4799948038451546,7.039908693957311e-13
ChronosBolt(rho2=0.0),solar,main (swap dynamic),6841,0.6775131,0.88050735,0.4383862008478292,2.087564719471405e-34
ChronosBolt(rho2=0.0),solar,control (swap invariant),6841,0.71463376,0.8087491,0.4652828533840082,3.3645565216920443e-09
ChronosBolt(rho2=0.0),PEMS08,main (swap dynamic),3614,0.4390918,0.4808783,0.4485334809075816,9.241797416109084e-06
ChronosBolt(rho2=0.0),PEMS08,control (swap invariant),3614,0.4316981,0.45792875,0.4933591588267847,0.2463304156202738
ChronosBolt(rho2=0.0),AQWan,main (swap dynamic),296,0.5251459,0.4481995,0.5844594594594594,0.0071683084388116
ChronosBolt(rho2=0.0),AQWan,control (swap invariant),296,0.48283726,0.4802025,0.4864864864864865,0.4575029143720416
ChronosBolt(rho2=0.0),Wind,main (swap dynamic),408,0.58413625,0.5414944,0.5343137254901961,0.1036296448701912
ChronosBolt(rho2=0.0),Wind,control (swap invariant),408,0.5993782,0.507,0.5637254901960784,0.0027080018096265
ChronosBolt(rho2=0.0),ZafNoo,main (swap dynamic),81,0.50467163,0.5844907,0.4938271604938271,0.5704773248149031
ChronosBolt(rho2=0.0),ZafNoo,control (swap invariant),81,0.47065386,0.639563,0.382716049382716,0.003987892474315
ChronosBolt(rho2=0.0),CzeLan,main (swap dynamic),242,0.4722703,0.48002154,0.4710743801652892,0.7905732024182602
ChronosBolt(rho2=0.0),CzeLan,control (swap invariant),242,0.50785834,0.4481347,0.5,0.3053095707884681
ChronosBolt(rho2=0.001),ETTh1,main (swap dynamic),34,0.47495753,0.31908372,0.6764705882352942,0.0273231799947097
ChronosBolt(rho2=0.001),ETTh1,control (swap invariant),34,0.42085242,0.31169102,0.5882352941176471,0.0874475616728887
ChronosBolt(rho2=0.001),ETTm1,main (swap dynamic),496,0.3788484,0.46321827,0.4274193548387097,0.0002641140122058
ChronosBolt(rho2=0.001),ETTm1,control (swap invariant),496,0.41126657,0.43382996,0.4899193548387097,0.2479201642349099
ChronosBolt(rho2=0.001),electricity,main (swap dynamic),1322,0.39622852,0.36207777,0.540090771558245,0.000518463015819
ChronosBolt(rho2=0.001),electricity,control (swap invariant),1322,0.41624713,0.42276877,0.4977307110438729,0.9856334088004062
ChronosBolt(rho2=0.001),ETTh2,main (swap dynamic),39,0.413425,0.4908155,0.3846153846153846,0.0798085248061397
ChronosBolt(rho2=0.001),ETTh2,control (swap invariant),39,0.46221215,0.46533674,0.5384615384615384,0.8957254780943913
ChronosBolt(rho2=0.001),ETTm2,main (swap dynamic),365,0.5916864,0.6143186,0.4821917808219178,0.3037490949313085
ChronosBolt(rho2=0.001),ETTm2,control (swap invariant),365,0.60166514,0.6009669,0.5178082191780822,0.6188492233027518
ChronosBolt(rho2=0.001),weather,main (swap dynamic),1236,0.6822021,0.68357146,0.4959546925566343,0.6930133114543633
ChronosBolt(rho2=0.001),weather,control (swap invariant),1236,0.6857512,0.67741776,0.4862459546925566,0.7498457503098025
ChronosBolt(rho2=0.001),exchange_rate,main (swap dynamic),42,0.69895697,0.85626847,0.3809523809523809,0.2477147658478316
ChronosBolt(rho2=0.001),exchange_rate,control (swap invariant),42,0.6968909,0.875881,0.4047619047619047,0.1870359565550643
ChronosBolt(rho2=0.001),traffic,main (swap dynamic),7698,0.4670173,0.5803265,0.4201091192517537,1.1682372896304768e-71
ChronosBolt(rho2=0.001),traffic,control (swap invariant),7698,0.48848435,0.5409407,0.4901273057937126,2.938270697720579e-07
ChronosBolt(rho2=0.001),solar,main (swap dynamic),6841,0.6492825,0.8379981,0.4388247332261365,7.684394452015455e-33
ChronosBolt(rho2=0.001),solar,control (swap invariant),6841,0.6907592,0.79060346,0.4720070165180529,1.4190172531024355e-09
ChronosBolt(rho2=0.001),PEMS08,main (swap dynamic),3614,0.450983,0.48412362,0.4903154399557277,0.1159579918958139
ChronosBolt(rho2=0.001),PEMS08,control (swap invariant),3614,0.43971428,0.46740142,0.5024903154399557,0.507546026803223
ChronosBolt(rho2=0.001),AQWan,main (swap dynamic),296,0.50869954,0.45427698,0.597972972972973,0.017271322960719
ChronosBolt(rho2=0.001),AQWan,control (swap invariant),296,0.4912158,0.46005827,0.5168918918918919,0.7585666516387812
ChronosBolt(rho2=0.001),Wind,main (swap dynamic),408,0.58414423,0.5320499,0.5441176470588235,0.0801148384548883
ChronosBolt(rho2=0.001),Wind,control (swap invariant),408,0.5816623,0.5062801,0.553921568627451,0.0151805513434466
ChronosBolt(rho2=0.001),ZafNoo,main (swap dynamic),81,0.49443087,0.5758233,0.5061728395061729,0.7757579906496822
ChronosBolt(rho2=0.001),ZafNoo,control (swap invariant),81,0.47936085,0.6446648,0.3950617283950617,0.0257890183309362
ChronosBolt(rho2=0.001),CzeLan,main (swap dynamic),242,0.4795568,0.47448114,0.5,0.8894697956718701
ChronosBolt(rho2=0.001),CzeLan,control (swap invariant),242,0.49128553,0.4646156,0.512396694214876,0.4108582516345991
ChronosBolt(rho2=0.01),ETTh1,main (swap dynamic),34,0.48846593,0.32472026,0.7058823529411765,0.0153094223933294
ChronosBolt(rho2=0.01),ETTh1,control (swap invariant),34,0.42457175,0.3204349,0.6176470588235294,0.0976326978998258
ChronosBolt(rho2=0.01),ETTm1,main (swap dynamic),496,0.38204283,0.47616956,0.4052419354838709,2.6304072344834216e-06
ChronosBolt(rho2=0.01),ETTm1,control (swap invariant),496,0.42335725,0.43863857,0.4939516129032258,0.5062068707886767
ChronosBolt(rho2=0.01),electricity,main (swap dynamic),1322,0.40061527,0.36277634,0.5370650529500757,0.0002067143587767
ChronosBolt(rho2=0.01),electricity,control (swap invariant),1322,0.41487157,0.42406404,0.4992435703479576,0.7461449561623146
ChronosBolt(rho2=0.01),ETTh2,main (swap dynamic),39,0.41618997,0.5156711,0.358974358974359,0.0475047791514953
ChronosBolt(rho2=0.01),ETTh2,control (swap invariant),39,0.48807234,0.46326262,0.6153846153846154,0.3021141586468729
ChronosBolt(rho2=0.01),ETTm2,main (swap dynamic),365,0.59688735,0.6567459,0.4657534246575342,0.0415732001334295
ChronosBolt(rho2=0.01),ETTm2,control (swap invariant),365,0.64494514,0.61032844,0.5342465753424658,0.5168627172250535
ChronosBolt(rho2=0.01),weather,main (swap dynamic),1236,0.7279287,0.7310082,0.4846278317152103,0.5391736212825133
ChronosBolt(rho2=0.01),weather,control (swap invariant),1236,0.73744094,0.72468346,0.5,0.9559379109584968
ChronosBolt(rho2=0.01),exchange_rate,main (swap dynamic),42,0.74812573,0.84892935,0.4285714285714285,0.4799598372487708
ChronosBolt(rho2=0.01),exchange_rate,control (swap invariant),42,0.7997521,0.92639107,0.4523809523809524,0.3921185261519895
ChronosBolt(rho2=0.01),traffic,main (swap dynamic),7698,0.4703946,0.58335835,0.4256949857105742,1.129122250491824e-70
ChronosBolt(rho2=0.01),traffic,control (swap invariant),7698,0.48924977,0.54307824,0.4846713432060275,3.1084961281663765e-10
ChronosBolt(rho2=0.01),solar,main (swap dynamic),6841,0.671257,0.84896684,0.4405788627393656,2.687677051951641e-28
ChronosBolt(rho2=0.01),solar,control (swap invariant),6841,0.70782095,0.81453204,0.4626516591141646,3.702720662202535e-11
ChronosBolt(rho2=0.01),PEMS08,main (swap dynamic),3614,0.46178412,0.4929073,0.4845047039291643,0.0143936650103324
ChronosBolt(rho2=0.01),PEMS08,control (swap invariant),3614,0.46756268,0.4799591,0.5199225235196459,0.4845113446711805
ChronosBolt(rho2=0.01),AQWan,main (swap dynamic),296,0.5270352,0.48196545,0.5641891891891891,0.0608320463933036
ChronosBolt(rho2=0.01),AQWan,control (swap invariant),296,0.5015031,0.47808698,0.5135135135135135,0.7513478101483105
ChronosBolt(rho2=0.01),Wind,main (swap dynamic),408,0.64890915,0.58550143,0.553921568627451,0.0355867054428684
ChronosBolt(rho2=0.01),Wind,control (swap invariant),408,0.65982205,0.5477459,0.5637254901960784,0.0014352743452331
ChronosBolt(rho2=0.01),ZafNoo,main (swap dynamic),81,0.49970397,0.61798984,0.5061728395061729,0.5265608113399826
ChronosBolt(rho2=0.01),ZafNoo,control (swap invariant),81,0.50553757,0.6446236,0.419753086419753,0.0389623671416121
ChronosBolt(rho2=0.01),CzeLan,main (swap dynamic),242,0.5020392,0.48986143,0.4917355371900826,0.9090734720967948
ChronosBolt(rho2=0.01),CzeLan,control (swap invariant),242,0.527986,0.47346175,0.5082644628099173,0.2589941697146446
ChronosBolt(rho2=0.1),ETTh1,main (swap dynamic),34,0.47755724,0.3338168,0.6470588235294118,0.069589183316566
ChronosBolt(rho2=0.1),ETTh1,control (swap invariant),34,0.44408584,0.29706463,0.6470588235294118,0.0547690404346212
ChronosBolt(rho2=0.1),ETTm1,main (swap dynamic),496,0.3821281,0.47523037,0.4092741935483871,8.555066855399705e-07
ChronosBolt(rho2=0.1),ETTm1,control (swap invariant),496,0.42545205,0.4356364,0.4838709677419355,0.5098191284186013
ChronosBolt(rho2=0.1),electricity,main (swap dynamic),1322,0.4020248,0.3701493,0.5423600605143721,0.0010256285493817
ChronosBolt(rho2=0.1),electricity,control (swap invariant),1322,0.41143212,0.41750756,0.5022692889561271,0.7994366129831183
ChronosBolt(rho2=0.1),ETTh2,main (swap dynamic),39,0.43401772,0.49738222,0.4358974358974359,0.1755844174113008
ChronosBolt(rho2=0.1),ETTh2,control (swap invariant),39,0.46287796,0.48317772,0.5384615384615384,0.8306541132660641
ChronosBolt(rho2=0.1),ETTm2,main (swap dynamic),365,0.5781653,0.6472214,0.4794520547945205,0.0810229947605864
ChronosBolt(rho2=0.1),ETTm2,control (swap invariant),365,0.6292476,0.5999947,0.5561643835616439,0.4420978603136964
ChronosBolt(rho2=0.1),weather,main (swap dynamic),1236,0.738744,0.72718656,0.4967637540453074,0.9071468192871458
ChronosBolt(rho2=0.1),weather,control (swap invariant),1236,0.7430251,0.7262019,0.4902912621359223,0.9124523755642004
ChronosBolt(rho2=0.1),exchange_rate,main (swap dynamic),42,0.7543035,0.9120784,0.4285714285714285,0.3086245060999317
ChronosBolt(rho2=0.1),exchange_rate,control (swap invariant),42,0.80783814,0.9461999,0.4523809523809524,0.3990517927454675
ChronosBolt(rho2=0.1),traffic,main (swap dynamic),7698,0.4810819,0.55785125,0.4594699922057677,1.314447904803221e-32
ChronosBolt(rho2=0.1),traffic,control (swap invariant),7698,0.46603712,0.55271596,0.441153546375682,7.001596972847572e-49
ChronosBolt(rho2=0.1),solar,main (swap dynamic),6841,0.66858244,0.8164426,0.4594357550065779,4.2933452639590786e-18
ChronosBolt(rho2=0.1),solar,control (swap invariant),6841,0.6870203,0.8096752,0.4480339131705891,1.8248292132996842e-17
ChronosBolt(rho2=0.1),PEMS08,main (swap dynamic),3614,0.46503022,0.4926784,0.4988931931377974,0.3034169116391932
ChronosBolt(rho2=0.1),PEMS08,control (swap invariant),3614,0.4605837,0.47501355,0.5160486995019369,0.5178373560925784
ChronosBolt(rho2=0.1),AQWan,main (swap dynamic),296,0.52092886,0.47256237,0.5709459459459459,0.0401227435622363
ChronosBolt(rho2=0.1),AQWan,control (swap invariant),296,0.5035902,0.4642603,0.5135135135135135,0.4550418493959043
ChronosBolt(rho2=0.1),Wind,main (swap dynamic),408,0.6340006,0.5735196,0.5367647058823529,0.0575688213440373
ChronosBolt(rho2=0.1),Wind,control (swap invariant),408,0.64232653,0.5343117,0.5514705882352942,0.0033322416223302
ChronosBolt(rho2=0.1),ZafNoo,main (swap dynamic),81,0.5193644,0.58881366,0.5308641975308642,0.96057102655522
ChronosBolt(rho2=0.1),ZafNoo,control (swap invariant),81,0.5161336,0.62151885,0.4691358024691358,0.209566387737629
ChronosBolt(rho2=0.1),CzeLan,main (swap dynamic),242,0.4838901,0.48408225,0.4710743801652892,0.6935867818297459
ChronosBolt(rho2=0.1),CzeLan,control (swap invariant),242,0.49691054,0.45132133,0.512396694214876,0.3061759576212288
ChronosBolt(rho2=1.0),ETTh1,main (swap dynamic),34,0.47533008,0.32094732,0.5294117647058824,0.2149895922048017
ChronosBolt(rho2=1.0),ETTh1,control (swap invariant),34,0.45382658,0.31788862,0.5588235294117647,0.0525682466104626
ChronosBolt(rho2=1.0),ETTm1,main (swap dynamic),496,0.3803607,0.4678683,0.4173387096774194,5.970985257478783e-06
ChronosBolt(rho2=1.0),ETTm1,control (swap invariant),496,0.40199086,0.43833745,0.4657258064516129,0.0502365172204583
ChronosBolt(rho2=1.0),electricity,main (swap dynamic),1322,0.39287046,0.37612647,0.5211800302571861,0.0554432996273943
ChronosBolt(rho2=1.0),electricity,control (swap invariant),1322,0.41818315,0.4022672,0.516641452344932,0.0839676111775671
ChronosBolt(rho2=1.0),ETTh2,main (swap dynamic),39,0.4146089,0.478995,0.4358974358974359,0.2040695718496863
ChronosBolt(rho2=1.0),ETTh2,control (swap invariant),39,0.4520056,0.4534118,0.5128205128205128,0.8848204766291019
ChronosBolt(rho2=1.0),ETTm2,main (swap dynamic),365,0.60257345,0.6099866,0.5150684931506849,0.662829946770032
ChronosBolt(rho2=1.0),ETTm2,control (swap invariant),365,0.62078923,0.60520154,0.5232876712328767,0.8632236739671002
ChronosBolt(rho2=1.0),weather,main (swap dynamic),1236,0.7008867,0.7081022,0.4902912621359223,0.5856792481526403
ChronosBolt(rho2=1.0),weather,control (swap invariant),1236,0.6990883,0.70273095,0.4878640776699029,0.6032220387519385
ChronosBolt(rho2=1.0),exchange_rate,main (swap dynamic),42,0.7257253,0.8337168,0.4285714285714285,0.4347860694879273
ChronosBolt(rho2=1.0),exchange_rate,control (swap invariant),42,0.71312284,0.8340151,0.4047619047619047,0.4131330389013783
ChronosBolt(rho2=1.0),traffic,main (swap dynamic),7698,0.4653182,0.55617785,0.4203689269940244,6.381997018548813e-72
ChronosBolt(rho2=1.0),traffic,control (swap invariant),7698,0.47359216,0.54794425,0.4597297999480385,7.987362224603512e-33
ChronosBolt(rho2=1.0),solar,main (swap dynamic),6841,0.6976495,0.84429777,0.4592895775471422,1.7514438429405254e-18
ChronosBolt(rho2=1.0),solar,control (swap invariant),6841,0.707587,0.84159017,0.453442479169712,1.3661661735765786e-17
ChronosBolt(rho2=1.0),PEMS08,main (swap dynamic),3614,0.46547762,0.5137564,0.4518539014941892,1.3774454704507474e-06
ChronosBolt(rho2=1.0),PEMS08,control (swap invariant),3614,0.46956348,0.49552232,0.5033204205866076,0.2124849665733086
ChronosBolt(rho2=1.0),AQWan,main (swap dynamic),296,0.54562324,0.48501974,0.5675675675675675,0.0478694231564384
ChronosBolt(rho2=1.0),AQWan,control (swap invariant),296,0.5280138,0.4855853,0.5304054054054054,0.3442309876753043
ChronosBolt(rho2=1.0),Wind,main (swap dynamic),408,0.6260323,0.55994666,0.5588235294117647,0.050610275580598
ChronosBolt(rho2=1.0),Wind,control (swap invariant),408,0.5937727,0.5416712,0.5441176470588235,0.1082501492764617
ChronosBolt(rho2=1.0),ZafNoo,main (swap dynamic),81,0.50843924,0.59627026,0.4938271604938271,0.3548730566348994
ChronosBolt(rho2=1.0),ZafNoo,control (swap invariant),81,0.49287844,0.6147458,0.419753086419753,0.0869957591894113
ChronosBolt(rho2=1.0),CzeLan,main (swap dynamic),242,0.49644813,0.48474637,0.5165289256198347,0.9769476788344904
ChronosBolt(rho2=1.0),CzeLan,control (swap invariant),242,0.50123626,0.4481551,0.5082644628099173,0.3445026076548224
ChronosBolt(rho2=10.0),ETTh1,main (swap dynamic),34,0.43558946,0.3337538,0.5294117647058824,0.5206828033551574
ChronosBolt(rho2=10.0),ETTh1,control (swap invariant),34,0.48375815,0.2718767,0.6764705882352942,0.0065011925762519
ChronosBolt(rho2=10.0),ETTm1,main (swap dynamic),496,0.38469696,0.44703546,0.4375,0.0016205221755849
ChronosBolt(rho2=10.0),ETTm1,control (swap invariant),496,0.40149468,0.42655152,0.439516129032258,0.0322138867207
ChronosBolt(rho2=10.0),electricity,main (swap dynamic),1322,0.38674086,0.40030143,0.5007564296520424,0.5321017985609618
ChronosBolt(rho2=10.0),electricity,control (swap invariant),1322,0.42086723,0.37986532,0.5408472012102874,9.431114857491248e-05
ChronosBolt(rho2=10.0),ETTh2,main (swap dynamic),39,0.45574167,0.48803687,0.4358974358974359,0.585392383949511
ChronosBolt(rho2=10.0),ETTh2,control (swap invariant),39,0.44754854,0.4828997,0.5128205128205128,0.8522410723089706
ChronosBolt(rho2=10.0),ETTm2,main (swap dynamic),365,0.57016474,0.64479196,0.4520547945205479,0.0137734504449762
ChronosBolt(rho2=10.0),ETTm2,control (swap invariant),365,0.62782824,0.58864677,0.5260273972602739,0.4684337744531234
ChronosBolt(rho2=10.0),weather,main (swap dynamic),1236,0.7011981,0.7049752,0.4822006472491909,0.5463836013713014
ChronosBolt(rho2=10.0),weather,control (swap invariant),1236,0.7222162,0.7104107,0.4862459546925566,0.9479746091453202
ChronosBolt(rho2=10.0),exchange_rate,main (swap dynamic),42,0.7071564,0.9093846,0.4285714285714285,0.2426179231588321
ChronosBolt(rho2=10.0),exchange_rate,control (swap invariant),42,0.69213116,0.9264981,0.4047619047619047,0.1828587281356704
ChronosBolt(rho2=10.0),traffic,main (swap dynamic),7698,0.4632628,0.55570453,0.4256949857105742,1.0245235808154334e-70
ChronosBolt(rho2=10.0),traffic,control (swap invariant),7698,0.46849692,0.54470825,0.4424525850870356,6.693411232018786e-50
ChronosBolt(rho2=10.0),solar,main (swap dynamic),6841,0.6814687,0.8138065,0.4594357550065779,3.3250950029943668e-18
ChronosBolt(rho2=10.0),solar,control (swap invariant),6841,0.70819783,0.81035846,0.4565122058178629,9.71506333559934e-15
ChronosBolt(rho2=10.0),PEMS08,main (swap dynamic),3614,0.4412852,0.4873626,0.4961261759822911,0.0126130703818134
ChronosBolt(rho2=10.0),PEMS08,control (swap invariant),3614,0.45860478,0.47897804,0.5293303818483674,0.8413644474874455
ChronosBolt(rho2=10.0),AQWan,main (swap dynamic),296,0.49259913,0.49809638,0.5168918918918919,0.9070952807078624
ChronosBolt(rho2=10.0),AQWan,control (swap invariant),296,0.5386542,0.450609,0.5844594594594594,0.0160392770725276
ChronosBolt(rho2=10.0),Wind,main (swap dynamic),408,0.6059976,0.5414962,0.5514705882352942,0.0460376303143539
ChronosBolt(rho2=10.0),Wind,control (swap invariant),408,0.6237683,0.5186467,0.5808823529411765,0.0010069496222403
ChronosBolt(rho2=10.0),ZafNoo,main (swap dynamic),81,0.5026391,0.62420034,0.4320987654320987,0.0724608506474172
ChronosBolt(rho2=10.0),ZafNoo,control (swap invariant),81,0.55075693,0.5959925,0.4567901234567901,0.4086313947903105
ChronosBolt(rho2=10.0),CzeLan,main (swap dynamic),242,0.47836837,0.44411084,0.5,0.6593752195447637
ChronosBolt(rho2=10.0),CzeLan,control (swap invariant),242,0.49937612,0.47500536,0.5,0.5617731908868462
Moirai2_lr1.5e-5,ETTh1,main (swap dynamic),34,0.27272086841176474,0.3214162482,0.5588235294117647,0.8527409039670601
