dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.3759966,0.84083796,0.58027554,1.0451169
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.3759966,0.84083796,0.58027554,1.0451169
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,1.0380158,2.2220888,1.0070333,2.1911063
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.19982958,0.37518692,0.1031394,0.4718771
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.19982958,0.37518692,0.1031394,0.4718771
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.10035515,0.14979076,0.06381369,0.014378071
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.10035515,0.14979076,0.06381369,0.014378071
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,1.2603765,0.35731602,1.7396522,0.12195969
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.12222099,0.007917881,0.03412199,0.1484251
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.025710583,0.19525528,0.11996412,0.049580574
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,2.375791,1.3150926,2.412952,1.3522534
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.018661499,0.73091125,0.34495783,0.40461493
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.15630245,0.3302102,0.07947302,0.40703964
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.028256893,0.2660427,0.14860296,0.44290257
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.14513874,0.20054293,0.08687401,0.031469822
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.9149866,0.2731576,1.2620387,0.6202097
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.13006163,0.8431301,0.08301306,0.6300554
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.36093998,0.028006554,0.22700548,0.16194105
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.75171137,1.0575581,0.267951,0.5737977
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.75171137,1.0575581,0.267951,0.5737977
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.016191483,0.018288136,0.096652985,0.09874964
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.016191483,0.018288136,0.096652985,0.09874964
