dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh2,OT,13120,13696,0.9652734243351802,0.1621129101551366,0.07268,0.13910484,0.1308167,0.08096814
ETTh2,LULL,13760,14336,0.9409356634798288,0.1727545505658783,1.7604895,1.08958,1.8013201,1.1304107
ETTh2,MULL,12352,12608,0.940372337188536,-0.1260241329706174,0.7111604,0.083991766,0.6029403,0.19221187
ETTh2,LULL,13696,14144,0.9399437347630396,0.1847733549756773,0.7338605,1.1421242,1.1021957,1.5104594
ETTh2,MUFL,11840,13952,0.93823720861943,0.286156140999081,0.034952402,0.1674509,0.0026903152,0.19971299
ETTh2,HUFL,11840,13952,0.9351804139426848,0.2909223242755387,0.13272595,0.08142328,0.26375294,0.0496037
ETTh2,LUFL,12352,13696,0.9333075342383276,-0.1462794804650071,0.85361123,1.0080991,0.69114804,1.1705623
ETTh2,MUFL,13056,13248,0.9297442099060832,0.2538239393062107,0.4931445,0.2993045,0.33296585,0.45948315
ETTh2,HUFL,12160,14272,0.9182180046047635,0.2676662261221412,0.4559958,1.1323314,0.83667827,0.7516489
ETTh2,HUFL,13056,13824,0.9172057385923432,0.2348123058642294,0.17592669,0.18986964,0.20862055,0.15717578
ETTh2,MUFL,11584,11968,0.9054442629078652,0.2925428551074931,0.17280746,0.29039383,0.23347187,0.22972941
ETTh2,MUFL,12352,14080,0.9026582942405004,0.0355635163664008,0.30913615,0.43681216,0.44402266,0.30192566
ETTh2,MUFL,13184,13568,0.8954323341337291,0.2226522849685121,0.732877,0.5814893,0.78126764,0.5330987
ETTh2,HUFL,12352,14080,0.8869440144305606,0.0196009842737061,0.33821106,0.57457924,0.47087002,0.44192028
ETTh2,HUFL,11968,12928,0.884063094089426,0.1303944583451646,0.13558841,0.20823288,0.26326966,0.080551624
ETTh2,MUFL,12800,13760,0.8724062860778087,0.1320302679472141,0.009407997,0.096063614,0.07741594,0.009239674
ETTh2,MUFL,13504,13888,0.8710227077869991,0.181064048747662,0.16865277,0.037315845,0.101317644,0.104650974
ETTh2,HUFL,13184,13568,0.8700923259031604,0.0955759418010818,0.40270233,0.36336875,0.42601442,0.34005666
ETTh2,MUFL,12416,14144,0.8670709326269005,0.2542062626178832,0.31155038,0.28189874,0.34589386,0.24755526
ETTh2,LUFL,13056,13440,0.866260260911061,0.0132609309740102,0.7162888,1.3018968,0.7942896,1.223896
ETTh2,MUFL,12928,13312,0.8656660963941714,0.2961844980601907,0.32943606,0.33755946,0.35858822,0.3084073
ETTh2,LUFL,12288,12480,0.8590388234639577,-0.0214036541121141,0.0476954,0.12926888,0.089571714,0.08739257
ETTh2,HUFL,12416,14144,0.8586978127891548,0.2528627496516144,0.489758,0.37508082,0.3899634,0.47487545
ETTh2,MULL,11584,13952,0.8467704280238812,-0.0064157425140775,0.61742043,0.11300659,0.70318055,0.027246475
ETTh2,MUFL,12032,12608,0.8461768255685083,0.2158138208006222,0.47959137,0.34637713,0.40226293,0.42370558
ETTh2,MULL,12800,13760,0.8449384856924296,0.0427892831819157,0.18713188,0.3310194,0.124852896,0.3932984
ETTh2,LUFL,11648,14144,0.8366418531056338,0.1382674862012978,0.0784235,0.19111156,0.09509945,0.017588615
ETTh2,LUFL,11712,12864,0.8347857708127667,0.1841397233597886,0.68970346,0.49351525,0.7141385,0.4690802
ETTh2,LUFL,12800,13760,0.8344973047122937,0.1904853095990603,0.8851142,1.4341054,0.7890668,1.5301528
ETTh2,MUFL,12672,14016,0.8283316358115818,0.0827504335622687,0.08816671,0.000644207,0.09364867,0.18117118
ETTh2,HULL,12608,13696,0.8242088331790709,-0.1812709904995386,0.16523218,0.7288127,0.49688053,0.39716434
ETTh2,HUFL,12800,13760,0.8223081668510908,0.0952735360053731,0.3048463,0.47352457,0.31342316,0.4649477
ETTh2,MULL,12032,14208,0.82131540292874,-0.0014155559960896,0.9141693,0.58991456,0.9245417,0.57954216
ETTh2,LULL,11968,12928,0.8207915456560387,0.2257189963151787,0.83767796,0.85279655,1.2319183,0.45855618
ETTh2,LUFL,12224,13952,0.8172078075064368,0.0913428677457466,0.9471946,1.2689481,0.74404144,1.4721012
ETTh2,LUFL,12160,13120,0.8168809825540851,0.2575855534312156,0.16571546,0.23323798,0.13233829,0.26661515
ETTh2,HUFL,12672,14016,0.8149427617219964,0.1162358370520642,0.08595991,0.026767015,0.097420454,0.21014738
ETTh2,HUFL,13376,14336,0.8067457673028884,0.2031168032683989,0.69286966,1.1497483,0.607841,1.234777
ETTh2,MULL,13120,13504,0.8035485634019546,0.013554418140491,0.26684165,0.27683878,0.1278882,0.41579223
