dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm2,OT,54016,56320,0.9989138113646686,0.2012196711767137,0.24427319,0.5364566,0.13974619,0.4319296
ETTm2,LULL,54144,56960,0.998516713865728,0.2364601125725998,2.262074,0.8261533,2.1222153,0.68629456
ETTm2,OT,50368,56512,0.9980042248633644,0.2934542110298186,0.10226488,0.059748173,0.5902209,0.42820787
ETTm2,OT,47488,47872,0.997415845073283,0.1586899847525221,0.054567814,0.3254404,0.06417227,0.4441805
ETTm2,OT,49984,53632,0.996789006758549,0.1844959390002493,0.050621033,0.07477903,0.12449503,0.14865303
ETTm2,OT,48000,53568,0.9960156518426004,0.2030293011886217,0.30941963,0.088656425,0.32837725,0.10761404
ETTm2,OT,52864,54976,0.995918619560946,0.1986393601054941,1.0811496,0.54650927,1.1939545,0.65931416
ETTm2,OT,50496,52416,0.9958030392516988,0.2753552297203792,0.26129103,1.9006252,0.1406231,2.0212932
ETTm2,OT,51904,56704,0.9952838470584174,0.1895493485715718,0.6515136,0.14851284,0.63454485,0.16548157
ETTm2,OT,47296,53824,0.9944151759820952,0.2319127252535049,0.0824976,0.019631863,0.42660856,0.3244791
ETTm2,MUFL,50304,54720,0.9922728510174276,0.2652081367073156,0.3716545,0.26917744,0.30545473,0.33537722
ETTm2,OT,54592,57536,0.9914831133153776,-0.0551033547253773,0.8235755,0.57358027,0.894979,0.64498377
ETTm2,LULL,51392,52928,0.99135580413269,0.2465730681292814,0.07636595,0.34164953,0.13940334,0.5574188
ETTm2,OT,49664,54464,0.9906011761905568,0.2102734169683665,0.0884285,0.680768,0.049446583,0.6417861
ETTm2,MUFL,52864,54400,0.9905993503534756,0.007626730939294,0.041419506,0.3009863,0.20128298,0.14112282
ETTm2,OT,47424,50688,0.9899296104109994,0.2875389537147937,0.19918346,0.18660975,0.24972296,0.13607025
