dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
PEMS08,57,15565,17293,0.999566597688139,0.2813413244674792,0.12996006,1.0686703,0.012445927,0.95115614
PEMS08,52,15565,17293,0.9994222300517872,0.1489633297419849,0.2513895,0.782289,0.045945644,0.9877329
PEMS08,54,15181,17485,0.9993910331293022,0.2040988796629941,0.7454243,0.8216338,0.59129524,0.6675048
PEMS08,2,14989,15565,0.9993415970114206,0.2866267038886076,1.0002689,0.14943695,0.83411837,0.01671362
PEMS08,166,15565,16141,0.9992984719168976,0.2802177474510778,0.17394495,0.017336845,0.06631374,0.12496805
PEMS08,126,14925,16077,0.9991826346362376,0.2440249408796831,0.90394115,0.122392654,1.1640763,0.38252783
PEMS08,125,14925,16077,0.9991826346362376,0.2440249408796831,0.7587042,0.098201275,1.0892549,0.42875195
PEMS08,121,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,48,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,80,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,123,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,122,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,141,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,61,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,142,14925,16077,0.9991826346362376,0.2440249408796831,0.7339463,0.08474016,1.0692363,0.42003012
PEMS08,64,14925,16077,0.9991826346362376,0.2440249408796831,0.67882967,0.2016468,0.697248,0.1832285
PEMS08,124,14925,16077,0.9991710841844532,0.2448045758651475,0.7340088,0.07871628,1.0710435,0.41575098
PEMS08,153,14925,16077,0.9991506892509644,0.2717636739617515,0.818696,0.05123043,1.1361594,0.36869383
PEMS08,60,14925,16077,0.9991433249537516,0.2470734728032629,0.84214926,0.045083523,1.1521087,0.35504293
PEMS08,83,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,159,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,70,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,81,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,84,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,55,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,73,14925,16077,0.9991433249537516,0.2470734728032629,0.8336072,0.04820347,1.1440239,0.35862017
PEMS08,62,14925,16077,0.9991226004226754,0.2657967347478787,0.89422417,0.061858177,1.1968226,0.36445665
PEMS08,109,14925,16077,0.9991226004226754,0.2657967347478787,0.89422417,0.061858177,1.1968226,0.36445665
PEMS08,149,14925,16077,0.9991226004226754,0.2657967347478787,0.8942237,0.061858654,1.1968226,0.3644576
PEMS08,154,14925,16077,0.9991226004226754,0.2657967347478787,0.8263798,0.14909458,1.0732126,0.39592743
PEMS08,50,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,116,14925,16077,0.9990964641995294,0.298051242199367,0.8157058,0.095888615,1.1254888,0.4056716
PEMS08,91,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,90,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,89,14925,16077,0.9990964641995294,0.298051242199367,0.91922283,0.2694645,1.013547,0.3637886
PEMS08,144,14925,16077,0.9990964641995294,0.298051242199367,0.83628035,0.12473869,1.1042571,0.39271545
PEMS08,75,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,131,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,145,14925,16077,0.9990964641995294,0.298051242199367,0.8303113,0.06970644,1.1427722,0.38216734
PEMS08,85,14925,16077,0.9990964641995294,0.298051242199367,0.6427865,0.6596556,0.7524972,0.76936626
PEMS08,115,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,74,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,51,14925,16077,0.9990964641995294,0.298051242199367,0.8554349,0.06078291,1.172051,0.37739897
PEMS08,63,14989,15565,0.9990593411094484,0.1769712448440994,2.2821155,0.02437067,1.8223767,0.4841094
PEMS08,56,14989,15565,0.9990231613993116,0.1761406429258702,0.9905691,0.32471514,1.0886054,0.42275143
PEMS08,45,14925,16077,0.9990024864070368,0.2426089160181782,0.4939003,0.2644148,0.6909094,0.0674057
PEMS08,20,15565,17293,0.9989842797901508,0.1298339412992586,0.74363804,0.5521579,0.17090702,1.1248889
PEMS08,9,15885,17613,0.998882224818729,0.1923120544662939,0.13158417,0.075968266,0.056383133,0.111999035
PEMS08,71,15565,16141,0.9988085538197142,0.1623539359837527,0.15728712,0.012784481,0.0840435,0.0860281
PEMS08,143,14989,17293,0.9987749771317712,-0.1973073671461267,0.2264123,0.14564371,0.118453026,0.25360298
PEMS08,25,15885,17613,0.9987718316591774,0.007878590859796,0.2275629,0.27010202,0.20028782,0.2973771
PEMS08,99,16141,17293,0.9987463870013906,0.1605753537725036,0.07264137,0.67550325,0.15339804,0.7562599
PEMS08,54,15501,16077,0.9987379750802028,0.2031266230745203,0.0013942719,0.0667882,0.0771718,0.008989334
PEMS08,54,15821,16973,0.9987351045247288,0.2096533016037962,0.12396145,0.42218113,0.2188158,0.07940388
PEMS08,34,16141,17293,0.9986752790890496,-0.053245920342999,0.18842936,0.29149055,0.29742432,0.1824956
PEMS08,166,14989,17293,0.9986480786199924,0.2222324481885279,0.2624445,0.42786455,0.69314957,0.002840519
PEMS08,3,14989,15565,0.9986304618500792,-0.0193775177665877,1.2230458,0.13442755,0.8216996,0.26691866
PEMS08,0,14989,17293,0.9986216658519724,0.094891933621626,0.6223731,0.48411512,0.31854534,0.18028736
PEMS08,86,16141,17293,0.9985472291185178,0.2005892378860178,0.3207903,0.4693117,0.29351616,0.49658585
PEMS08,32,14989,16141,0.9984346909295828,0.0441004821792247,0.89816856,0.036070347,0.59305334,0.34118557
PEMS08,109,14669,16397,0.9984318352923314,0.1302736761517991,0.20057964,0.12121582,0.15475321,0.075389385
PEMS08,154,14669,16397,0.9984318352923314,0.1302736761517991,0.22991562,0.10040712,0.14662313,0.01711464
PEMS08,62,14669,16397,0.9984318352923314,0.1302736761517991,0.20057964,0.12121582,0.15475321,0.075389385
PEMS08,149,14669,16397,0.9984318352923314,0.1302736761517991,0.20057869,0.12121582,0.15475225,0.075389385
PEMS08,145,14669,16397,0.9984237465473156,0.1311966902826662,0.22071934,0.118639946,0.17391348,0.07183409
PEMS08,144,14669,16397,0.9984237465473156,0.1311966902826662,0.24708462,0.123924255,0.17870188,0.055541515
PEMS08,75,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,115,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,85,14669,16397,0.9984237465473156,0.1311966902826662,0.07844782,0.2491312,0.26526928,0.062309742
PEMS08,51,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,90,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,131,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,89,14669,16397,0.9984237465473156,0.1311966902826662,0.10434246,0.05869341,0.42570353,0.26266766
PEMS08,91,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,116,14669,16397,0.9984237465473156,0.1311966902826662,0.19821692,0.1309824,0.16403103,0.09679651
PEMS08,74,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,50,14669,16397,0.9984237465473156,0.1311966902826662,0.20800638,0.13391256,0.16567278,0.09157896
PEMS08,73,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,70,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,60,14669,16397,0.9983932849652014,0.1485514443230489,0.2245965,0.10208368,0.1771841,0.054671288
PEMS08,83,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,81,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,159,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,84,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,55,14669,16397,0.9983932849652014,0.1485514443230489,0.2377491,0.1222353,0.16291904,0.047405243
PEMS08,25,15245,16973,0.9983788862169696,-0.0387012723006222,0.43249226,0.06488609,0.34693623,0.15044212
PEMS08,64,14669,16397,0.9983531714079804,0.1475990869124808,0.25880718,0.23915434,0.054261208,0.034608364
PEMS08,126,14669,16397,0.9983531714079804,0.1475990869124808,0.19483614,0.12598991,0.15012169,0.08127546
PEMS08,61,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,122,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,142,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,80,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,121,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,48,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,125,14669,16397,0.9983531714079804,0.1475990869124808,0.20829105,0.111858845,0.1573391,0.060906887
PEMS08,123,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,141,14669,16397,0.9983531714079804,0.1475990869124808,0.21149397,0.122036934,0.15428019,0.06482315
PEMS08,124,14669,16397,0.9983396875951064,0.1487557134587982,0.24284601,0.10921192,0.14677715,0.013143063
PEMS08,153,14669,16397,0.9983366300471208,0.1260656770570486,0.23891783,0.13053942,0.16377115,0.055392742
PEMS08,135,15565,17293,0.99831613610271,0.2898619263180636,0.031716347,0.55792284,0.10364151,0.629848
PEMS08,11,15565,17293,0.9983139907676006,0.1190209170366654,0.14451456,0.054565907,0.063611984,0.13546848
PEMS08,120,14989,16141,0.9983128474930628,0.1540926010725479,0.5885644,0.28165865,0.72443867,0.14578438
PEMS08,165,15309,17037,0.9983058297384066,0.2187020731287635,0.22999763,0.44311285,0.35401964,1.0271301
PEMS08,16,15565,17293,0.9982763003067828,0.1253115120390309,0.14751196,0.22411633,0.06774616,0.30388212
PEMS08,37,15309,17613,0.998275159109254,0.162502175973736,0.14482641,0.14893484,0.08520937,0.20855188
PEMS08,153,17037,17613,0.9982521372638254,0.2355039642264294,1.2208562,0.09347677,1.0618887,0.06549072
PEMS08,138,15565,17293,0.9982496288266148,0.2054894678993258,0.036349297,0.035973072,0.21339369,0.21376991
PEMS08,82,16141,17293,0.9982481423442556,0.2994230375053473,0.04321575,0.6895094,0.214715,0.43157864
PEMS08,54,15885,17037,0.998211864803436,0.1799055181619302,0.50021935,0.4853511,0.0036449432,0.9819255
PEMS08,64,17037,17613,0.9981946376162988,0.2295114932035107,1.2934041,0.067658424,1.1069665,0.11877918
PEMS08,126,17037,17613,0.9981946376162988,0.2295114932035107,1.0843277,0.18152428,0.84362507,0.059178352
PEMS08,80,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,122,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,125,17037,17613,0.9981946376162988,0.2295114932035107,1.1851268,0.112291336,0.9621906,0.11064482
PEMS08,123,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,142,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,48,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,61,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,121,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,141,17037,17613,0.9981946376162988,0.2295114932035107,1.1999097,0.112104416,0.98238564,0.105419636
PEMS08,124,17037,17613,0.9981914441318582,0.2318522998458627,1.198071,0.11319971,0.98471403,0.10015726
PEMS08,144,17037,17613,0.998190791824302,0.2311751896492249,1.3267155,0.07424402,1.1380987,0.11437273
PEMS08,116,17037,17613,0.998190791824302,0.2311751896492249,1.2330418,0.09685516,1.0771632,0.05902338
PEMS08,145,17037,17613,0.998190791824302,0.2311751896492249,1.200635,0.09334326,1.033567,0.07372475
PEMS08,85,17037,17613,0.998190791824302,0.2311751896492249,1.1207552,0.12464619,0.9706192,0.025489807
PEMS08,90,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,91,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,51,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,115,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,131,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,75,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,50,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,74,17037,17613,0.998190791824302,0.2311751896492249,1.152307,0.087305546,0.9908352,0.0741663
PEMS08,168,14925,15501,0.998182346966936,-0.0456604793020066,1.0234337,0.0025410652,1.3508353,0.3299427
PEMS08,60,17037,17613,0.9981810093936736,0.2266609960998515,1.2625175,0.091193676,1.1187229,0.05260086
PEMS08,159,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,84,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,70,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,83,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,73,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,81,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,55,17037,17613,0.9981810093936736,0.2266609960998515,1.1968946,0.11858463,0.98119164,0.09711838
PEMS08,109,17037,17613,0.9981549390767196,0.2220430102922965,1.241868,0.09430075,1.0639629,0.083604336
PEMS08,154,17037,17613,0.9981549390767196,0.2220430102922965,1.193088,0.053506374,1.0527582,0.08682346
PEMS08,62,17037,17613,0.9981549390767196,0.2220430102922965,1.241868,0.09430075,1.0639629,0.083604336
PEMS08,107,14925,15501,0.9981234619327968,0.0046324524863462,0.15013885,0.023636818,0.13123798,0.30501366
PEMS08,117,15565,16141,0.9981201941286768,0.0879790923577917,0.67516327,0.20994711,0.91702175,0.031911373
PEMS08,2,15309,17613,0.9981111216948856,0.2704589554459787,0.27913046,0.25702858,0.27024937,0.29235125
PEMS08,36,14989,17293,0.998006761204406,0.2017762956267727,0.049744606,0.31727934,0.04945612,0.21807861
PEMS08,23,15885,17037,0.9980032553044134,0.183826983318362,0.0055880547,0.33655405,0.37380934,0.71595144
PEMS08,128,15565,16141,0.997990963054668,0.272503397696014,0.5791507,0.20278454,0.52385044,0.25808477
PEMS08,14,14925,15501,0.997985214966714,-0.1941258562880741,0.73660755,0.52678394,1.2983575,0.034965992
PEMS08,163,15565,17293,0.9979549684041656,0.2946423649067797,0.7558837,1.169373,0.35486555,1.5703912
PEMS08,168,16077,17229,0.9979489443068232,0.1233993835661718,0.44891024,0.7759514,0.03379965,0.3608408
PEMS08,168,14989,16141,0.997944300651439,0.0903323275031679,1.1585584,0.30746698,1.1515098,0.30041838
