dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,0.3966303,0.22035265,0.49927425,0.32299662
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,0.55829096,1.3696241,0.5882983,1.3396168
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.44926023,0.5939112,0.238729,0.8044424
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.31185436,0.5281911,0.57371664,0.79005337
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.074700356,0.034964085,0.118314266,0.008649826
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,0.6862159,0.413476,0.74240303,0.46966314
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.32518482,0.031120777,0.25914192,0.034922123
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.044501305,2.3926864,0.092737675,2.5299253
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,0.9736705,0.079446316,1.0862665,0.03314972
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,0.47954607,1.3017106,0.36731243,1.189477
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.11515951,1.2053909,0.08082914,1.4013796
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,0.060067177,0.19381618,0.043457985,0.21042538
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,0.49957418,1.4750166,0.20874262,1.184185
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,0.7868099,0.30014038,0.8284483,0.34177876
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.34901953,0.6847992,0.09479475,1.1286135
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,0.55986977,2.850554,0.76066875,3.051353
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,0.45209837,0.5625844,0.92873716,0.085945606
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.45602846,0.58834887,0.17921686,0.31153727
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.39792204,1.7130618,0.037427425,1.2777123
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,1.6051221,0.39913464,1.3923702,0.18638277
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.2386918,0.12429714,0.29776764,0.06522131
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.18769312,0.7939124,0.35765076,0.96387005
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,2.6154594,1.0237517,2.4723082,0.88060045
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,2.0561433,0.22501707,2.1989484,0.08221197
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,0.18306303,0.27221584,0.25777435,0.7130532
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.13314438,0.04445505,0.38489532,0.2072959
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.081243515,0.070729256,0.2759347,0.123961926
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.382339,0.96966505,0.61939573,0.7326083
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,0.0046544075,0.18535376,0.17949677,0.36950493
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.19519377,0.24101114,0.27833796,0.15786695
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,0.63342524,0.0076847076,0.7643709,0.123260975
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.094193935,4.3504295,0.05216694,4.2040687
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,1.0995908,0.07486439,1.3678617,0.19340658
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,0.9933152,0.42793036,1.293117,0.7277322
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,0.34023666,0.2787571,0.03232193,0.0938015
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,1.1032224,0.26892757,0.8835678,0.48858213
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.010594368,0.5145912,0.23859882,0.28658676
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,0.07268524,0.4556055,0.17114115,0.6994319
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,1.1076479,0.63187647,1.0811448,0.6053734
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,0.10699034,0.8684559,0.12389898,0.63756657
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,0.34423923,0.765008,0.2642684,0.68503714
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,1.3436103,0.09886694,1.2595387,0.18293858
Wind,pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228,1.5183625,0.524879,1.5044065,0.5109229
Wind,pred_temp,42971,46043,0.984208680256352,0.2954500059995394,0.3445878,0.63571167,0.1611929,0.45231676
Wind,pred_temp,45659,47387,0.9841432421513178,0.1304473503505108,0.048843384,0.61706686,0.10020304,0.5657072
Wind,pred_temp,40411,43675,0.9838882691243814,0.2763953769196636,0.58265114,0.1783123,0.4634509,0.059112072
Wind,pred_temp,40283,41051,0.9838685532992958,0.2813792678825668,1.347661,0.33301544,1.4976234,0.48297787
Wind,pred_w_dir,44763,47067,0.9835206238420678,-0.0944209561108623,0.025001049,1.1616702,0.38519335,0.7514758
Wind,pred_w_speed,42907,43483,0.9834698456430324,0.1388816623981261,0.3712678,0.12486124,0.028432846,0.21797371
Wind,pred_humidity,39771,47963,0.9834457394066168,0.0515655341428043,0.95781755,1.1728377,0.39063263,0.6056528
Wind,pred_humidity,40475,45403,0.9829928178363976,0.2726099274852764,0.05463934,0.15589476,0.02353096,0.18700314
Wind,pred_w_speed,45403,48283,0.9824480888289912,0.1096095364919474,1.0838871,0.35077095,1.2485747,0.5154586
Wind,pred_humidity,47195,48539,0.9821291032963396,-0.0460300557362969,0.5092244,1.0005322,0.2992673,0.790575
Wind,pred_temp,43739,44315,0.981899326561384,0.0324806148671649,0.01945734,0.61199903,0.04808092,0.58337545
Wind,pred_pressure,40155,45915,0.981742514869764,0.1292925186407469,0.98302364,0.68477535,1.3796754,0.2881236
Wind,pred_humidity,40859,47771,0.981496147666446,0.0611109301864915,0.3325982,2.2048059,0.057360172,1.9295678
Wind,pred_pressure,44955,47643,0.9814772189391352,0.2224337596401074,0.031759262,0.80607796,0.24424887,0.59358835
Wind,pred_w_speed,44827,47963,0.9814219320332648,0.2223553818540887,1.417119,0.097662926,1.4906969,0.024085045
