dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh1,HULL,12864,13056,0.959037641821233,0.2237634618738912,0.11955011,0.035776854,0.0049444437,0.07882881
ETTh1,OT,13056,13824,0.9426761864127728,0.1436291034175758,0.96373916,1.7825222,1.0573723,1.688889
ETTh1,HULL,12288,12480,0.935269074657346,0.2673239575812737,0.03584528,0.0052702427,0.032865047,0.008250475
ETTh1,OT,12032,12352,0.9298092508129354,-0.0485925852744507,1.088105,0.29283237,1.0424545,0.33848286
ETTh1,MULL,12864,13056,0.922860945154761,0.2361467657994069,0.09295988,0.12556839,0.05821395,0.02560544
ETTh1,MULL,12160,12544,0.9220085746625858,0.2031108849218866,0.1974554,0.17709494,0.16497302,0.20957732
ETTh1,MUFL,12352,14336,0.9180700492251204,0.2360249742747449,0.73334765,0.76653206,0.30135226,0.33453667
ETTh1,MULL,11968,14336,0.9153408514350512,-0.0364875687835225,1.3584144,0.5417986,1.2481749,0.6520381
ETTh1,LULL,11904,13248,0.913440683597972,0.0948054579289701,0.38709474,0.039245367,0.24112463,0.18521547
ETTh1,HUFL,12352,14336,0.9102818593969182,0.1994834764370003,0.7195926,0.782902,0.34954882,0.41285825
ETTh1,MULL,12352,13312,0.9062201900764724,0.2187420809590237,0.2876358,0.018442154,0.1037035,0.20237446
ETTh1,LULL,12288,12672,0.9019374196701532,0.2885559988525516,0.2897961,0.33894324,0.3684678,0.26027155
ETTh1,LULL,11840,13760,0.8952147485611228,0.124829749116463,0.5994458,0.31809616,0.47257543,0.44496655
ETTh1,MULL,12032,13184,0.8935518450834815,0.2910647830771676,7.1287155e-05,0.17213869,0.06984162,0.102368355
ETTh1,HULL,11968,14336,0.8861122018558761,-0.0938538112760696,1.2125933,0.05621791,1.3368342,0.18045878
ETTh1,HULL,12160,12544,0.8790715318912513,0.2311966607821612,0.12176442,0.13457894,0.09981942,0.15652394
ETTh1,MUFL,12160,12544,0.8770018297996932,0.240749934110751,0.5659745,0.42362094,0.5478442,0.44175124
ETTh1,OT,12288,12480,0.8766234930449524,0.2332626004910761,0.35857296,0.35347223,0.30189657,0.41014862
ETTh1,MULL,12288,12672,0.8648718696997232,0.1725654273508581,0.14170313,0.08252835,0.11977458,0.1044569
ETTh1,OT,12096,12672,0.8625317445527627,-0.0279755504999184,0.08351469,0.003950119,0.02647686,0.10604143
ETTh1,OT,12224,12800,0.8577614901673843,0.2579300518785212,0.77910995,0.49485683,0.83920956,0.43475723
ETTh1,OT,11968,12544,0.8551246580790225,0.0818084157555757,0.6296232,0.79330397,0.5664265,0.8565006
ETTh1,LULL,12608,13184,0.8463099216887117,0.1140305595649016,0.35319924,0.13712406,0.33461022,0.15571308
ETTh1,HULL,12992,13184,0.8454247963577539,0.2661429973489239,0.047170162,0.024820328,0.004649639,0.026999474
ETTh1,LULL,14016,14208,0.8436219084189474,0.2849792557425824,0.07502699,0.052596092,0.16847658,0.0408535
ETTh1,OT,12736,13248,0.841230861862274,-0.1100245349339903,0.1322751,0.2992344,0.22440529,0.057446003
ETTh1,OT,13888,14080,0.8354409247624276,0.1882062733236474,0.836782,0.10086775,0.39879084,0.5388589
