dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.16692996,0.3056066,0.21683145,0.25570512
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,0.45131516,1.8814764,0.38371634,1.9490752
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.45408058,0.16710877,0.29622507,0.0092532635
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.13181567,0.025368452,0.17126489,0.014080763
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.13957906,0.31226778,0.17383218,0.27801466
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.0775187,0.06102228,0.09075856,0.07426214
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.072336674,0.09325981,0.18185115,0.20277429
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.55141807,0.8510649,0.5049033,0.89757967
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.26603127,0.19535208,0.23703289,0.1663537
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.575727,0.29352188,0.34835362,0.52089524
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.30837488,0.1368525,0.24783516,0.19739223
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.19606447,0.090786695,0.09834862,0.006929159
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.02915144,0.07763815,0.00078225136,0.10757184
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.82345057,0.6360562,0.5796833,0.87982345
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.17847061,0.3046236,0.22955775,0.25353646
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.56642604,0.5603988,0.57211614,0.5547087
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.11589718,0.10244489,0.0704546,0.057002306
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.33447504,0.09550023,0.46422172,0.034246445
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.520844,0.22980976,0.3908062,0.35984755
