dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,3.2405443,0.27692938,3.6524963,0.6888814
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.0050797462,0.029179096,0.0014100075,0.022689342
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,0.097611904,2.1475668,0.0806098,2.1305647
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.047873497,0.16239595,0.07706785,0.1332016
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.2616887,0.17488861,0.39178753,0.04478979
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.034157753,2.8592353,0.08486128,2.7402163
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.035147667,0.061092854,0.16830301,0.26454353
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,0.09607053,2.8454204,0.2984507,2.4508991
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.45891953,0.28868198,0.6847191,0.06288242
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.07258463,0.18585968,0.15531349,0.26858854
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,0.11314678,1.2371802,0.34402132,1.0063057
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.18894911,0.24065208,0.47142267,0.04182148
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,0.8574271,0.12740707,1.1267657,0.39674568
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.48550797,0.04496622,0.3324809,0.19799328
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.035680294,0.13435745,0.19867468,0.028636932
solar,95,44928,51840,0.99932929774961,0.2227845124201932,0.5247812,0.025203228,0.40514135,0.1448431
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.07900524,1.8719378,0.116147995,1.6767845
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.4121189,0.33432007,0.6413865,0.10505247
solar,71,47232,49536,0.9993051190926786,0.2504305323727651,0.23365879,1.6143775,0.3275342,1.5205021
solar,11,46144,51904,0.9993050006545716,0.2499904772845992,0.39797974,0.07936621,0.22610426,0.25124168
solar,31,43200,45504,0.9993010998360264,-0.0393974695290245,0.8488169,0.6044178,1.0947657,0.8503666
solar,128,43200,50112,0.9992612129296226,0.1315810796877095,0.75420475,2.430223,0.33608532,2.0121036
solar,35,48960,50688,0.9992575136910092,0.2668140758836945,1.9008079,0.2939644,2.042746,0.15202618
solar,90,44416,51328,0.999247935734077,0.2664470846589067,1.3305974,0.082427025,1.3329463,0.080078125
solar,125,42688,43264,0.9992390045758572,0.1675122426429176,1.0983558,0.017487288,0.93871546,0.1771276
