dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.1297462,0.22430778,0.0010035038,0.09355807
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.053236008,0.026233673,0.04153824,0.014535904
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,2.6497812,0.90190935,2.3311763,1.2205143
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.1879797,0.18948388,0.058908463,0.060412645
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.16766047,0.17441583,0.14869595,0.19338036
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.03349161,0.039384127,0.064574,0.008301735
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.105852485,0.05901277,0.08570671,0.079158545
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.18169141,0.036853313,0.14520144,0.0003633499
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.12249613,0.26959276,0.27912474,0.11296415
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.06922412,0.07265878,0.03546095,0.038895607
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.25828528,0.2663436,0.25815296,0.26647592
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.009662151,0.0036084652,0.03399706,0.020726442
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.123754025,0.031217575,0.09988165,0.05508995
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.2568723,0.0777483,0.13126743,0.20335317
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.12379074,0.26184607,0.19094396,0.19469285
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.21324658,0.3776424,0.22313023,0.36775875
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.13292265,0.45117497,0.113569975,0.20468235
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.14773583,0.026383638,0.11286998,0.061249495
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.35370708,0.97109425,0.1370976,0.48028958
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.04938841,0.06870508,0.115569115,0.13488579
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.14382148,0.70837665,0.4516077,0.40059042
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.31501508,0.21845484,0.24131227,0.29215765
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.01894784,0.3728392,0.3094244,0.08236265
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.12060499,0.5771079,0.07699013,0.3795128
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.16055703,0.23119569,0.2104516,0.18130112
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.30225086,0.20766807,0.2057848,0.30413413
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.36891627,0.25210094,0.29878902,0.3222282
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.029233217,0.7687061,0.38845873,0.40948057
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.2524128,0.36897302,0.47851133,0.14287448
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.027935266,0.059237003,0.026163578,0.057465315
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.26502132,0.05783081,0.20519495,0.117657185
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.36085653,0.37410283,0.26818752,0.46677184
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.22159743,0.10870123,0.19608617,0.083189964
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.16288185,0.20857906,0.0003812313,0.37107968
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.13710761,0.23955655,0.17922974,0.19743443
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.3407359,0.02238679,0.22980714,0.13331556
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.098076105,0.085916996,0.12184858,0.109689474
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.104192495,0.17469788,0.13607812,0.14281225
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.3795421,0.39258552,0.32411957,0.44800806
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.029419899,0.08653283,0.03378868,0.08216405
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.21410155,0.25788617,0.02959323,0.07337785
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.1280191,0.22073627,0.15752316,0.1912322
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.106390715,0.6466863,0.3432541,0.40982294
