dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,2.4267592,0.09236002,2.7105174,0.37611818
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.11809778,2.6741028,0.07355642,2.4824486
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.21802616,1.2888055,0.15941906,0.91136026
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.37246227,2.347147,0.18552923,1.7891555
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,0.931479,1.2079964,1.1291785,1.4056959
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.47652197,0.08377838,0.6446724,0.2519288
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,2.0919223,0.021250725,2.4896526,0.37647963
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,1.9884515,0.26308966,2.344902,0.0933609
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.21429777,0.48773098,0.4982252,0.7716584
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.20846605,0.6434941,0.5014801,0.9365082
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,2.3605585,0.17208433,2.710465,0.5219908
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.14433527,0.122062206,0.27313757,0.006740093
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,0.20559978,0.7593126,0.64741755,1.2011304
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.05485344,0.3389454,0.19601393,0.08807802
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,1.4599171,0.4543867,1.6317897,0.6262593
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,1.8485847,0.22942972,2.0423017,0.42314672
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,1.7289214,0.11782551,1.6380959,0.20865107
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.035866737,0.29548264,0.07763767,0.2537117
weather,p (mbar),49901,50349,0.9976902466498414,0.1608700528672035,1.2395272,1.8333731,1.0364866,1.6303325
weather,PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929,0.12862635,2.5615277,0.028997421,2.7191515
weather,Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192,0.89711905,1.2498422,0.6171994,0.96992254
weather,SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876,0.061050415,0.07306862,0.4207058,0.4086876
weather,max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384,0.63283014,0.08169794,0.68758345,0.13645124
weather,p (mbar),44333,52397,0.9975360354665784,0.0647201627658495,0.16164017,1.8937144,0.45457888,2.1866531
weather,p (mbar),46125,49965,0.997534887018418,0.2777457674959991,0.63222885,1.4506888,0.26045465,1.0789146
weather,p (mbar),47085,48813,0.9975184410454904,0.196086791997055,0.05584097,0.42899036,0.22521544,0.59836483
weather,max. PAR (�mol/m�/s),43565,51053,0.9974985346638872,0.2048209195073694,0.07589865,2.3306155,0.019726753,2.2349901
weather,Tpot (K),46637,46765,0.9974984436330896,0.0114380623832369,0.057311535,1.5742855,0.1536417,1.3633323
weather,SWDR (W/m�),44909,46637,0.9974597128248502,0.0702873162518401,1.948894,0.36701536,2.186161,0.6042824
weather,SWDR (W/m�),47085,49965,0.9974512641259072,0.0881137261742378,0.117565155,0.7937002,0.309803,0.60146236
weather,p (mbar),47213,47277,0.997385381045906,0.2846427605612534,0.019786835,0.19771051,0.53857374,0.7560711
weather,Tlog (degC),43949,50285,0.9973750178997391,0.1415086046858436,0.13512707,0.21600103,0.11704731,0.19792128
weather,p (mbar),44461,46637,0.99730862632448,0.1947488016146446,0.03918934,0.943511,0.40705633,1.3897567
weather,max. PAR (�mol/m�/s),49261,50413,0.9972471425946632,0.0131079893896458,1.3525448,0.2293005,1.2892208,0.29262447
weather,PAR (�mol/m�/s),44653,45805,0.997178754916874,0.2148929761517466,0.025877953,0.07624197,0.0916152,0.010504723
weather,p (mbar),46189,52333,0.9971726191092484,-0.0344358764170541,0.7046008,2.1791368,0.82588196,2.300418
weather,p (mbar),50605,51757,0.9971604616864784,0.0516861300464544,0.8932233,0.06867218,0.75581264,0.20608282
weather,SWDR (W/m�),47021,49325,0.9971594450619312,0.0437646626260338,2.2156677,0.0056295395,2.5944495,0.37315226
weather,p (mbar),48173,48557,0.9971405191450774,0.1067114692893908,0.83523226,0.114673615,0.9478793,0.22732067
weather,p (mbar),43821,48621,0.9970755815980412,0.1840292507945735,2.2647023,1.0671544,2.1951017,0.9975538
weather,PAR (�mol/m�/s),47085,49965,0.997059744165325,0.1161275734783486,0.07079601,0.566761,0.074780464,0.42118454
weather,T (degC),44717,45613,0.9970585931703084,-0.2093861663143651,0.44460583,0.04756069,0.45920277,0.032963753
weather,PAR (�mol/m�/s),44845,52333,0.9970237095296044,0.068589122216378,0.55471516,0.3153658,0.1403265,0.099022865
weather,VPmax (mbar),44589,46765,0.9970032540717728,-0.0086725932544801,0.64496183,0.016624928,0.75720453,0.09561777
weather,Tpot (K),43949,47981,0.9969808809727696,0.1085330593381223,0.22580242,0.74285746,0.25100422,0.26605082
weather,max. PAR (�mol/m�/s),44781,45933,0.9969682258300698,0.0578815367838547,0.2073574,1.0217466,0.10960722,0.704782
weather,p (mbar),46573,52269,0.996968102744992,0.2529456767309476,0.10823059,0.46207333,0.3632102,0.71705294
weather,rh (%),44525,45677,0.9969542026970204,0.1824067389459045,0.4357648,0.44137096,0.57699156,0.58259773
weather,T (degC),44461,44589,0.996889398138884,0.1342539427578408,0.17395782,1.2546182,0.5272608,0.55339956
weather,SWDR (W/m�),45229,49261,0.9968224408513868,0.0041566708337442,0.048184395,2.3610878,0.19653702,2.6058092
weather,PAR (�mol/m�/s),48301,48877,0.996763093710887,0.0467631599926701,0.27512503,0.028309822,0.110462666,0.19297218
weather,SWDR (W/m�),44141,51053,0.9967465561335864,-0.0517429624773266,0.10531187,3.0238457,0.18289089,2.9462667
weather,Tlog (degC),45613,45869,0.9967439636563672,0.0460489149663851,1.4685788,0.43479395,1.2795086,0.24572372
weather,Tdew (degC),42157,45613,0.9967134552802668,0.1735089069029627,0.31154728,1.7796254,0.24427652,1.7123547
weather,rh (%),44461,45613,0.9966925978791532,0.2085581672713834,0.17106867,0.53633547,0.25353527,0.6188021
weather,T (degC),45869,46765,0.9966864504249788,-0.1279822936246125,0.98466635,1.4445214,1.1935024,1.6533575
weather,p (mbar),44205,47469,0.9966567683380776,-0.1571750594034175,0.97564363,0.029465675,1.4184475,0.41333818
weather,VPdef (mbar),45869,49325,0.996530519327986,0.2209979029888183,0.085460186,0.9953604,0.047065258,0.86283493
weather,max. PAR (�mol/m�/s),44525,45101,0.9965169826128192,0.267009133958896,2.1636386,0.079391,2.621479,0.53723145
weather,p (mbar),46893,50797,0.9965061459975202,-0.0642003888644986,0.86087036,0.22856283,0.7454648,0.11315727
weather,VPact (mbar),42157,45613,0.9964202912662672,0.1460602463536032,0.33877993,1.6000228,0.31066322,1.5719061
weather,max. PAR (�mol/m�/s),42541,45421,0.996400990973172,-0.0385375197834766,0.045145035,2.8654084,0.19957829,2.620685
weather,VPmax (mbar),47469,50925,0.99639987132776,0.1081214145493392,0.02298832,0.43273163,0.26283407,0.14690924
weather,PAR (�mol/m�/s),48237,49389,0.9963904702744169,0.0776751367097811,0.5401902,0.035271645,0.4059081,0.16955376
weather,Tpot (K),44461,44589,0.9963537949335616,0.1302777091616855,0.23381042,1.3209925,0.4563923,0.63078976
weather,max. PAR (�mol/m�/s),44845,52333,0.9963272605529874,0.1089424861196074,0.69331694,0.28502417,0.35896397,0.049328804
weather,H2OC (mmol/mol),42157,45613,0.996246915936615,0.1575722043109871,0.41311264,1.5452099,0.45361423,1.5857115
weather,max. PAR (�mol/m�/s),48237,49389,0.9962332792274536,-0.1173992742524274,1.7257857,0.34012604,1.9237847,0.14212704
weather,rho (g/m**3),43949,47981,0.9962286031054584,0.1462764160380618,0.6657033,0.5767169,0.8113899,0.7224035
weather,SWDR (W/m�),44845,50029,0.996218399018364,0.1058111148792748,0.8597169,0.24431562,0.9569535,0.14707899
weather,SWDR (W/m�),48237,49389,0.9962062638638448,0.055303874865187,0.517087,0.10378361,0.5257263,0.09514427
weather,VPdef (mbar),44525,45677,0.9961558174118098,-0.1410321823941755,0.64576054,0.8974199,0.5134864,0.7651458
weather,SWDR (W/m�),46445,49901,0.9961200653570484,0.2292802719738635,0.34481335,0.17818403,0.2957487,0.1291194
weather,SWDR (W/m�),42541,45421,0.9960946784960264,0.1190855876463526,0.04816675,2.5558667,0.1840787,2.4199548
