dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,0.05820942,0.44015026,0.17286015,0.2090807
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.40153456,0.7802701,0.46803856,0.8467741
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,0.07419777,0.769269,0.39432716,0.30074406
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,1.0321345,0.034718513,1.2200303,0.22261429
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,0.76395607,1.1160345,0.70261717,1.0546956
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,0.6643653,0.032301903,0.46355724,0.16850615
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,0.23724699,0.93374395,0.66555977,1.3620567
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,0.3512802,0.70308495,0.28311014,0.06869459
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.09595728,0.30867434,0.35698462,0.14426756
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.04137373,0.57875204,0.031935215,0.5054431
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,0.09940195,1.3971925,0.2231226,1.0746679
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,0.44223785,0.1870923,0.62312937,0.36798382
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.4019332,0.1961956,0.17044735,0.42768145
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.38229084,0.09056568,0.005438328,0.28628683
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,0.5804782,0.57881165,0.4281969,0.42653036
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.47625303,0.04010248,0.5909772,0.15482664
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.38767242,1.0067592,0.92000055,0.47443104
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.14705873,0.18467593,0.12709618,0.20463848
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,0.17614603,0.9182906,0.4133358,1.1554804
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,0.58598804,0.24134159,0.7335615,0.09376812
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.5254779,1.228878,0.58965874,1.1646972
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,0.007659912,0.26516914,0.21038008,0.48320913
AQWan,CO,31380,32916,0.9604855148235304,0.1160588143760801,0.111144066,1.3070254,0.6310649,0.5648165
AQWan,DEWP,29140,31188,0.9603795243609984,0.1146201769849391,0.104637146,0.59121704,0.32286358,0.3729906
