dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm1,MUFL,53760,56832,0.997881869715726,0.2491521926379818,0.37524986,0.5610075,0.117809296,0.06794834
ETTm1,HUFL,50688,51456,0.9976276154614444,0.2849497298508141,0.11793852,0.07190323,0.033650875,0.15619087
ETTm1,HUFL,53760,56832,0.9972961148768472,0.2371018588555365,0.03810668,0.5980184,0.5394125,1.0993242
ETTm1,MUFL,46656,48192,0.9968502593091184,0.2802718798484189,0.17056465,0.18699646,0.07288933,0.05645752
ETTm1,MUFL,50112,50688,0.9967659526808046,0.2446130508238951,0.2021575,0.1280818,0.52634144,0.19610214
ETTm1,HUFL,46080,46464,0.9966370084109912,0.0828368648517977,0.5916834,0.015642166,0.428977,0.17834854
ETTm1,HUFL,46656,47616,0.9965244564825696,0.2631839992521018,0.56271505,0.1775403,0.14867783,0.23649693
ETTm1,MUFL,46080,46464,0.9964211953648824,0.0761324753844444,0.56550884,0.0052576065,0.47313023,0.09763622
ETTm1,HUFL,52032,55872,0.9958421143714522,0.1139010516245526,0.29683828,0.74579716,0.021395683,1.0212398
ETTm1,MUFL,54144,56064,0.9958258009192322,0.1705840453419176,0.041692257,0.021573544,0.089389324,0.15265512
ETTm1,HUFL,47936,50624,0.9956002541428426,0.0431249601105824,0.5784445,0.25317955,0.18656254,0.1387024
ETTm1,MUFL,52032,55872,0.9954341439707748,0.111125771873221,0.19902372,1.0646825,0.3887143,1.6524205
ETTm1,MUFL,47936,49280,0.9950640274227996,0.1567893437786828,0.035793304,0.28514338,0.25836086,0.009010792
ETTm1,LUFL,52992,53184,0.9945803604085622,0.2799178457925127,0.090696335,0.0059714317,0.4969735,0.40030575
ETTm1,MUFL,47360,49088,0.9943488375111904,0.2611744609007431,0.105515,0.14666653,0.04784441,0.30002594
ETTm1,HUFL,50496,51264,0.9942930901578731,0.2161600235167694,0.011695862,0.5148792,0.25703144,0.24615192
ETTm1,MULL,48448,49408,0.9942177199811728,0.1725731202280933,0.18059492,0.23292208,0.03344679,0.018880367
ETTm1,HUFL,46400,47552,0.993916962575362,-0.1073521334410043,0.23753047,0.37972355,0.06120062,0.5560534
ETTm1,HUFL,46272,48768,0.9939111848722774,0.0348858241724693,0.052067757,0.25738573,0.14762926,0.35294724
ETTm1,HUFL,46208,47360,0.9935234457780858,-0.1088018431549999,0.12703586,0.18254685,0.052395582,0.3619783
ETTm1,HUFL,47232,48192,0.9933818473015112,0.2779440206283687,0.69073105,0.46016502,0.02688694,0.20367908
ETTm1,HUFL,51648,56256,0.9933166388674148,0.2040406808716377,0.07050085,0.061398506,0.13198996,9.059906e-05
ETTm1,MUFL,46272,56640,0.993045463112118,0.0486366704018434,0.11467314,1.522537,0.5094452,1.917309
ETTm1,MUFL,51648,56256,0.9930232876229648,0.1435393552316948,0.04311657,0.013235092,0.2696085,0.32596016
ETTm1,HULL,48448,49408,0.9929343303760508,-0.1310758804558148,0.1411395,0.41003084,0.04506731,0.31395864
ETTm1,MUFL,50496,51264,0.9929332081909668,0.2571312864165405,0.34940815,0.8138151,0.021575928,1.1416473
ETTm1,LULL,53184,53568,0.9928813469434172,0.1604042651679987,0.11038685,0.31327152,0.08877182,0.114112854
ETTm1,LUFL,47296,54592,0.9928726614636396,0.2294110883934792,0.03754568,1.0351262,0.8142147,0.18336582
ETTm1,HULL,46144,46720,0.9924937731052312,0.0002738277585803,0.12356377,0.30204248,0.04002142,0.1384573
ETTm1,MUFL,48256,52096,0.9924254989776444,0.2808393416300278,0.09093523,0.09393644,0.21218157,0.027309895
ETTm1,OT,47616,55488,0.9922494157416382,0.1606571202228298,1.2895846,0.9646754,1.5543575,1.2294483
ETTm1,MUFL,48704,50624,0.9922165058181508,0.1484726850331921,1.0441217,0.3627534,0.83083487,0.14946651
ETTm1,HUFL,48704,51392,0.9919458077346376,0.1172297955370096,0.13689709,0.42590714,0.5504465,0.012357712
ETTm1,LULL,55296,57024,0.9918086851087788,0.1254281535796502,1.299181,0.057903767,1.6829038,0.32581902
ETTm1,MUFL,46400,46976,0.9916737529977344,0.0011271052070353,0.3826177,0.16905761,0.21231747,0.0012426376
ETTm1,HUFL,52800,56064,0.9914359217198564,0.2470454899391904,0.72871256,0.24817848,0.82706165,0.14982939
ETTm1,HUFL,46848,49152,0.9907232214181452,0.2001962109641573,2.7094142,0.4257908,2.0132403,0.27038312
ETTm1,MULL,50688,50880,0.9906067179870148,0.0767206086964966,0.091750145,0.0984993,0.1314907,0.13823986
ETTm1,MULL,48256,54208,0.990555047205665,0.041970176565391,0.4766798,0.07606602,0.4413495,0.11139631
