dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,1.2353466,0.9478586,1.3101091,1.0226212
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,1.701935,1.6946037,1.497879,1.4905477
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.48112202,0.4620433,0.65812683,0.6390481
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.775434,0.56760836,0.69583225,0.4880066
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.09513903,0.17248344,0.06351948,0.01382494
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,1.5911875,1.9867644,1.4095044,1.8050814
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.17265844,0.45062208,0.07566929,0.20229435
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.8039031,2.391851,0.8957615,2.4837093
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,1.2533612,1.2057643,0.968946,0.92134905
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,1.789016,2.7251155,1.9405138,2.8766134
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.13948774,2.547073,0.41331196,1.9942732
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,1.4338217,0.9702134,0.99121094,0.5276027
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,1.3700066,2.4219532,1.3216591,2.3736057
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,1.8964968,1.642416,1.7063026,1.4522219
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.2930689,1.0552206,0.38050318,1.1426549
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,1.3861017,1.8819909,1.3313718,1.827261
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,1.662549,0.7571721,1.2976775,0.3923006
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.18727016,0.060935497,0.6441579,0.39595222
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.77159023,2.0755963,0.77603364,2.0800397
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,1.9001517,0.9030733,1.7346778,0.7375994
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.027472973,0.98736477,0.32074356,0.63914824
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.44330359,0.60633945,0.713181,0.8762169
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,2.625926,2.034327,2.6407092,2.0491102
