dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.12518,0.17362857,0.25530648,0.043502092
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.02215147,0.014936447,0.009194851,0.027893066
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,1.119751,0.8839338,1.6841671,0.3195176
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.08799839,0.20018315,0.2636702,0.024511337
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.07159901,0.014712572,0.016696215,0.07358265
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.021431684,0.010231972,0.009491205,0.020690918
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.12355089,0.059848785,0.059756756,0.12364292
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.17776513,0.18666434,0.26975036,0.09467912
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.072001696,0.05501151,0.05773139,0.074721575
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.023008108,0.03452158,0.022692204,0.034837484
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.0018935204,0.04296279,0.039759398,0.0050969124
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.16038322,0.04957056,0.059016228,0.15093756
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.08188248,0.1372087,0.11922073,0.06389451
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.10871744,0.14969468,0.14683795,0.11157417
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.17372966,0.15223145,0.1360774,0.18988371
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.06967664,0.1896832,0.18885922,0.07050061
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.05514574,0.05920577,0.06229067,0.05823064
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.022525549,0.025746346,0.008821964,0.03944993
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.15901113,0.19785404,0.12691975,0.08807683
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.034958363,0.007691145,0.02149272,0.021156788
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.07358837,0.2228446,0.3946767,0.09824371
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.035502195,0.01825428,0.021449804,0.004201889
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.094448805,0.10006571,0.09369993,0.10081458
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.24964643,0.05180955,0.0063102245,0.19152665
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.21503901,0.0664835,0.06626701,0.2152555
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.067296505,0.11231303,0.08787036,0.09173918
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.09699559,0.011928797,0.030557156,0.05450964
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.13350129,0.15914679,0.15391517,0.13873291
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.120794535,0.04822278,0.04611373,0.122903585
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.08984733,0.046187878,0.061284542,0.07475066
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.06383824,0.16777253,0.13001323,0.10159755
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.038646698,0.03325796,0.061962128,0.009942532
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.072435856,0.16337371,0.1309359,0.10487366
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.113654375,0.050843,0.063284874,0.1012125
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.03882265,0.07658768,0.02834773,0.0870626
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.41656232,0.25541067,0.20364213,0.46833086
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.06574297,0.12673807,0.121825695,0.070655346
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.8006227,0.6776576,0.29861188,1.1796684
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.14660168,0.11799288,0.099559546,0.16503501
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.0024831295,0.043521166,0.04037118,0.00066685677
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.05962038,0.100697994,0.10699129,0.053327084
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.09477687,0.19657445,0.19105506,0.10029626
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.037395,0.03803587,0.021434784,0.096865654
traffic,258,14932,17428,0.9778659229587296,0.1691365532359658,0.115903854,0.08883357,0.0939188,0.110818624
traffic,735,14676,16980,0.9776803718625644,0.1827096946253664,0.04162097,0.24186873,0.2132802,0.0702095
traffic,388,14484,17172,0.9775714336716153,0.252082550682929,0.14907265,0.012170553,0.04412079,0.11712241
traffic,778,14484,16980,0.9775444431403624,0.2712938516177978,0.21770763,0.19704843,0.17248583,0.24227023
traffic,678,14100,16404,0.9775079879984384,0.1914561522659587,0.108178854,0.122410536,0.16657543,0.06401396
traffic,530,15892,17044,0.977259567416987,0.2632899177253436,0.17424273,0.23046064,0.17701054,0.22769284
traffic,159,14292,14676,0.9772534637350684,0.2437056618503599,0.12054896,0.5315244,0.4128101,0.2392633
traffic,587,16148,17300,0.9772340014867013,0.1205345762627256,0.059911966,0.17048478,0.17776799,0.052628756
traffic,730,14228,16724,0.9770348939664628,0.2241250858491195,0.19021988,0.23189092,0.21620893,0.20590186
traffic,709,15956,16148,0.9769691260787882,0.0722644970412188,0.4413662,0.41285968,0.3352623,0.5189636
traffic,530,15124,17428,0.9768338356424068,0.2520968033786342,0.034691334,0.034626722,0.09633851,0.027020454
traffic,836,14932,15892,0.9767898825514226,0.2475570861803919,0.16695261,0.16101551,0.1147666,0.21320152
traffic,748,14548,14740,0.976755718623386,-0.21732384086556,0.025853634,0.017689943,0.015366554,0.023530245
traffic,764,14676,16596,0.9767292365632928,0.2642973772550796,0.1083312,0.43989706,0.43609667,0.112131596
traffic,575,16660,17236,0.9765241449757788,0.2636443598927835,0.2801907,0.4442153,0.5264678,0.1979382
traffic,740,14100,15060,0.9763929577023972,0.226561503215401,0.083214045,0.05219102,0.032634974,0.10277009
traffic,494,14164,16852,0.9762666563483948,0.1729598157631492,0.24001074,5.7935715e-05,0.03288126,0.20707154
traffic,747,14868,15444,0.9761856534378368,0.2434809169171083,0.41232872,0.37531185,0.521682,0.26595855
traffic,530,15060,15636,0.9761719197163704,0.179433835268088,0.124274254,0.13390017,0.16031694,0.097857475
traffic,8,15060,16788,0.9759690665207168,0.175012579761023,0.16484761,0.1289568,0.17902589,0.11477852
