dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.14591646,0.41226625,0.09046888,0.17588091
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.14591646,0.41226625,0.09046888,0.17588091
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,0.7661567,1.361474,1.1251199,1.7204373
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.21902418,0.5412512,0.17332458,0.14890242
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.21902418,0.5412512,0.17332458,0.14890242
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.05130005,0.35432386,0.026228905,0.2767949
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.05130005,0.35432386,0.026228905,0.2767949
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,0.5143223,0.10897827,0.5471921,0.076108456
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.23045444,0.033593655,0.30734777,0.110486984
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.10112238,0.10297203,0.056427956,0.14766645
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,1.6959088,0.8485973,1.7703173,0.9230058
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.04365492,0.02047491,0.026483059,0.049663067
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.5676694,0.69125986,0.3091793,0.43276978
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.51970196,0.6688242,0.82835865,0.9774809
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.16723156,0.09833002,0.16888237,0.43444395
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.2171154,0.04983616,0.1924882,0.02520895
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.46859026,0.9941535,0.48090363,1.0064669
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.05936098,0.36425114,0.24953842,0.5544286
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.34797812,0.20890045,0.010044098,0.14912176
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.34797812,0.20890045,0.010044098,0.14912176
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.1583643,0.038372517,0.24259138,0.04585457
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.1583643,0.038372517,0.24259138,0.04585457
CzeLan,CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724,1.575686,1.1650562,1.3795671,0.9689374
CzeLan,ta,18380,19660,0.9963098597362108,-0.0329389724092921,1.3866854,1.9662046,1.6338019,2.2133212
CzeLan,vpd,16076,18956,0.9962962529047882,-0.0523051669855552,0.57150126,0.8138881,0.7544675,0.9968543
CzeLan,swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961,0.21079946,0.17657256,0.31793904,0.28371215
CzeLan,CZE_LAN_Cbe_Jt_16,17804,18124,0.9960207056205304,0.2433423519379049,1.415968,2.5402083,1.5699067,2.694147
CzeLan,sw_in,18700,19276,0.9960051522096266,0.1416082433007063,0.09631491,0.018784046,0.013309002,0.06422186
CzeLan,ppfd_in,18700,19276,0.9960051522096264,0.1416082433007059,0.09631491,0.018784046,0.013309002,0.06422186
CzeLan,swc_shallow,17420,18572,0.9959196651266842,-0.1190178634519321,0.44582725,0.20437121,0.5859215,0.06427693
CzeLan,vpd,16140,16716,0.9958830253005176,0.1745308267487378,0.77255344,1.0029874,1.1005077,1.3309417
CzeLan,swc_shallow,15948,18828,0.995787078080987,0.2714393626573026,0.8306184,0.5367241,0.5766747,0.2827804
CzeLan,vpd,17164,18316,0.9957560656678944,0.0964706395169074,0.5058098,0.008323669,0.8650141,0.35088062
CzeLan,ppfd_in,17484,18636,0.9956230247936906,0.2046415474300183,0.118873596,0.105558395,0.006412983,0.21801901
CzeLan,sw_in,17484,18636,0.9956230247936904,0.2046415474300194,0.118873596,0.105558395,0.006412983,0.21801901
CzeLan,CZE_LAN_Cbe_Jt_16,17228,18828,0.9955771483863028,0.0183159210182785,0.74525404,1.6336751,0.80499935,1.6934204
CzeLan,ta,17292,18444,0.9955704264966196,-0.0317979526926053,0.25455046,0.5567584,0.4357915,0.73799944
