dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm2,OT,54016,56320,0.9989138113646686,0.2012196711767137,0.1603365,0.1966505,0.21127892,0.24759293
ETTm2,LULL,54144,56960,0.998516713865728,0.2364601125725998,1.1811404,1.2818866,1.3682342,1.4689803
ETTm2,OT,50368,56512,0.9980042248633644,0.2934542110298186,1.5370107,0.46124506,1.2284603,0.1526947
ETTm2,OT,47488,47872,0.997415845073283,0.1586899847525221,0.038033962,0.5522294,0.36887026,0.8830657
ETTm2,OT,49984,53632,0.996789006758549,0.1844959390002493,0.042285442,0.058956623,0.478621,0.37737894
ETTm2,OT,48000,53568,0.9960156518426004,0.2030293011886217,0.56360006,0.9409137,0.03625679,0.4135704
ETTm2,OT,52864,54976,0.995918619560946,0.1986393601054941,2.0998206,2.1267486,1.9901769,2.0171049
ETTm2,OT,50496,52416,0.9958030392516988,0.2753552297203792,1.1239569,2.9121158,1.1841743,2.9723332
ETTm2,OT,51904,56704,0.9952838470584174,0.1895493485715718,0.55014324,0.1669569,0.2951331,0.08805323
ETTm2,OT,47296,53824,0.9944151759820952,0.2319127252535049,0.49206352,0.39798307,0.08349514,0.010585308
ETTm2,MUFL,50304,54720,0.9922728510174276,0.2652081367073156,0.6426482,0.45330286,0.07167721,0.26102257
ETTm2,OT,54592,57536,0.9914831133153776,-0.0551033547253773,1.76684,2.0437846,1.7898602,2.066805
ETTm2,LULL,51392,52928,0.99135580413269,0.2465730681292814,1.4121127,1.4050217,0.93023396,0.9231429
ETTm2,OT,49664,54464,0.9906011761905568,0.2102734169683665,0.9719324,1.2932968,0.33639956,0.65776396
ETTm2,MUFL,52864,54400,0.9905993503534756,0.007626730939294,0.053329945,0.64259386,0.1402278,0.8361516
ETTm2,OT,47424,50688,0.9899296104109994,0.2875389537147937,0.14401531,0.43702793,0.051654816,0.34466743
ETTm2,OT,49728,53376,0.9897491043980304,0.2669561102993336,0.3486805,1.3960423,0.08099604,1.1283579
ETTm2,MUFL,54976,56512,0.9895069503307916,0.0943653710791152,0.22578001,0.06578827,0.4944005,0.20283222
ETTm2,OT,46272,50304,0.9891230170320386,0.1850754831869936,1.3191674,0.49584603,1.2204015,0.39708018
ETTm2,OT,50880,56256,0.9886463575404514,0.133800853985501,0.6224737,0.053829193,0.47088718,0.09775734
ETTm2,OT,50176,57088,0.9881487983894652,0.1763725749765472,1.3275981,1.4217696,1.4401836,1.5343552
ETTm2,OT,47104,49600,0.9879779580946936,-0.0700375036153363,0.25544214,0.46334982,0.2184968,0.93728876
ETTm2,HUFL,52864,54592,0.9876388203068496,-0.0848527382636655,0.24336195,0.23526001,0.12666559,0.35195637
ETTm2,OT,55104,56448,0.9876242257007308,0.2145978920137469,1.5217133,1.3497906,1.437372,1.2654493
ETTm2,OT,48064,49216,0.9874195663739964,0.1608698361994549,0.79615355,0.9244218,0.48682737,0.6150956
ETTm2,OT,49408,56896,0.9856316224791996,0.2898309323473735,0.9399071,0.62608004,0.49932623,0.18549919
ETTm2,OT,52800,53952,0.9854673051301596,0.115503811125216,1.522057,0.35492945,1.6010075,0.43387985
ETTm2,HULL,55552,55936,0.9848265852437018,-0.1728787115308072,0.9660044,0.4527917,1.1116185,0.59840584
ETTm2,HUFL,54784,56896,0.9846712483829748,-0.1608277527150354,0.9320078,1.2739229,0.8986554,1.2405705
ETTm2,MUFL,48832,51136,0.9846359305882972,0.2249639397324668,0.3612256,0.89145756,0.5066061,0.02362585
ETTm2,HUFL,48832,51136,0.983958183282212,0.1480065327061083,0.049227715,0.6933923,0.23272514,0.41143942
ETTm2,LULL,46208,47360,0.9837004969310292,-0.3218476309632795,1.3402023,0.060774326,1.3914089,0.111980915
ETTm2,MUFL,50368,54208,0.9836732024827376,0.1990247399402826,0.5057354,0.72069216,0.39394903,0.6089058
ETTm2,OT,48576,54720,0.98360397091837,0.2231179171141428,0.54364824,0.9145322,0.0049057007,0.36597824
ETTm2,OT,49472,49856,0.9827238162157632,0.238323547495339,0.8458483,1.8488243,0.9325988,1.9355748
ETTm2,HUFL,50560,54400,0.982326179579153,0.0495038784779204,0.9345856,1.9075813,0.9018879,1.8748837
ETTm2,OT,48448,50944,0.9819485199414144,0.2252199341894923,0.024494648,1.4088645,0.22695494,1.1574149
ETTm2,MUFL,51072,52992,0.9817906270554938,0.2366256137587951,0.5508337,0.6390681,0.80575705,0.8939915
ETTm2,OT,55168,55936,0.9814294823733576,0.2276914702818389,1.5712061,0.8125038,1.2478485,0.48914623
ETTm2,HUFL,50688,54720,0.9811558127992034,0.2535248891670172,2.3527179,0.62155056,2.697115,0.9659476
ETTm2,HUFL,46912,51712,0.9811327692498066,-0.0266075823489912,1.8510132,0.6564231,1.836165,0.64157486
ETTm2,OT,47680,52288,0.9808622788936538,0.2839828295426726,0.12961483,1.1274805,0.3499241,1.3477898
ETTm2,MUFL,56320,56896,0.9802647605663908,0.0517802623679559,0.28014898,0.0014252663,0.5511608,0.2724371
ETTm2,MUFL,49728,50688,0.9802538825042336,0.1968398534472287,0.18761349,0.6531062,0.5949526,0.24576712
ETTm2,OT,52544,55360,0.980064310919064,0.130988321559615,0.75357294,0.58276796,0.66822195,0.49741697
ETTm2,MUFL,55360,56704,0.9795064682545848,0.0695711474420458,0.020685196,1.0030327,0.603353,0.42036486
ETTm2,OT,54784,55552,0.9793024944079644,0.0657995332234227,1.5060401,0.2785635,1.6514466,0.42396998
ETTm2,HUFL,51072,52800,0.9792150139076552,0.2462592223859784,0.93572426,0.3070116,1.817086,0.5743501
ETTm2,HULL,50560,51136,0.9781155457625916,-0.0256810886380548,1.2425909,0.85076237,1.355989,0.96416044
ETTm2,MUFL,53824,54016,0.9777333480972152,0.080084540262013,0.76113605,1.9909081,0.9832277,2.2129998
ETTm2,MUFL,50560,54592,0.9770005656996348,0.0043824674950056,0.73452616,0.3733344,0.5737095,0.21251774
ETTm2,HUFL,54976,56512,0.9767064191028948,-0.0838969816219772,0.68542814,0.65247154,0.88654995,0.85359335
