dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
PEMS08,57,15565,17293,0.999566597688139,0.2813413244674792,0.13981009,0.031136513,0.017971992,0.18891859
PEMS08,52,15565,17293,0.9994222300517872,0.1489633297419849,0.10712528,0.15732145,0.18231583,0.08213091
PEMS08,54,15181,17485,0.9993910331293022,0.2040988796629941,0.056729317,0.0116529465,0.28381205,0.32888842
PEMS08,2,14989,15565,0.9993415970114206,0.2866267038886076,0.16970873,0.030918598,0.23054743,0.029920101
PEMS08,166,15565,16141,0.9992984719168976,0.2802177474510778,0.08655977,0.16564798,0.117887974,0.13431978
PEMS08,126,14925,16077,0.9991826346362376,0.2440249408796831,0.007836819,0.35167313,0.07688522,0.26695108
PEMS08,125,14925,16077,0.9991826346362376,0.2440249408796831,0.030303001,0.29239988,0.104379654,0.42708254
PEMS08,121,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,48,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,80,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,123,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,122,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,141,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,61,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,142,14925,16077,0.9991826346362376,0.2440249408796831,0.023085594,0.12501335,0.13402891,0.28212786
PEMS08,64,14925,16077,0.9991826346362376,0.2440249408796831,0.4179511,0.1899476,0.26571178,0.037708282
PEMS08,124,14925,16077,0.9991710841844532,0.2448045758651475,0.02274561,0.12871647,0.13442802,0.2858901
PEMS08,153,14925,16077,0.9991506892509644,0.2717636739617515,0.49097443,0.25653076,0.42559958,0.19115591
PEMS08,60,14925,16077,0.9991433249537516,0.2470734728032629,0.3549528,0.25262976,0.39592075,0.2935977
PEMS08,83,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,159,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,70,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,81,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,84,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,55,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,73,14925,16077,0.9991433249537516,0.2470734728032629,0.26311493,0.25804138,0.40232325,0.3972497
PEMS08,62,14925,16077,0.9991226004226754,0.2657967347478787,0.48933792,0.3875413,0.50003815,0.39824152
PEMS08,109,14925,16077,0.9991226004226754,0.2657967347478787,0.48933792,0.3875413,0.50003815,0.39824152
PEMS08,149,14925,16077,0.9991226004226754,0.2657967347478787,0.48933792,0.38754082,0.50003767,0.39824057
PEMS08,154,14925,16077,0.9991226004226754,0.2657967347478787,0.3394184,0.25766516,0.20421124,0.2859645
PEMS08,50,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,116,14925,16077,0.9990964641995294,0.298051242199367,0.21854067,0.2210679,0.2878294,0.29035664
PEMS08,91,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,90,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,89,14925,16077,0.9990964641995294,0.298051242199367,0.3068304,0.48659277,0.31591654,0.4956789
PEMS08,144,14925,16077,0.9990964641995294,0.298051242199367,0.06692505,0.24612665,0.10395765,0.20909405
PEMS08,75,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,131,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,145,14925,16077,0.9990964641995294,0.298051242199367,0.362669,0.25928497,0.37968063,0.27629662
PEMS08,85,14925,16077,0.9990964641995294,0.298051242199367,1.3537307,1.514369,1.2356844,1.3963227
PEMS08,115,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,74,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,51,14925,16077,0.9990964641995294,0.298051242199367,0.42237234,0.29324198,0.48476744,0.35563707
PEMS08,63,14989,15565,0.9990593411094484,0.1769712448440994,1.4560437,0.15490937,1.4550138,0.1538794
PEMS08,56,14989,15565,0.9990231613993116,0.1761406429258702,0.08928633,0.07712746,0.003844738,0.008314133
PEMS08,45,14925,16077,0.9990024864070368,0.2426089160181782,0.2071476,0.20885897,0.08123827,0.08294964
PEMS08,20,15565,17293,0.9989842797901508,0.1298339412992586,0.017624378,0.14589214,0.16602182,0.03775406
PEMS08,9,15885,17613,0.998882224818729,0.1923120544662939,0.053945065,0.22285509,0.22505331,0.051746845
PEMS08,71,15565,16141,0.9988085538197142,0.1623539359837527,0.07809448,0.26223898,0.09229469,0.091849804
PEMS08,143,14989,17293,0.9987749771317712,-0.1973073671461267,0.3628087,0.44226313,0.2598443,0.33929873
PEMS08,25,15885,17613,0.9987718316591774,0.007878590859796,0.084703445,0.16759539,0.16227007,0.09002876
PEMS08,99,16141,17293,0.9987463870013906,0.1605753537725036,0.013213158,0.1664362,0.020823479,0.13239956
PEMS08,54,15501,16077,0.9987379750802028,0.2031266230745203,0.05602932,0.10675669,0.16550827,0.0027222633
PEMS08,54,15821,16973,0.9987351045247288,0.2096533016037962,0.13150263,0.23262215,0.27789688,0.17677736
PEMS08,34,16141,17293,0.9986752790890496,-0.053245920342999,0.055267334,0.05262041,0.014598846,0.0932889
PEMS08,166,14989,17293,0.9986480786199924,0.2222324481885279,1.3506761,0.3691249,1.3615675,0.38001633
PEMS08,3,14989,15565,0.9986304618500792,-0.0193775177665877,0.100081444,0.3353505,0.36695957,0.068472385
PEMS08,0,14989,17293,0.9986216658519724,0.094891933621626,0.027010918,0.31171942,0.36292362,0.024193287
PEMS08,86,16141,17293,0.9985472291185178,0.2005892378860178,0.12510443,0.08022499,0.101014614,0.104314804
PEMS08,32,14989,16141,0.9984346909295828,0.0441004821792247,0.22414303,0.24189615,0.34933853,0.11670065
PEMS08,109,14669,16397,0.9984318352923314,0.1302736761517991,0.010387421,0.32143068,0.19989252,0.13192558
PEMS08,154,14669,16397,0.9984318352923314,0.1302736761517991,0.06498575,0.27583027,0.24813414,0.45897865
PEMS08,62,14669,16397,0.9984318352923314,0.1302736761517991,0.010387421,0.32143068,0.19989252,0.13192558
PEMS08,149,14669,16397,0.9984318352923314,0.1302736761517991,0.010387421,0.32142925,0.19989204,0.13192463
