dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ZafNoo,swc_deep,15892,16852,0.9964274610951304,0.0866882974713211,0.52432823,1.4632864,0.110925674,1.0498838
ZafNoo,swc_deep,15956,16148,0.994901419376525,0.0159464048996668,0.08194876,0.131423,0.07978678,0.29315853
ZafNoo,swc_deep,16596,17684,0.9899589917300318,0.0773849053357659,0.65963364,1.9844093,0.7952466,2.1200223
ZafNoo,swc_deep,15764,18900,0.9863691711082112,-0.033933124100845,0.084033966,1.8487225,0.3585496,2.123238
ZafNoo,precip,17812,18964,0.9829643175460088,-0.2354886557479839,0.41156912,0.047000885,0.71689844,0.25832844
ZafNoo,swc_deep,16276,17236,0.9819274620786927,0.1209765220750022,0.49082708,0.24667907,0.56147623,0.17602992
ZafNoo,swc_deep,17364,18196,0.9805527069038236,0.0403904875363304,1.7525201,0.5158496,1.5541582,0.31748772
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15828,16212,0.9740518941355794,0.2556526062791543,0.25516772,0.30998087,0.24865127,0.31649733
ZafNoo,rh,15380,18068,0.9700080295840184,0.2570580927108159,0.20735121,0.14643526,0.16133666,0.19244981
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15508,17044,0.9692420250840574,0.2677351426699216,0.14574671,0.016924858,0.012013912,0.11680794
ZafNoo,swc_shallow,15764,17492,0.963020679832122,0.2175278495327167,0.3973713,1.3620963,0.05393839,1.0186634
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16532,16916,0.9621173983784224,0.2635181287609882,0.20713139,0.16495824,0.15094185,0.22114778
ZafNoo,swc_deep,16212,17620,0.9607786659041976,-0.1230224242709829,1.5059524,2.4867191,1.5591071,2.5398738
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15764,17108,0.9561950693687687,0.2217448377838103,0.3133545,0.17300487,0.16423607,0.3221233
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15444,16980,0.9550821482372384,0.1752041471057634,0.05977726,0.17422128,0.20653105,0.02746749
ZafNoo,swc_shallow,17108,17556,0.9513507637249238,-0.18500801841487,0.45657587,1.5303864,0.44711733,1.5209279
ZafNoo,swc_deep,16340,17812,0.9501734196492402,0.0205669726363127,0.57450867,1.7474718,0.5261903,1.6991534
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15700,17620,0.9472489849651352,0.218373630447463,0.15643644,0.21882486,0.21310425,0.16215706
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16020,16404,0.9421133753222656,0.2789518313892284,0.13682055,0.23700333,0.22652292,0.14730096
ZafNoo,rh,16596,18900,0.941807208864163,0.0949235393538521,0.19157338,0.021478176,0.016977072,0.19607449
ZafNoo,swc_shallow,17620,18260,0.941051563081342,-0.1502662523703055,1.8019929,2.089829,1.9661565,2.2539926
ZafNoo,swc_shallow,16980,18772,0.9388176098186938,-0.1069787134253551,1.3754466,1.435714,1.2847538,1.3450212
ZafNoo,rh,15764,16532,0.9388065974878572,0.2974236184234973,0.11632347,0.044949055,0.108323336,0.05294919
ZafNoo,precip,18388,18836,0.9374137756678812,0.2145831269399972,0.010892868,0.23626614,0.27618694,0.050813675
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15956,16724,0.9373425294998984,0.092722111575907,0.00594759,0.0006468296,0.0001552105,0.0054559708
ZafNoo,rh,17492,18452,0.9371732593398184,-0.0510023025637136,1.0474269,0.031177998,0.9438627,0.13474226
ZafNoo,rh,18644,19028,0.9321739149741598,0.2175081451458673,0.06795001,0.20042944,0.14721107,0.121168375
ZafNoo,sw_in,15892,18196,0.9298884299145512,0.2367817652773424,0.07686949,0.1192683,0.12538004,0.07075775
ZafNoo,ppfd_in,15892,18196,0.9298884299145508,0.2367817652773425,0.07686949,0.1192683,0.12538004,0.07075775
ZafNoo,swc_shallow,16468,17428,0.9293495327736508,0.0622771461498503,0.55748796,1.5699701,0.028668404,2.0987897
ZafNoo,swc_deep,17172,18132,0.9247119295878644,0.0750671102716196,1.5690644,1.4643538,1.3675187,1.2628081
ZafNoo,swc_shallow,15956,16724,0.9241825890629326,-0.1117294170530304,1.1857796,0.37306452,0.9166565,0.10394144
ZafNoo,swc_deep,16020,16468,0.9235374466016986,0.1205534420709626,1.6195188,2.3463922,1.8300481,2.5569215
ZafNoo,swc_shallow,17044,18900,0.923197809133003,0.0353153834462226,0.96663,1.7662001,1.1796448,1.9792149
ZafNoo,swc_shallow,16916,18132,0.9216548692986786,-0.1506184896246361,1.4895244,1.6506891,1.766243,1.9274077
ZafNoo,rh,15444,18516,0.9177609887809994,0.2653395909651654,0.04409027,0.36547828,0.14342022,0.46480823
ZafNoo,swc_shallow,15572,16596,0.9125026683892098,0.0558975022366547,0.35980272,0.45746613,0.16067696,0.25834036
ZafNoo,ws,15444,16788,0.9118412017147812,-0.1506920722508152,0.21242046,0.05861354,0.0073637962,0.16117072
ZafNoo,swc_shallow,17300,17812,0.910078055093103,0.2393021105138308,0.44523907,0.330235,0.49851036,0.3835063
ZafNoo,swc_deep,17492,18580,0.9050824912603562,0.2428019967799594,1.0094709,2.5010123,0.8642087,2.35575
ZafNoo,swc_shallow,16660,17940,0.9039459518140368,-0.025119581542685,0.3927207,0.88602877,0.59326935,1.0865774
ZafNoo,precip,16596,18900,0.9034332870111036,0.1464237922358556,0.066290855,0.65380573,0.4115486,0.17596626
ZafNoo,ws,17556,18964,0.8992087620154224,-0.0744703621628679,0.5323274,0.6805043,0.30391002,0.45208693
ZafNoo,vpd,16212,18900,0.8929639385069599,0.2176616936517637,0.29363084,0.66600347,0.6259849,0.3336494
ZafNoo,swc_deep,15508,15700,0.892496274487704,0.1331142165692817,0.29579353,0.18379736,0.9833412,0.87134504
ZafNoo,precip,16724,17748,0.8900102968888743,0.1824747102283558,0.35561037,2.018517,0.20033407,1.4625726
ZafNoo,ws,17300,17748,0.8898439746427637,0.0482986340727373,0.21082449,0.26039362,0.412395,0.46196413
ZafNoo,swc_deep,17044,19092,0.8886140233108143,0.0596618281639341,0.87906384,2.9097917,1.1700466,3.2007744
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15636,16788,0.8845077646231925,0.2266175068517699,0.22546577,0.33360815,0.27943206,0.27964187
ZafNoo,ws,15828,17172,0.8842116952563329,0.1934948598079164,0.24882364,0.18202591,0.3230672,0.107782364
ZafNoo,rh,15508,17044,0.8834460791927693,0.115223640761806,0.14852238,0.17367768,0.092618704,0.0674634
ZafNoo,swc_shallow,17876,18964,0.8808868835997733,-0.242970130152131,2.0404265,1.0302117,2.0453224,1.0351076
ZafNoo,rh,17556,18324,0.879415253163865,0.1270640004211272,0.073016405,0.11718845,0.20616436,0.16199231
ZafNoo,swc_shallow,15508,19156,0.8786831238370671,0.2261955576695436,0.6879344,1.2229071,0.68074226,1.2157149
ZafNoo,vpd,15508,17044,0.8771628100702236,0.2543725499026011,0.16432714,0.20769978,0.14787626,0.22415066
ZafNoo,rh,17684,18708,0.8765758788535248,-0.0481104501705607,0.09073639,0.005342722,0.19321012,0.10781646
ZafNoo,swc_deep,15636,16980,0.8728362418008703,-0.0042801737246551,0.85288477,0.7601905,0.72821045,0.63551617
ZafNoo,ws,16532,16724,0.8685711365362159,0.2809212405848909,0.023405313,0.14088583,0.019508362,0.097972155
ZafNoo,ws,17684,19028,0.8631148684396478,-0.064999186611369,0.029766321,0.08517027,0.27904105,0.2236371
ZafNoo,ta,17940,18836,0.8552103954317065,0.1008038227825796,0.48452163,0.002724409,0.7083905,0.22659326
ZafNoo,swc_deep,15444,18068,0.8548450140192208,0.0016198094075392,0.05768442,0.056319237,0.12917328,0.0151696205
ZafNoo,ws,15380,15572,0.8541242103947219,-0.122657569248603,0.38052797,0.5213642,0.4168775,0.48501468
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16596,17940,0.8519269185291407,0.1663696494795402,0.5715265,1.1614761,0.80408835,0.9289143
ZafNoo,swc_deep,15828,18964,0.8506871498357779,0.1855450499830456,0.07119131,1.3970504,0.27911663,1.0467424
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,17172,17556,0.8454636612984484,0.2041407708202703,0.09364271,0.08044553,0.049165487,0.12492275
ZafNoo,vpd,15892,16852,0.8454163150138294,0.1568389374712041,0.047954082,0.08235645,0.05261779,0.07769275
ZafNoo,swc_shallow,17172,18004,0.844737482346904,-0.241021264128263,0.8022733,1.5395584,0.7470622,1.4843473
ZafNoo,precip,15892,16916,0.8429194648831674,0.1584470918705511,0.11312246,0.030393124,0.01998043,0.06274891
ZafNoo,swc_deep,15572,18260,0.836173860961192,-0.0292962495236371,0.34139824,1.216836,0.08586311,0.96130085
ZafNoo,ws,16340,17108,0.8309909466299514,-0.1355849291302121,0.30161595,0.060114622,0.1529746,0.20875597
ZafNoo,ws,16212,18324,0.8287277681725104,0.0014316913461967,0.62431383,0.40707278,0.21014404,0.007097006
ZafNoo,swc_shallow,15444,16404,0.8264143492239796,0.2584526008530408,0.0016379356,0.097466946,0.022154808,0.12125969
ZafNoo,vpd,17940,18836,0.823215868443052,0.0398496408144092,0.30691433,0.14657807,0.5506687,0.39033246
ZafNoo,ws,15892,17364,0.823040899971533,-0.1921956826635985,0.72362256,0.534987,0.49650455,0.762105
ZafNoo,swc_shallow,16788,19092,0.8214269900558687,-0.0408107372839397,0.85089636,0.6266508,1.1478319,0.92358637
ZafNoo,swc_shallow,15828,18324,0.821415776387534,0.0459161021551352,0.44054842,2.3922791,0.22771168,2.1794424
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16148,17684,0.8210621477580983,-0.0866842396012559,0.047398567,0.27661657,0.24116373,0.08285141
ZafNoo,rh,15892,18196,0.8100480176777404,-0.1743477008123117,0.048465014,0.16457891,0.13028836,0.082755566
ZafNoo,ws,15700,16468,0.8097556736581752,0.2268649680043635,0.2130189,0.31775212,0.32126164,0.20950937
ZafNoo,swc_shallow,15892,18836,0.8063422874135734,0.2484625879716926,0.2718196,0.4037242,0.6446972,0.7766018
ZafNoo,vpd,17428,17684,0.8057417926123174,-0.0080683000089926,0.012901545,0.12935519,0.20086455,0.3431213
