dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,1.1118417,0.27090788,1.5357952,0.6948614
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.0025987625,0.24004793,0.06127882,0.18136787
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,0.19745874,0.7592478,0.42766523,0.98945427
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.09345484,0.3832965,0.120200634,0.16964102
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.179708,0.11120272,0.22939491,0.061515808
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.013310432,0.124475,0.075047016,0.036117554
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.15307903,0.13728333,0.025484562,0.31584692
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,0.8019731,1.0530713,0.37329817,0.6243963
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.3377676,0.10041523,0.21210194,0.2260809
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.1270361,0.19530249,0.11896849,0.2033701
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,0.498425,1.0879579,0.4291997,1.0187325
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.022489548,0.039647102,0.03112793,0.03100872
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,1.4451656,0.17666459,1.0602515,0.20824957
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.023314953,0.071977615,0.08324766,0.012044907
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.03057146,0.11198473,0.29345083,0.43600702
solar,95,44928,51840,0.99932929774961,0.2227845124201932,0.1641736,0.24942732,0.61224985,0.69750357
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.27118397,1.0613713,0.16711235,0.623075
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.58144665,0.15499115,0.5341072,0.20233059
solar,71,47232,49536,0.9993051190926786,0.2504305323727651,0.14009476,0.15526724,0.10147858,0.19388342
solar,11,46144,51904,0.9993050006545716,0.2499904772845992,0.029171705,0.08029246,0.0743444,0.023223639
solar,31,43200,45504,0.9993010998360264,-0.0393974695290245,0.51959705,0.7021308,0.24293184,0.42546558
solar,128,43200,50112,0.9992612129296226,0.1315810796877095,0.083367825,0.074121475,0.06910086,0.059854507
solar,35,48960,50688,0.9992575136910092,0.2668140758836945,0.08477068,0.107495785,0.12628174,0.065984726
