dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,2.3432434,1.4198196,2.2031646,1.2797408
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.444767,1.4454856,0.5053854,1.506104
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.119506836,0.41282797,0.11674261,0.41006374
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.5288663,2.4740992,0.55529356,2.5005264
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,1.6360145,2.4206014,1.97718,2.761767
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.5894642,0.02202177,0.345572,0.22187042
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,1.5653424,0.5093746,1.5617051,0.5057373
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,0.16384888,1.2081628,0.09719181,0.9471221
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.50921583,0.87362146,0.91424775,1.2786534
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.2332201,1.2685499,0.41609716,1.451427
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,1.4289,0.6536143,1.1886601,0.41337442
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.09875393,0.92355585,0.47990513,0.3448968
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,1.147232,1.6095343,0.7685876,1.2308898
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.011539459,0.16275787,0.05110407,0.2254014
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,0.15434647,0.5431762,0.47191238,0.22561026
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,2.7256136,1.7777591,2.6067653,1.6589108
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,2.735523,1.0551283,2.8727567,1.1923621
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.25513697,1.4026752,0.36020374,1.5077419
weather,p (mbar),49901,50349,0.9976902466498414,0.1608700528672035,1.9129016,2.2629988,1.992043,2.3421402
weather,PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929,0.19527626,0.58581924,0.35465717,0.03588581
weather,Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192,2.7539628,1.7508476,2.8006666,1.7975514
weather,SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876,0.12377977,0.5037918,0.12410784,0.2559042
weather,max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384,0.03953457,0.1136775,0.11728907,0.035923004
weather,p (mbar),44333,52397,0.9975360354665784,0.0647201627658495,2.2192955,1.9032359,2.1665936,1.850534
weather,p (mbar),46125,49965,0.997534887018418,0.2777457674959991,1.4119654,1.3549356,1.5038843,1.4468546
weather,p (mbar),47085,48813,0.9975184410454904,0.196086791997055,1.0606937,0.14874506,1.4326181,0.22317934
weather,max. PAR (�mol/m�/s),43565,51053,0.9974985346638872,0.2048209195073694,0.25506783,0.69465876,0.22836399,0.6679549
weather,Tpot (K),46637,46765,0.9974984436330896,0.0114380623832369,0.21804237,1.5283246,0.02587223,1.3361545
weather,SWDR (W/m�),44909,46637,0.9974597128248502,0.0702873162518401,0.13520765,0.38574076,0.27321863,0.24772978
weather,SWDR (W/m�),47085,49965,0.9974512641259072,0.0881137261742378,0.5786743,1.808609,0.4170046,1.6469393
