dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,0.14343762,1.013571,0.16314268,0.7069907
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.13206291,0.042088985,0.5600128,0.64998674
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,0.30698442,0.44657516,0.3981166,0.355443
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,0.60828733,0.18113518,0.81818914,0.028766632
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,0.6691079,1.0246639,0.6127882,0.9683442
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,0.7919917,0.042692184,0.48726177,0.34742212
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,0.09292126,0.69130516,0.39560986,0.99399376
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,0.20267153,0.22457743,0.3780141,0.39992
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.26944447,0.43386698,0.12965155,0.29407406
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.040169716,0.76413155,0.0170784,0.7410402
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,0.009171963,0.7225137,0.20661116,0.9382968
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,0.014116287,0.1824708,0.48738098,0.6557355
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.20398498,0.71308804,0.4261949,0.4908781
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.335917,0.056785583,0.18574858,0.206954
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,0.7219863,0.7849994,0.39280987,0.45582294
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.3138008,0.29983234,0.7463374,0.13270426
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.5130582,0.64159775,0.48727274,0.6673832
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.06546712,0.18879151,0.15975976,0.09449887
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,0.0507679,1.07904,0.27988338,1.4096913
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,1.1007175,0.66755295,1.433223,0.33504748
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.3403685,0.83653736,0.023823023,1.1530828
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,0.090406895,0.7880254,0.2447815,0.9424
AQWan,CO,31380,32916,0.9604855148235304,0.1160588143760801,0.17101383,1.4435682,0.084769726,1.1877847
AQWan,DEWP,29140,31188,0.9603795243609984,0.1146201769849391,0.558568,0.44513083,0.45522594,0.5484729
AQWan,WSPM,32788,32980,0.959702850927323,0.1343796594179757,0.30367517,0.36169434,0.32288742,0.3424821
AQWan,CO,32276,32596,0.9563461517298932,0.2532212199830025,0.00066185,0.14290619,0.17932749,0.03575945
AQWan,PRES,33492,33940,0.9551697381461552,0.2144151039096583,0.28836918,0.6069765,0.51955414,0.83816147
AQWan,DEWP,31380,32916,0.954989587155973,0.1531962480941159,0.07113886,1.4153547,0.29627538,1.782769
AQWan,PM2.5,32788,33172,0.954804151530691,-0.1522677821779459,0.114865065,0.78709555,0.053420544,0.84854007
