dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.095466614,0.41997814,0.104186535,0.42869806
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.095466614,0.41997814,0.104186535,0.42869806
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,0.07841015,1.1047144,0.19255567,0.9905689
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.14633465,0.37362862,0.13694811,0.38301516
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.14633465,0.37362862,0.13694811,0.38301516
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.042749405,0.13041353,0.24940324,0.33706737
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.042749405,0.13041353,0.24940324,0.33706737
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,0.43718147,0.2684021,0.73616385,0.030580282
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.12042856,0.26349163,0.36552143,0.018398762
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.07483363,0.1534276,0.10943627,0.11882496
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,0.2596085,0.26220465,0.80791664,0.8105128
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.00959301,0.09982681,0.08345747,0.025962353
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.05460167,0.35579634,0.32956886,0.08082914
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.35165215,0.4953847,0.12552547,0.26925802
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.15281343,0.08835173,0.006161213,0.07062292
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.022580862,0.14715147,0.15867305,0.03410244
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.056636333,0.7490034,0.10541105,0.7002287
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.060191393,0.2677691,0.17378831,0.15417218
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.047055483,0.35065866,0.046746254,0.25685692
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.047055483,0.35065866,0.046746254,0.25685692
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.05118227,0.20173788,0.06158018,0.08897543
