dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh1,HULL,12864,13056,0.959037641821233,0.2237634618738912,0.1552093,0.08900118,0.12874055,0.11546993
ETTh1,OT,13056,13824,0.9426761864127728,0.1436291034175758,0.009880543,0.63405037,0.20273232,0.4411986
ETTh1,HULL,12288,12480,0.935269074657346,0.2673239575812737,0.04449272,0.17876506,0.17665935,0.046598434
ETTh1,OT,12032,12352,0.9298092508129354,-0.0485925852744507,0.19532442,0.42665577,0.043860435,0.18747091
ETTh1,MULL,12864,13056,0.922860945154761,0.2361467657994069,0.108394146,0.076241255,0.02503252,0.05718541
ETTh1,MULL,12160,12544,0.9220085746625858,0.2031108849218866,0.10539794,0.11617994,0.12782049,0.09375739
ETTh1,MUFL,12352,14336,0.9180700492251204,0.2360249742747449,0.12335861,0.50803447,0.060004473,0.44468033
ETTh1,MULL,11968,14336,0.9153408514350512,-0.0364875687835225,0.56765366,0.5711112,1.4230747,0.28430986
ETTh1,LULL,11904,13248,0.913440683597972,0.0948054579289701,0.020696163,0.7493353,0.5501723,0.1784668
ETTh1,HUFL,12352,14336,0.9102818593969182,0.1994834764370003,0.13994658,0.51721716,0.11236429,0.48963487
ETTh1,MULL,12352,13312,0.9062201900764724,0.2187420809590237,0.02727127,0.09687686,0.18179297,0.057644844
ETTh1,LULL,12288,12672,0.9019374196701532,0.2885559988525516,0.19626856,0.22286797,0.26336718,0.15576935
ETTh1,LULL,11840,13760,0.8952147485611228,0.124829749116463,0.4557929,0.46171188,0.2344811,0.6830237
ETTh1,MULL,12032,13184,0.8935518450834815,0.2910647830771676,0.034567118,0.3053491,0.29421568,0.04570055
ETTh1,HULL,11968,14336,0.8861122018558761,-0.0938538112760696,0.61258054,0.52997684,0.65076756,0.5681639
ETTh1,HULL,12160,12544,0.8790715318912513,0.2311966607821612,0.06226325,0.0849309,0.07065296,0.047985315
ETTh1,MUFL,12160,12544,0.8770018297996932,0.240749934110751,0.42787528,0.23785806,0.3057661,0.35996723
ETTh1,OT,12288,12480,0.8766234930449524,0.2332626004910761,0.103066444,0.096880436,0.17667079,0.1828568
ETTh1,MULL,12288,12672,0.8648718696997232,0.1725654273508581,0.02812481,0.021289825,0.020985365,0.027820349
ETTh1,OT,12096,12672,0.8625317445527627,-0.0279755504999184,0.8136358,0.13665605,0.8346219,0.115669966
ETTh1,OT,12224,12800,0.8577614901673843,0.2579300518785212,0.25918293,0.172503,0.009654999,0.096334934
ETTh1,OT,11968,12544,0.8551246580790225,0.0818084157555757,0.35524368,0.14023638,0.34097242,0.15450764
ETTh1,LULL,12608,13184,0.8463099216887117,0.1140305595649016,0.26930666,0.1280632,0.0766685,0.21791196
ETTh1,HULL,12992,13184,0.8454247963577539,0.2661429973489239,0.024914026,0.10962582,0.12959456,0.004945278
ETTh1,LULL,14016,14208,0.8436219084189474,0.2849792557425824,0.073786736,0.22001123,0.1627841,0.13101387
ETTh1,OT,12736,13248,0.841230861862274,-0.1100245349339903,0.69804716,0.44437385,1.0333738,0.109047174
ETTh1,OT,13888,14080,0.8354409247624276,0.1882062733236474,0.32839298,0.24495125,0.07847023,0.16191196
ETTh1,OT,13568,13952,0.8352001586703125,0.1345604217009568,0.15648007,0.5831666,0.1604507,0.579196
ETTh1,HULL,12352,13312,0.8210959019093999,0.153530959312678,0.019989014,0.063124895,0.109128,0.06599212
ETTh1,OT,11520,13440,0.8176186243204544,0.0324999560249745,0.06870842,0.48495817,0.1508851,0.4027815
ETTh1,LULL,12800,12992,0.8089419486479401,0.2378306668822753,0.46426845,0.11066556,0.07533026,0.27827263
ETTh1,HUFL,12928,13760,0.8024935553509251,0.1457515385949888,0.84824026,0.21855211,0.5610336,0.06865454
ETTh1,LULL,13376,13888,0.8018398259145865,0.0488078196567237,0.4671123,1.408834,0.8740704,1.0018759
ETTh1,HULL,12672,14272,0.8013398478403396,-0.2103680303317577,0.14640617,0.1628511,1.0879712,0.77871394
