dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm1,MUFL,53760,56832,0.997881869715726,0.2491521926379818,0.33110166,0.3264954,0.29550505,0.36209202
ETTm1,HUFL,50688,51456,0.9976276154614444,0.2849497298508141,0.07681942,0.12839842,0.21993089,0.014713049
ETTm1,HUFL,53760,56832,0.9972961148768472,0.2371018588555365,0.18113804,0.63587165,0.4193139,0.39769578
ETTm1,MUFL,46656,48192,0.9968502593091184,0.2802718798484189,0.20413661,0.037427425,0.02055049,0.1461587
ETTm1,MUFL,50112,50688,0.9967659526808046,0.2446130508238951,0.5469601,0.65409184,1.2521281,0.051076174
ETTm1,HUFL,46080,46464,0.9966370084109912,0.0828368648517977,0.2406919,0.5482719,0.6757481,0.113215685
ETTm1,HUFL,46656,47616,0.9965244564825696,0.2631839992521018,0.1914525,0.30748796,0.41258764,0.086352825
ETTm1,MUFL,46080,46464,0.9964211953648824,0.0761324753844444,0.34128952,0.6106882,0.80912066,0.14285707
ETTm1,HUFL,52032,55872,0.9958421143714522,0.1139010516245526,0.09237361,1.8075404,0.8678334,1.0320807
ETTm1,MUFL,54144,56064,0.9958258009192322,0.1705840453419176,0.089490175,0.52766705,0.5156317,0.077454805
ETTm1,HUFL,47936,50624,0.9956002541428426,0.0431249601105824,0.24007821,0.17266989,0.009322643,0.07673097
ETTm1,MUFL,52032,55872,0.9954341439707748,0.111125771873221,0.20322227,1.688242,0.45414257,1.0308771
ETTm1,MUFL,47936,49280,0.9950640274227996,0.1567893437786828,0.0880425,0.07247496,0.032610416,0.19312787
ETTm1,LUFL,52992,53184,0.9945803604085622,0.2799178457925127,0.013431072,0.014017105,0.06965399,0.069067955
ETTm1,MUFL,47360,49088,0.9943488375111904,0.2611744609007431,0.02159524,0.16763139,0.13132882,0.057897806
ETTm1,HUFL,50496,51264,0.9942930901578731,0.2161600235167694,0.10772824,0.92934203,0.39165854,0.64541173
ETTm1,MULL,48448,49408,0.9942177199811728,0.1725731202280933,0.11340523,0.021698236,0.093854904,0.04124856
ETTm1,HUFL,46400,47552,0.993916962575362,-0.1073521334410043,0.20762897,0.3753488,0.28524303,0.29773474
ETTm1,HUFL,46272,48768,0.9939111848722774,0.0348858241724693,0.19403553,0.018395662,0.017336845,0.22976804
ETTm1,HUFL,46208,47360,0.9935234457780858,-0.1088018431549999,0.030298471,0.051701546,0.020182371,0.041585445
ETTm1,HUFL,47232,48192,0.9933818473015112,0.2779440206283687,0.27796555,0.14862037,0.042895317,0.3836906
ETTm1,HUFL,51648,56256,0.9933166388674148,0.2040406808716377,0.092731476,0.1844852,0.14100075,0.13621593
ETTm1,MUFL,46272,56640,0.993045463112118,0.0486366704018434,0.16731358,1.7839651,0.34211397,1.2745376
ETTm1,MUFL,51648,56256,0.9930232876229648,0.1435393552316948,0.02712655,0.2883315,0.19735718,0.11810088
ETTm1,HULL,48448,49408,0.9929343303760508,-0.1310758804558148,0.15980434,0.113574505,0.2976787,0.25144887
ETTm1,MUFL,50496,51264,0.9929332081909668,0.2571312864165405,0.12574673,1.5684066,0.73034024,0.96381307
ETTm1,LULL,53184,53568,0.9928813469434172,0.1604042651679987,0.03336954,0.047644615,0.044950962,0.030675888
ETTm1,LUFL,47296,54592,0.9928726614636396,0.2294110883934792,0.12492967,1.0766358,0.046171427,1.2477369
ETTm1,HULL,46144,46720,0.9924937731052312,0.0002738277585803,0.2185998,0.05515194,0.36209583,0.0883441
ETTm1,MUFL,48256,52096,0.9924254989776444,0.2808393416300278,0.24748659,0.06657505,0.24428797,0.069773674
ETTm1,OT,47616,55488,0.9922494157416382,0.1606571202228298,1.0861788,0.70069456,0.9258237,0.54033947
ETTm1,MUFL,48704,50624,0.9922165058181508,0.1484726850331921,0.59690094,0.0062544346,0.70574045,0.10258508
ETTm1,HUFL,48704,51392,0.9919458077346376,0.1172297955370096,0.15860462,0.1289072,0.015247345,0.044944763
ETTm1,LULL,55296,57024,0.9918086851087788,0.1254281535796502,2.5378032,0.08770156,2.3018777,0.14822388
ETTm1,MUFL,46400,46976,0.9916737529977344,0.0011271052070353,0.020745039,0.26262188,0.41744542,0.1340785
ETTm1,HUFL,52800,56064,0.9914359217198564,0.2470454899391904,0.45950365,0.49852395,0.6083977,0.34962988
ETTm1,HUFL,46848,49152,0.9907232214181452,0.2001962109641573,1.1358328,0.63050103,2.0357935,0.26945972
ETTm1,MULL,50688,50880,0.9906067179870148,0.0767206086964966,0.3879652,0.12482548,0.07592106,0.58871174
ETTm1,MULL,48256,54208,0.990555047205665,0.041970176565391,0.031407356,0.2392838,0.31516385,0.044472694
ETTm1,MUFL,47232,49152,0.9903405399391132,0.1904832729119011,0.055822134,0.17873764,0.20553422,0.08261871
ETTm1,MUFL,53568,55680,0.9902625820524952,0.1192940686045172,0.38887691,1.5725996,0.3726635,0.81105924
ETTm1,HUFL,50944,54208,0.9901070494665464,0.2634648715413198,0.21150684,0.24788475,0.14619446,0.10981655
ETTm1,MULL,51136,52096,0.989950842548422,-0.1302005301434775,0.344707,0.019973278,0.5741856,0.20950532
ETTm1,HULL,46336,47680,0.9898022094558074,-0.1191978130080243,0.27510786,0.12169218,0.20241547,0.19438457
ETTm1,MULL,46336,47680,0.9897416493181802,0.1760297746489508,0.26977253,0.27810574,0.07763529,0.085968494
ETTm1,MUFL,46848,48768,0.9896316936486794,0.2902652040601318,0.24111605,0.6797514,1.255403,0.3345356
ETTm1,LUFL,46912,49024,0.9894742271282054,0.1131180219018943,0.06440139,0.6468556,0.20244575,0.78489995
ETTm1,MULL,49024,52480,0.9893644732122496,0.0620301809184414,0.18344927,0.23357034,0.42043352,0.0034139156
ETTm1,MULL,47488,49600,0.9892603840358776,0.0650187679422678,0.78560734,0.13853526,0.43716574,0.48697686
ETTm1,MUFL,56000,56384,0.989244848757032,0.1412743070113516,0.6638372,0.30653167,0.8077035,0.16266537
ETTm1,MUFL,48960,51456,0.9889443097607292,0.2807391909871117,0.16861653,0.060925245,0.16181612,0.06772566
ETTm1,MUFL,50880,51072,0.988928263162674,0.2866556097378392,0.25043488,1.6404569,0.63467884,1.256213
ETTm1,HUFL,56000,56384,0.9887848629664324,0.2051063744246392,0.21651578,0.2806759,0.40082216,0.096369505
ETTm1,HUFL,49280,50432,0.9886212396619588,0.2888817897821642,0.15605044,0.45613742,0.3996904,0.21249747
ETTm1,HUFL,50112,52224,0.9885138950417236,0.2020925485227727,1.544836,0.5574851,1.9860029,0.116318226
ETTm1,HUFL,53568,55680,0.9883229197802949,0.143195306645377,0.26054525,0.45890474,0.008954048,0.18940544
ETTm1,HULL,50944,54208,0.988270942514281,0.2595419298852989,0.09390283,0.37212133,0.076967955,0.5429921
ETTm1,MUFL,46208,47552,0.9879774941320436,0.2354516441660455,0.014455557,0.5633893,0.3927827,0.18506217
ETTm1,MUFL,50048,52736,0.987768830822467,0.266399737343328,0.1786859,1.1717515,0.23546815,1.1149693
ETTm1,OT,46976,48832,0.9877054671648764,0.0727447482872496,0.19056416,0.4318595,0.49791527,0.12450838
ETTm1,HUFL,49024,51520,0.9869410269452203,0.1542186239132984,0.2632408,0.37487698,0.19041824,0.07878208
ETTm1,MUFL,49408,49984,0.9868838886033496,0.2859555885845378,0.35619593,0.5538869,0.17315197,0.37084293
ETTm1,HULL,47488,49600,0.9868300395872326,0.1717329227117724,0.41735125,0.17084074,0.27441883,0.31377316
ETTm1,HULL,49024,52480,0.9866014020669932,0.2079786500829329,0.38113594,0.07163286,0.2761259,0.1766429
ETTm1,HUFL,54144,56640,0.986334652373243,0.175108354925913,0.09150267,0.88627315,0.5088961,0.4688797
ETTm1,MULL,51072,52032,0.9862220269473598,0.1546145531546122,0.78538394,0.08762026,0.52963924,0.34336495
ETTm1,LULL,55488,57408,0.9861676922453974,0.026986881928557,0.39805126,0.25120163,0.13788128,0.008968353
