dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
PEMS08,57,15565,17293,0.999566597688139,0.2813413244674792,0.033206463,0.09814644,0.056869507,0.074483395
PEMS08,52,15565,17293,0.9994222300517872,0.1489633297419849,0.03097415,0.19833326,0.2180636,0.01124382
PEMS08,54,15181,17485,0.9993910331293022,0.2040988796629941,0.100791454,0.25921202,0.053451538,0.30655193
PEMS08,2,14989,15565,0.9993415970114206,0.2866267038886076,0.06600237,0.12347174,0.17375755,0.116288185
PEMS08,166,15565,16141,0.9992984719168976,0.2802177474510778,0.10523772,0.0022892952,0.010438681,0.11338711
PEMS08,126,14925,16077,0.9991826346362376,0.2440249408796831,0.030060291,0.38163567,0.25352573,0.15817022
PEMS08,125,14925,16077,0.9991826346362376,0.2440249408796831,0.14891386,0.45625353,0.276855,0.3283124
PEMS08,121,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,48,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,80,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,123,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,122,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,141,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,61,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,142,14925,16077,0.9991826346362376,0.2440249408796831,0.11027908,0.3721161,0.23781443,0.24458075
PEMS08,64,14925,16077,0.9991826346362376,0.2440249408796831,0.12463665,0.057090282,0.04491663,0.22664356
PEMS08,124,14925,16077,0.9991710841844532,0.2448045758651475,0.11099386,0.37591934,0.2393465,0.2475667
PEMS08,153,14925,16077,0.9991506892509644,0.2717636739617515,0.008266449,0.28629303,0.09414768,0.1838789
PEMS08,60,14925,16077,0.9991433249537516,0.2470734728032629,0.105882645,0.3390751,0.16224575,0.28271198
