dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,0.23473835,0.08561897,1.0838962,0.9347768
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,1.6184809,0.94734836,1.193629,0.52249646
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.48637152,1.1536274,0.25070763,0.9179635
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.5568452,0.32791042,0.47587585,0.24694109
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.09928036,0.557776,0.014607906,0.4438877
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,0.6755686,0.90777636,0.6411791,0.87338686
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.037938595,0.20951557,0.7092805,0.95673466
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.3292594,1.4236603,0.22167635,1.3160772
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,0.68978834,0.3645649,0.43265772,0.10743427
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,1.0537503,2.0934703,0.98343444,2.0231545
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.05835581,1.5471573,0.023849964,1.5816631
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,0.12324238,0.13489199,0.7167082,0.7283578
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,0.6107173,2.044958,0.46116304,1.8954039
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,0.7297821,0.12359667,0.6667762,0.060590744
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.37986183,1.111794,0.38450956,1.1164417
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,1.350328,1.6236739,1.333014,1.60636
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,0.59013224,0.039396763,0.69072866,0.13999319
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.26650906,0.4132805,0.16149616,0.014724731
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.71329474,1.7094223,0.40264702,1.3987746
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,0.78547144,0.6240516,1.2505355,1.0891156
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.14132929,0.7177501,0.21250081,1.0715802
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.577775,0.34993982,0.03875208,0.1890831
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,1.613441,0.43278933,1.8151028,0.63445115
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,0.75218105,0.33495903,0.9700532,0.5528312
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,0.65452194,1.0104012,0.85225487,1.2081342
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.03154373,0.22292471,0.1769576,0.43142605
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.49575853,0.34853268,0.07664204,0.2238679
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.8490181,0.11852026,0.8120847,0.15545368
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,0.064620495,0.8460221,0.19027853,0.5911231
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.88839865,0.04078102,0.8974242,0.049806595
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,0.5266185,0.46660805,0.35585642,0.295846
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.3362522,3.1801722,0.4474144,3.06901
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,0.43024778,1.088625,0.7892175,1.4475946
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,1.1796017,1.4046926,0.989542,1.214633
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,0.558578,0.013122082,0.290627,0.25482893
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,0.27415323,0.88004446,0.03165388,0.6375451
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.25679922,0.8897333,0.3110671,0.321867
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,0.06451321,0.53467894,0.20028543,0.7994776
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,0.69903183,1.1006985,0.6379795,1.0396461
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,0.17275381,0.37223577,0.36403084,0.9090204
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,0.8674164,0.5928831,0.9381764,0.6636431
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,1.7069788,0.77835846,1.642364,0.7137437
Wind,pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228,0.05468607,0.89515257,0.666347,1.6161857
