dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ZafNoo,swc_deep,15892,16852,0.9964274610951304,0.0866882974713211,0.7546439,1.2018976,0.575295,1.0225487
ZafNoo,swc_deep,15956,16148,0.994901419376525,0.0159464048996668,0.22488928,0.05316353,0.077180386,0.3552332
ZafNoo,swc_deep,16596,17684,0.9899589917300318,0.0773849053357659,0.12908983,1.6519861,0.14696312,1.6341128
ZafNoo,swc_deep,15764,18900,0.9863691711082112,-0.033933124100845,0.25029564,1.767683,0.5871885,2.6051672
ZafNoo,precip,17812,18964,0.9829643175460088,-0.2354886557479839,0.5064087,0.14059448,0.4825058,0.16449738
ZafNoo,swc_deep,16276,17236,0.9819274620786927,0.1209765220750022,0.19665718,0.009642124,0.0720911,0.114923954
ZafNoo,swc_deep,17364,18196,0.9805527069038236,0.0403904875363304,1.3503563,0.6934159,0.61871004,0.03823042
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15828,16212,0.9740518941355794,0.2556526062791543,0.14155054,0.14529371,0.18891978,0.09792447
ZafNoo,rh,15380,18068,0.9700080295840184,0.2570580927108159,0.330477,0.3643329,0.36566186,0.32914805
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15508,17044,0.9692420250840574,0.2677351426699216,0.2849369,0.1063478,0.07517815,0.10341096
ZafNoo,swc_shallow,15764,17492,0.963020679832122,0.2175278495327167,0.07873964,1.0344281,0.4166355,0.69653225
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16532,16916,0.9621173983784224,0.2635181287609882,0.26976442,0.3371427,0.38106537,0.22584176
ZafNoo,swc_deep,16212,17620,0.9607786659041976,-0.1230224242709829,0.4451859,1.8170612,0.35931706,1.7311924
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15764,17108,0.9561950693687687,0.2217448377838103,0.43564343,0.5650437,0.58480954,0.41587758
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15444,16980,0.9550821482372384,0.1752041471057634,0.2200253,0.022520542,0.32334256,0.1258378
ZafNoo,swc_shallow,17108,17556,0.9513507637249238,-0.18500801841487,0.6173558,0.78456306,0.6349039,0.80211115
ZafNoo,swc_deep,16340,17812,0.9501734196492402,0.0205669726363127,0.20399618,1.1684737,0.07199144,1.036469
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15700,17620,0.9472489849651352,0.218373630447463,0.37988448,0.13978672,0.2108798,0.3087914
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16020,16404,0.9421133753222656,0.2789518313892284,0.31576347,0.39365673,0.34501266,0.36440754
ZafNoo,rh,16596,18900,0.941807208864163,0.0949235393538521,0.12936616,0.026064396,0.033849478,0.069452286
ZafNoo,swc_shallow,17620,18260,0.941051563081342,-0.1502662523703055,0.6796713,0.73457146,0.90238476,0.9572849
ZafNoo,swc_shallow,16980,18772,0.9388176098186938,-0.1069787134253551,0.7827544,0.85928583,0.97608614,1.0526175
ZafNoo,rh,15764,16532,0.9388065974878572,0.2974236184234973,0.18910003,0.16972923,0.24942422,0.10940504
