dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.21892166,0.4581933,0.38275623,0.29435873
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,0.5428009,1.4568348,0.50574064,1.493895
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.040851593,0.19667625,0.024446726,0.13137794
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.0151901245,0.0942266,0.033513308,0.075903416
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.13126493,0.13935924,0.0914669,0.17915726
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.1352365,0.06098318,0.1853807,0.11112738
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.020498037,0.20933652,0.022480488,0.166358
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.33968854,0.51624584,0.11347556,0.7424588
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.06131363,0.2781508,0.0745163,0.26494813
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.12194061,0.9350877,0.6550242,0.40200412
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.2925682,0.009048462,0.102054834,0.18146491
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.25889635,0.17012787,0.058912992,0.02985549
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.3372507,0.052268267,0.22863483,0.16088414
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.51569057,0.44377184,0.41562247,0.54383993
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.3435042,0.38496614,0.36071658,0.36775374
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.2990098,0.2593193,0.23262358,0.32570553
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.018926382,0.2293272,0.3038869,0.055633307
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.091713905,0.048865557,0.14704251,0.104194164
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.45568776,0.12418795,0.334594,0.2452817
electricity,87,22132,24820,0.9771813802303676,0.2819731502307036,0.07714105,0.19905686,0.070153,0.20604491
electricity,25,21300,23988,0.9770760018754174,0.1435904230314218,0.27807593,0.07721925,0.23834205,0.116953135
electricity,9,24180,25716,0.9768741478004268,0.1892141748258888,0.4211948,0.6069915,0.59644437,0.43174195
electricity,103,23284,25972,0.976151222259024,0.2256131401877322,0.302464,0.34715724,0.31806326,0.331558
electricity,275,22708,23476,0.9751037137668098,0.1743738223684481,0.27828372,0.12895942,0.1388222,0.26842093
electricity,9,21300,23988,0.974787817411335,0.245271811435902,0.79059124,0.35606027,0.20248222,0.23204875
electricity,168,23412,24948,0.9746055922689454,0.2928948213068644,0.029507875,0.039906025,0.03157878,0.04197693
electricity,151,24308,25460,0.9743439948987668,0.2976929175346995,0.067109585,0.23266625,0.19700623,0.10276961
electricity,287,21812,24116,0.974199640783685,0.2541001244179625,0.36005855,0.50749445,0.3679564,0.4995966
electricity,287,22900,25396,0.9741739604748818,0.2818462370875482,0.3440354,0.15791082,0.37888598,0.19276142
electricity,66,23732,25076,0.9740633897886318,0.2729040949321039,0.10001838,0.24522412,0.3062694,0.6515119
electricity,174,24692,26036,0.9736141212246452,0.2735235681344113,0.10432613,0.14018416,0.13249528,0.11201501
electricity,129,22836,25524,0.9735306478748224,0.1172573691513469,0.024417877,0.0092020035,0.115143776,0.13035965
electricity,95,21364,25780,0.9728913168334292,0.29188283134466,0.004741192,0.009099245,0.13780403,0.13344598
electricity,103,21876,24756,0.972593432924617,0.2605609325878583,0.0850482,0.23665953,0.21531391,0.106393814
electricity,119,22132,25396,0.9718686214994868,0.2709462298199571,0.008680105,0.10851979,0.013230085,0.10396981
electricity,317,23412,25140,0.9718677841483204,0.2969591712374023,0.07613993,0.06688309,0.32355094,0.18052793
electricity,129,23348,24692,0.9717127598761992,0.0207728745242148,0.012690544,0.21101356,0.24674034,0.04841733
electricity,184,23540,24692,0.9712640349712444,0.2517425122739827,0.19088173,0.2622888,0.26372933,0.1894412
electricity,105,21364,25012,0.9708466503832636,0.2970489810128018,0.6995771,0.17812777,0.4432298,0.43447506
electricity,27,21492,22836,0.9706060096660456,0.2575096936576501,0.1729356,0.21093225,0.23252618,0.15134168
electricity,307,21620,25076,0.9705105833494804,0.2031287516387983,0.19043565,0.028905869,0.11970496,0.099636555
electricity,112,23220,25140,0.970486172202232,0.2375939871674715,0.020133734,0.34718597,0.0913949,0.2759248
electricity,87,22068,24948,0.9698598884969668,0.2504737098801857,0.20615554,0.3778119,0.18606639,0.39790106
electricity,133,21172,25204,0.9694088638887356,0.1489337562749722,0.36796713,0.17865586,0.28014493,0.090833664
electricity,99,21300,25332,0.9693993516851356,0.2987567158739466,0.6494696,0.6571102,0.91873527,0.38784456
electricity,184,22644,25908,0.9692900983416748,0.2636018147514014,0.034381866,0.26747894,0.38473868,0.082877874
electricity,300,24948,25140,0.969140517876512,0.1911844479629965,0.10116434,0.09015322,0.048527956,0.05953908
electricity,103,22004,24692,0.9689797892733896,0.2246253001928921,0.17740297,0.12330794,0.12625575,0.07216072
electricity,307,22004,24884,0.968889132310132,0.186807060551802,0.37084985,0.22702384,0.36748576,0.23038793
electricity,18,23092,24628,0.9680413521131368,0.2604505382180785,0.060838223,0.1974715,0.024412751,0.16104603
electricity,307,22132,26164,0.9675504762380194,0.2777374593773739,0.4755789,1.0952744,0.7247447,0.8461087
electricity,127,24692,26036,0.967422718762227,0.193896138466707,0.23318982,0.22418427,0.036222458,0.045228004
electricity,OT,22324,25012,0.9672782563625164,0.2570776440214177,0.08232546,0.11166859,0.05944252,0.13455153
electricity,307,21236,22964,0.9672109340462992,0.2111437604950995,0.07262719,0.103211164,0.20005238,0.23063636
electricity,295,21748,25204,0.9670351591629937,0.2873825959448052,0.17321181,0.098617315,0.089407206,0.014812708
electricity,103,22068,23604,0.9666101122231427,0.2324997337358761,0.3181479,0.3095274,0.048550844,0.057171345
electricity,287,23220,25908,0.9664358713968844,0.242041435525261,0.32487917,0.6390052,0.26739836,0.046727657
electricity,319,23028,25716,0.9659741664302324,0.2612261484182184,0.10724914,0.011986494,0.14829934,0.029063702
electricity,159,24692,25844,0.9657905573079264,0.2686626594526312,0.22225022,0.23024106,0.24577796,0.20671332
