dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
exchange_rate,1,6839,7479,0.973859046516094,-0.1563026430778434,0.1476407,0.074491024,0.5716448,0.4984951
exchange_rate,6,6839,7031,0.9717449221059218,0.2816110905968605,0.51892257,2.08338,0.01692152,1.5813789
exchange_rate,5,6135,6455,0.9697409467944564,-0.2535554951179389,0.11513281,1.7332239,0.24366522,1.3744259
exchange_rate,6,6775,7479,0.968230511697888,0.1309899525180775,0.80195904,2.8895693,0.35818434,2.4457946
exchange_rate,5,6711,6775,0.9679169142992312,0.0346759708527972,0.91438055,0.032453537,0.782825,0.1640091
exchange_rate,2,6391,7479,0.9646547091935728,0.0694893779979117,0.9414239,0.92884207,1.0284605,1.0158787
exchange_rate,6,6135,6455,0.9642639968687726,0.0335511969462637,0.680717,0.41370153,0.7367153,0.46969986
exchange_rate,0,6711,6839,0.9637878544675654,0.2138286148625744,2.7178285,0.46226382,2.9243765,0.6688118
exchange_rate,2,6839,7159,0.9613654466766371,0.1250468682728861,0.26505232,0.76386166,0.14335108,0.6421604
exchange_rate,4,6327,6711,0.959137409592412,0.1228866099955801,2.0422692,1.4300933,1.9759984,1.3638225
exchange_rate,OT,6711,6967,0.9555353128365932,0.2952083366147289,1.2242436,1.1457815,1.4631772,1.3847151
exchange_rate,4,7159,7351,0.9535676903563828,0.0092053637519282,0.12560868,1.5272319,0.19811726,1.203506
exchange_rate,4,6519,7479,0.95100741975158,-0.2754725864565962,2.3732648,1.2859039,2.437533,1.350172
exchange_rate,6,6199,7351,0.9509828946948548,0.0859299659129257,0.8221655,1.0223265,0.5510006,0.7511616
exchange_rate,1,6583,6647,0.9504238919569256,0.1662543807983698,0.14396,0.05260706,0.0993762,0.09719086
exchange_rate,0,6455,7031,0.9494123997334512,0.1089354354376746,0.8430295,0.98227024,0.36303473,0.50227547
exchange_rate,1,6711,6775,0.9358074701966952,0.2929274999239574,0.4240842,0.26185465,0.28430486,0.9702437
exchange_rate,1,6135,7159,0.9270645364910504,0.1853560244327608,0.4561162,1.8497491,0.001241684,2.3046236
exchange_rate,OT,6519,7095,0.9269456081448936,0.1724656860491853,2.9966874,0.6141796,3.2151198,0.83261204
exchange_rate,5,6199,6967,0.9228796776180956,-0.0234167554893831,0.4809184,0.23152256,0.3000679,0.050672054
exchange_rate,3,6263,7351,0.9181808032074512,0.0980335467138605,0.098193645,0.5720525,0.11486292,0.58872175
exchange_rate,1,6199,6327,0.9085439689526956,0.1156090131525195,0.18824315,0.61614823,0.0700202,0.35788488
exchange_rate,3,6199,6839,0.9085220346736412,0.1272687865318969,1.1684422,0.23604774,1.4422431,0.037753105
exchange_rate,OT,6199,7351,0.9030742116716732,-0.000298802521763,1.4855771,1.1200228,1.3124619,0.9469075
exchange_rate,3,6711,6775,0.8992488454084759,0.1662747088864165,1.7723002,0.41215277,2.2554898,0.89534235
exchange_rate,4,6775,7031,0.896730719345707,0.0751212871096756,0.39555645,1.0955415,0.15273619,1.3383617
exchange_rate,5,6071,7479,0.89469175219343,-0.0194695424988701,2.0474782,0.77425194,1.774991,0.5017648
exchange_rate,2,6135,6775,0.8941122344670628,0.0768785566458817,2.6948867,0.6710572,3.0638275,1.039998
exchange_rate,2,6583,7287,0.8793730144585672,0.0109886296605378,0.78935146,1.2012577,0.20627737,0.6181836
exchange_rate,OT,6263,7031,0.8762063506455214,0.1248888001054268,2.298399,0.4260373,2.9069073,1.0345457
exchange_rate,0,6135,6775,0.8751667218831907,0.0371327623437772,2.0350094,0.6141138,2.1276221,0.70672655
exchange_rate,OT,7159,7223,0.8699110360136691,-0.0571315134117285,0.058241844,0.16108894,0.12222004,0.22506714
exchange_rate,4,6071,7287,0.8630337494419986,0.2730854595343866,2.2408957,1.254396,2.313846,1.3273463
exchange_rate,4,6199,6903,0.8587627622257568,-0.0778039760193814,2.2527242,1.9063611,2.2318344,1.8854713
exchange_rate,6,6647,7287,0.8562671225412988,-0.00949512783764,0.483922,1.2863684,0.026599884,0.82904625
exchange_rate,5,7287,7351,0.8526103574991687,-0.1153348954243999,0.07515502,0.11051154,0.015346527,0.020009995
exchange_rate,0,7223,7351,0.8524034532847556,0.0130941433402482,0.4729867,0.9524698,0.079833984,0.5593171
exchange_rate,OT,7287,7415,0.836352738678291,0.1198826355358442,1.9987054,1.4479957,1.9426818,1.3919721
exchange_rate,2,6263,6455,0.8289203981045494,-0.1677448434926357,1.5557103,0.6740322,2.1103,1.228622
exchange_rate,3,6327,6455,0.8233637335768226,-0.0516074152779821,0.7991557,1.4835334,0.7523079,1.4366856
exchange_rate,5,6263,7415,0.8190227292706624,0.1238555413718774,1.8461266,0.9797864,1.2209339,0.35459375
exchange_rate,3,7159,7223,0.8006913213001692,-0.1271271254220133,0.28400707,0.6591754,0.1793747,0.19579363
