dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
solar,124,48960,51264,0.9996341671606832,0.2464132393690358,0.7068958,0.03364134,0.38171625,0.35882092
solar,47,48896,50048,0.9996073785660564,0.0549634318725326,0.019577503,0.06771135,0.040606022,0.046682835
solar,106,43712,51776,0.9996008316724524,0.2040866848238627,0.01723957,1.1309905,0.16749716,1.3157272
solar,20,44864,48320,0.9995392928348974,0.2747932032323137,0.21271825,0.22372437,0.0703311,0.36611152
solar,85,47168,48320,0.9995303524672348,0.2417293648745052,0.2077074,0.123380184,0.21788168,0.11320591
solar,86,48384,49536,0.9995285594499628,0.2761742474825132,0.047512054,0.18414307,0.1482048,0.0115737915
solar,107,42688,44416,0.9995215238449394,0.2774387619165535,0.007160902,0.25121546,0.15037084,0.10800552
solar,2,46080,46656,0.9995135383264888,0.2101509781052259,0.35898352,0.47326493,0.15573072,0.6765177
solar,35,43712,44288,0.9995062903397756,0.2653133348732903,0.33840394,0.010645866,0.15739441,0.1916554
solar,76,44288,50048,0.9994650926197164,-0.1229573093121474,0.059791803,0.2547984,0.23439312,0.03938651
solar,70,45440,47744,0.9994556266113088,0.1852677076006357,0.010963917,1.0364115,0.16175151,0.88562393
solar,124,42688,48448,0.9993632456152054,0.275576806186772,0.10180783,0.09459424,0.06815839,0.12824368
solar,80,46720,51904,0.9993528528696068,0.2937527910888301,0.3278265,0.14610386,0.67523956,0.2013092
solar,28,45504,48384,0.9993444834722548,0.2860595123728064,0.069924355,0.04915309,0.038595676,0.08048177
solar,34,44928,46080,0.9993415372899896,0.2840940305624757,0.18407011,0.018133163,0.05380392,0.14839935
solar,95,44928,51840,0.99932929774961,0.2227845124201932,0.38618088,0.20129538,0.12184811,0.063037395
solar,103,43200,49536,0.9993272286161242,0.2854224637375124,0.3220408,0.42444968,0.23721433,0.50927615
solar,69,43712,48320,0.9993062193741774,0.2509412960696138,0.3601222,0.31008196,0.53430295,0.13590121
