dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.034386873,0.41591763,0.3218825,0.059648275
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.03745222,0.041419744,0.006593704,0.07227826
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,0.41845703,0.91141915,1.0798049,0.2500713
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.077167034,0.39757752,0.31652975,0.0038807392
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.002042532,0.012373209,0.028759003,0.014343262
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.08889985,0.0048446655,0.021323442,0.06273174
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.1614027,0.001267314,0.0034401417,0.16611016
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.02203083,0.33633566,0.28508806,0.029216766
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.04050088,0.05507517,0.12727523,0.03169918
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.07964826,0.11455965,0.051574945,0.14263296
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.097967625,0.16418695,0.17482162,0.087332964
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.047222137,0.113869905,0.06865144,0.092440605
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.05441928,0.14003158,0.12901759,0.065433264
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.08901739,0.09389222,0.12571979,0.057189822
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.14370298,0.11175609,0.006441593,0.24901748
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.39593625,0.30404353,0.3288877,0.37109208
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.076554775,0.3344984,0.18788242,0.07006121
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.018753767,0.0014247894,0.047106743,0.06443572
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.43872976,0.12747312,0.33285356,0.021596909
