dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,1.5882721,0.41219854,1.7089665,0.53289294
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.13262415,1.7638078,0.2927518,2.1891837
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.24039984,0.3050499,0.10434723,0.64979696
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.21627522,2.0403113,0.098032475,1.9220686
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,0.41847038,2.3228784,0.472795,2.377203
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.2536478,0.15619755,0.37866926,0.03117609
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,2.024398,0.7086952,1.8012843,0.4855814
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,0.30613136,1.1311059,0.45928192,0.97795534
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.052644253,0.73314524,0.091896534,0.69389296
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.10897064,0.88822365,0.17308664,0.60616636
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,1.6851337,0.35298896,1.6325781,0.3004334
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.14343643,0.6481066,0.11884689,0.6726961
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,0.98521376,1.5747976,0.5241742,1.1137581
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.09016299,0.10147238,0.051551104,0.14008427
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,0.21125412,0.32936144,0.25664473,0.28397083
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,1.7868407,0.6017096,2.0313065,0.84617543
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,1.7903686,0.157722,2.166154,0.53350735
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.07604885,1.2290597,0.0795269,1.073484
weather,p (mbar),49901,50349,0.9976902466498414,0.1608700528672035,1.0630512,1.2738519,0.8996773,1.1104779
weather,PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929,0.08971,0.74318385,0.044070005,0.78882384
weather,Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192,1.6781516,0.83156204,1.8152924,0.9687028
weather,SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876,0.14230108,0.11826563,0.38526726,0.3612318
weather,max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384,0.1966753,0.17776012,0.031053543,0.40548897
weather,p (mbar),44333,52397,0.9975360354665784,0.0647201627658495,0.6083412,0.04506159,0.6789417,0.1156621
weather,p (mbar),46125,49965,0.997534887018418,0.2777457674959991,0.9745865,0.0034456253,1.1619234,0.1838913
weather,p (mbar),47085,48813,0.9975184410454904,0.196086791997055,1.3715396,0.16813612,1.6372094,0.0975337
weather,max. PAR (�mol/m�/s),43565,51053,0.9974985346638872,0.2048209195073694,0.14472103,0.96591806,0.195992,1.017189
weather,Tpot (K),46637,46765,0.9974984436330896,0.0114380623832369,0.19260645,1.2921562,0.075840235,1.0237095
weather,SWDR (W/m�),44909,46637,0.9974597128248502,0.0702873162518401,0.04254675,0.48845387,0.34809875,0.18290186
weather,SWDR (W/m�),47085,49965,0.9974512641259072,0.0881137261742378,0.2857473,1.6084027,0.4668424,1.4273076
weather,p (mbar),47213,47277,0.997385381045906,0.2846427605612534,0.93695116,2.0242634,1.1486139,2.2359262
weather,Tlog (degC),43949,50285,0.9973750178997391,0.1415086046858436,0.36786985,1.0826888,0.65249443,1.3673134
weather,p (mbar),44461,46637,0.99730862632448,0.1947488016146446,1.2456188,0.25622368,0.89592457,0.09347057
weather,max. PAR (�mol/m�/s),49261,50413,0.9972471425946632,0.0131079893896458,0.0555768,0.061226845,0.16245794,0.16810799
weather,PAR (�mol/m�/s),44653,45805,0.997178754916874,0.2148929761517466,0.11718559,0.10561991,0.08954191,0.1011076
weather,p (mbar),46189,52333,0.9971726191092484,-0.0344358764170541,0.75383186,0.2612748,1.3196216,0.8270645
weather,p (mbar),50605,51757,0.9971604616864784,0.0516861300464544,0.4548192,0.45411968,1.0175066,0.108567715
weather,SWDR (W/m�),47021,49325,0.9971594450619312,0.0437646626260338,2.194406,0.84340954,1.9452779,0.59428144
weather,p (mbar),48173,48557,0.9971405191450774,0.1067114692893908,1.8624587,0.2099495,2.1025789,0.45006967
weather,p (mbar),43821,48621,0.9970755815980412,0.1840292507945735,1.3754311,0.68778944,1.5486405,0.86099887
weather,PAR (�mol/m�/s),47085,49965,0.997059744165325,0.1161275734783486,0.36368322,0.6984844,0.45182514,0.6103425
weather,T (degC),44717,45613,0.9970585931703084,-0.2093861663143651,0.54219675,1.0834475,0.33007336,0.87132406
weather,PAR (�mol/m�/s),44845,52333,0.9970237095296044,0.068589122216378,0.13233685,0.18212557,0.07320523,0.24125719
weather,VPmax (mbar),44589,46765,0.9970032540717728,-0.0086725932544801,0.46202898,0.36565447,0.41568184,0.31930733
weather,Tpot (K),43949,47981,0.9969808809727696,0.1085330593381223,1.1608081,0.23607445,1.2654123,0.1314702
