dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,1.6167927,1.6368222,1.3844519,1.4044814
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.91769123,1.0081506,0.84993744,0.9403968
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,1.5353801,1.0806477,1.7748039,1.3200715
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,1.9455509,1.5027232,1.6131434,1.1703157
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,1.613905,1.4238429,1.8771148,1.6870527
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,1.4661098,0.49463415,1.752574,0.78109837
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,2.3070831,1.5052109,2.1865902,1.384718
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,1.1300259,0.6987567,1.3575449,0.92627573
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.47036266,1.4856677,0.6673517,1.6826568
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.3871622,0.19207954,0.8490677,0.26982594
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,1.0327158,1.272635,1.0463152,1.2862344
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,1.3065519,1.0405684,1.2039266,0.937943
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.9467552,1.0751469,0.5872865,0.7156782
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.29155445,0.9546952,0.4618411,1.1249819
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,1.5698407,0.9964211,1.474503,0.90108347
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.27218914,0.5316076,0.71533966,0.97475815
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.26130295,0.15695333,0.3629446,0.7812009
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.049170494,0.011541367,0.40577197,0.46648383
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,1.3822057,1.2542455,1.38256,1.2545998
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,1.5184181,1.5774043,1.3011241,1.3601103
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.6494131,0.86340904,0.8460822,1.0600781
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,1.3369579,0.6361942,1.4137335,0.7129698
AQWan,CO,31380,32916,0.9604855148235304,0.1160588143760801,0.69041014,0.75753784,0.72035694,0.78748465
AQWan,DEWP,29140,31188,0.9603795243609984,0.1146201769849391,0.18285084,0.3781824,0.0007791519,0.19455242
AQWan,WSPM,32788,32980,0.959702850927323,0.1343796594179757,0.40286922,0.087376595,0.23626995,0.07922268
AQWan,CO,32276,32596,0.9563461517298932,0.2532212199830025,2.0388222,1.4474392,1.868597,1.277214
AQWan,PRES,33492,33940,0.9551697381461552,0.2144151039096583,2.7030807,2.2851658,2.7812119,2.363297
AQWan,DEWP,31380,32916,0.954989587155973,0.1531962480941159,0.79528236,1.5248246,1.0437617,1.773304
AQWan,PM2.5,32788,33172,0.954804151530691,-0.1522677821779459,1.2723536,2.9384077,1.1795816,2.8456357
AQWan,PRES,33108,34196,0.9538940679961816,-0.101807699081989,2.1781652,1.6921389,2.1583714,1.6723452
AQWan,RAIN,31956,32276,0.953507690477341,0.1424507205745474,0.028429508,0.1825552,0.093029976,0.061095715
AQWan,SO2,28628,33620,0.9524564623188206,0.1214337882795854,0.6966696,0.9593358,0.2587762,0.5214424
AQWan,SO2,28308,29652,0.9522256439550985,0.2588760327813042,1.1143177,1.6909506,1.1890354,1.7656684
AQWan,PM2.5,31956,33940,0.9512624332811542,0.2357637861110126,0.110907555,0.76451063,0.25553274,0.39807034
AQWan,CO,32724,33428,0.95086448825152,0.0695549394913356,0.98930883,0.5292182,0.81383467,0.35374403
AQWan,SO2,30420,34580,0.9497137187654372,-0.1076458220409073,1.257689,0.99418116,1.1651444,0.9016366
AQWan,DEWP,30676,32276,0.949193109822548,0.2463909562852625,1.6539431,1.0864053,1.9804072,1.4128695
AQWan,PRES,30484,32724,0.9481385381401088,-0.5046092143275563,1.3712165,1.9655187,1.4256606,2.0199628
AQWan,DEWP,29588,34196,0.946815299450874,-0.2067276432988422,2.6766882,1.5601602,2.3241649,1.2076368
AQWan,PRES,30548,34836,0.9468008130152956,-0.024637207466527,2.7195096,2.1967034,2.7772038,2.2543976
AQWan,O3,30100,30292,0.946688286151243,0.2880464387048996,0.06470895,0.072779894,0.029216528,0.108272314
AQWan,WSPM,30420,33684,0.9459809068938572,-0.0322113816792445,0.11234236,0.17187357,0.051896095,0.23231983
AQWan,RAIN,32020,33748,0.945387470918225,0.2267011198575805,4.7005115,3.9525156,4.775669,4.0276737
AQWan,SO2,29076,33428,0.9449773044702552,0.0179309521015021,1.5251284,1.3268881,1.2758422,1.0776019
AQWan,PM2.5,28308,32980,0.9445264127796764,0.2181658189256189,2.040873,0.84068036,1.5486851,0.34849238
AQWan,CO,29716,29844,0.9433779685720836,-0.3947707551770809,1.7139249,0.83432674,1.8189726,0.93937445
AQWan,PRES,29588,32020,0.940872720784514,-0.4522463794586383,1.8570507,1.6586282,1.6429484,1.444526
AQWan,DEWP,32788,32980,0.9407044584837326,0.2981132798067631,1.753797,1.380228,2.3186913,1.9451222
AQWan,WSPM,28244,30740,0.9401965873283026,0.2120037885269211,0.36065197,0.12939453,0.45424318,0.22298574
AQWan,NO2,29652,34452,0.93998465887199,-0.0693862248642698,1.2115626,1.012641,1.0267613,0.8278396
AQWan,PRES,31316,32596,0.9398510060667108,-0.2613965290549103,0.75615597,1.3593698,0.74456835,1.3477821
AQWan,PM10,31828,31956,0.939842942671914,0.1623913538267469,2.4731524,2.0779803,2.5642135,2.1690414
AQWan,PRES,31700,34708,0.9394238649542882,-0.1697633511536702,0.53485394,0.49905443,0.3953557,0.3595562
AQWan,PM2.5,28244,33492,0.9369596642289052,-0.0974792361467816,0.682796,0.7840085,0.8217516,0.9229641
AQWan,DEWP,33620,34516,0.9369557179422708,0.0055531152643358,0.32199192,0.11048031,0.44361782,0.23210621
AQWan,CO,33556,34324,0.936818875955243,0.2452526516905732,0.9948425,0.61058426,0.5325699,0.14831161
AQWan,CO,34196,34772,0.9366371145458312,0.1826654709913316,2.098896,1.0729318,2.0818262,1.055862
AQWan,TEMP,29716,33364,0.936387277548824,0.2672003762299454,0.8860872,0.51189446,1.2244086,0.17357302
AQWan,TEMP,30228,34068,0.9362394315066084,0.139850083062049,0.90521646,0.9627149,0.8439448,0.90144324
AQWan,PM10,32788,33172,0.9360485586176,-0.1147720095296996,0.85314417,1.5561872,0.8671622,1.5702052
AQWan,PRES,28244,29652,0.9342551113804224,-0.170849099780613,0.9527726,0.14069557,0.84049463,0.028417587
AQWan,NO2,30612,31380,0.9338150322500044,0.126117958839844,0.20750666,0.4037416,0.094727755,0.2909627
AQWan,WSPM,33940,34132,0.933731143341822,0.1388310911359563,0.1995883,0.86172724,0.30701923,0.9691582
AQWan,O3,33428,34388,0.9332883847661662,-0.1221721532286145,0.55432606,0.6286156,0.5884507,0.66274023
AQWan,DEWP,32020,34068,0.9330683541275226,-0.0915735895167151,1.5350621,1.8201697,1.2357273,1.5208349
AQWan,TEMP,28308,34452,0.9330207442292652,0.1360279650646385,0.22796535,0.076321125,0.113756895,0.037887335
AQWan,CO,30676,34452,0.9326851773135292,0.0012551487188641,0.59264374,0.9655137,0.89516497,1.2680349
AQWan,DEWP,28372,31828,0.9322486678659504,-0.0397137995059007,0.090280056,0.7629771,0.07364178,0.74633884
AQWan,PRES,31764,33236,0.9321157683395302,-0.0192969566262931,1.7710605,1.3514915,1.9013896,1.4818206
AQWan,PM2.5,30228,32020,0.9318313201506498,0.1258194028764211,1.09445,0.7903094,1.1320076,0.82786703
AQWan,CO,31700,34388,0.9308393354981436,0.0387497318164313,0.60842943,1.2350049,1.0103164,1.6368918
AQWan,SO2,33172,33492,0.9307086827693644,-0.3187334557532615,1.1670198,2.263269,1.1470087,2.2432578
AQWan,DEWP,29780,33364,0.9285108914947778,-0.3112007279538165,2.156179,1.6850123,2.2111096,1.739943
AQWan,O3,31956,32532,0.9278701880750476,0.265205143139551,0.110625744,0.03286457,0.15629077,0.012800455
AQWan,TEMP,29780,32276,0.9278517940996892,0.2060357045116535,0.85331583,0.62702703,0.79483604,0.56854725
AQWan,TEMP,33556,34132,0.9272299471759812,0.2509105932072992,0.8403952,0.39428926,0.71975803,0.27365208
AQWan,PM2.5,29716,31700,0.9269785736404548,-0.0651178868011091,2.816819,2.43314,2.825388,2.441709
AQWan,PRES,33748,33876,0.9267400695284508,-0.1329023383677542,0.83334446,1.221242,0.95826006,1.3461576
AQWan,SO2,29140,30868,0.9250672600037696,-0.0080564228134728,1.8920145,1.1829696,1.9274132,1.2183683
AQWan,DEWP,31636,32340,0.924149217037484,0.0306232104951861,1.924336,2.8968725,2.177967,3.1505036
AQWan,NO2,32340,32724,0.921724029083592,0.2011373846067355,0.12404442,0.7810087,0.5233891,1.4284422
AQWan,PM2.5,33620,34708,0.9216520980811892,-0.1313529050111103,0.79414105,2.086024,0.927156,2.219039
AQWan,DEWP,29524,33556,0.920795975175134,0.1252611473093199,1.363245,0.18261814,1.4856148,0.3049879
AQWan,DEWP,31316,31572,0.9206912128689512,-0.0343787353129181,3.6861193,3.3395307,3.597872,3.2512834
AQWan,PM2.5,29460,29652,0.9205456582751198,0.2683401210491989,2.3209457,1.7734985,2.4155192,1.868072
AQWan,PRES,29460,33044,0.9201705879473286,0.0896522572150025,0.6720753,1.9532933,0.84171295,2.122931
AQWan,O3,31828,32212,0.9198188112339584,0.1034023799946098,0.31606698,0.9700644,0.5311637,0.7549677
AQWan,PM10,29140,33108,0.9191677857845324,-0.1206217797569458,1.2682314,1.696713,1.3726084,1.80109
AQWan,PM2.5,28180,34388,0.9176929803825624,0.1639603786311486,1.0374703,1.689281,1.0510426,1.7028532
AQWan,TEMP,28692,32916,0.9173670004877524,0.2379497720971227,0.9247124,0.24676609,0.76112294,0.08317661
AQWan,TEMP,28372,30100,0.9161810251291932,0.1837230419563501,0.030500412,0.11028981,0.048690557,0.12847996
AQWan,PM10,31380,32724,0.915813255864461,-0.0468880530109337,1.2679646,1.3362539,1.6102953,1.6785846
AQWan,O3,31764,34644,0.9148925549197624,0.2640867781922785,0.10159612,0.6318588,0.1653893,0.695652
AQWan,WSPM,31956,32340,0.9143532364497664,-0.0662537484033157,0.08055925,0.28725386,0.009196281,0.3770094
AQWan,TEMP,28884,29844,0.9143440438583236,0.2474346309850967,0.028643847,0.19391108,0.06832743,0.29088235
AQWan,PM10,34196,34772,0.9141573885218056,0.0945151872749458,0.7669716,0.28393316,0.8291745,0.3461361
AQWan,SO2,28116,34324,0.9126758603651304,0.2845919707213817,1.0897031,0.24566126,1.3668532,0.031488895
AQWan,PRES,31188,31828,0.9121841180992284,-0.3768352446853636,1.9116113,1.9187582,2.0595522,2.066699
AQWan,NO2,29908,30740,0.9121315454961724,0.1610527436299267,1.1452122,0.27422285,1.2584474,0.3874581
AQWan,PM2.5,32724,34196,0.9113358720494714,0.2827763352849072,0.39285946,0.6878333,0.5804806,0.8754544
AQWan,DEWP,29076,29268,0.9109540885252332,0.1110046661402109,2.7015867,4.7228193,2.8341875,4.85542
AQWan,RAIN,28052,30356,0.9105255925055684,-0.0048044593597688,0.0019574165,0.30568314,0.081343174,0.3850689
AQWan,PM10,33620,34708,0.9103885436627946,-0.0045415789361522,0.33277607,1.3450489,0.18677664,1.1990495
AQWan,DEWP,28756,31700,0.9095815579612484,0.0185684303082758,1.6903508,2.6192029,1.4604263,2.3892784
AQWan,DEWP,31252,33236,0.9092615670738994,-0.113095909872625,3.4415915,1.4606225,3.2853758,1.3044069
AQWan,CO,29140,33108,0.9088993827822062,0.0243396392272835,0.87061214,0.3625927,1.0760231,0.56800365
AQWan,NO2,28628,32980,0.9079029790160184,-0.2059940769746153,1.2031767,1.3227508,1.0266309,1.146205
AQWan,PRES,34260,34388,0.907687197763006,0.2885931220207945,1.9419463,2.8278172,1.6775103,2.5633812
AQWan,CO,31956,34580,0.907325891544666,-0.076270989142512,1.0822372,1.4116993,0.85514927,1.1846113
AQWan,DEWP,28820,34324,0.9073170011567282,-0.1007727662392077,2.4029515,1.8963354,2.3234572,1.8168411
AQWan,O3,28884,31188,0.9073126745241936,0.1927224641994137,0.024713755,0.23782802,0.11570668,0.14683509
AQWan,DEWP,28628,29844,0.9072489575502964,0.1016990475078768,3.1176336,3.5270288,2.9726632,3.3820584
AQWan,PM10,29460,29652,0.9065469186132348,0.1064181690414057,2.0334415,1.1205835,2.0798068,1.1669488
AQWan,O3,32852,33364,0.9060081750031712,0.219088924356411,0.21604776,0.13875198,0.15529013,0.07799435
AQWan,CO,32788,32980,0.9055989099714756,-0.0083112739767289,1.0520082,0.07502937,1.1900034,0.21302462
AQWan,CO,32852,33364,0.90555884057875,0.2183769238790216,3.1760416,0.88989425,3.0470114,0.760864
