dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.31530666,0.9258814,0.24762106,0.36295366
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.31530666,0.9258814,0.24762106,0.36295366
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,2.9337819,2.9965007,2.9277067,2.9904256
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,1.1460743,0.6582246,0.9655137,0.477664
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,1.1460743,0.6582246,0.9655137,0.477664
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.2967806,0.2948556,0.28351593,0.28159094
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.2967806,0.2948556,0.28351593,0.28159094
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,1.4079702,0.50571513,1.0180812,0.11582613
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.2642541,0.2594447,0.3491392,0.34432983
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.12229371,0.02364707,0.22942019,0.32806683
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,3.5753345,1.9483778,3.5031843,1.8762276
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.04528308,0.15445113,0.1680541,0.05888605
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,1.1925714,0.5767081,0.84275246,0.22688913
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.8572974,0.96990013,0.59801006,0.7106128
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.7387738,0.8871584,0.24361515,0.39199972
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.3942485,0.14546013,0.4730754,0.22428703
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,1.5176961,1.803354,0.98915005,1.2748079
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.79116035,1.3242009,1.0134108,1.5464513
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.23214102,0.025557041,0.32344055,0.116856575
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.23214102,0.025557041,0.32344055,0.116856575
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.14690208,0.28146744,0.02965498,0.16422033
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.14690208,0.28146744,0.02965498,0.16422033
CzeLan,CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724,1.1472368,2.464993,1.3944738,2.71223
CzeLan,ta,18380,19660,0.9963098597362108,-0.0329389724092921,1.9806423,3.3230462,1.8081381,3.150542
CzeLan,vpd,16076,18956,0.9962962529047882,-0.0523051669855552,1.3324974,1.768162,0.9107232,1.3463879
CzeLan,swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961,0.71554637,0.2594328,0.33222437,0.12388921
CzeLan,CZE_LAN_Cbe_Jt_16,17804,18124,0.9960207056205304,0.2433423519379049,3.1613634,2.2548225,3.381773,2.4752321
CzeLan,sw_in,18700,19276,0.9960051522096266,0.1416082433007063,0.08354473,0.14742136,0.07530928,0.011432648
