dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm2,OT,54016,56320,0.9989138113646686,0.2012196711767137,0.65080214,0.32254648,0.61530447,0.28704882
ETTm2,LULL,54144,56960,0.998516713865728,0.2364601125725998,2.3615155,2.0425158,2.4780955,2.1590958
ETTm2,OT,50368,56512,0.9980042248633644,0.2934542110298186,1.9608309,1.0292552,1.967325,1.0357492
ETTm2,OT,47488,47872,0.997415845073283,0.1586899847525221,1.96452,1.6358309,1.9595375,1.6308484
ETTm2,OT,49984,53632,0.996789006758549,0.1844959390002493,0.8932109,0.55967855,0.4454565,0.11192417
ETTm2,OT,48000,53568,0.9960156518426004,0.2030293011886217,1.5826728,1.337321,1.5833478,1.337996
ETTm2,OT,52864,54976,0.995918619560946,0.1986393601054941,3.9411514,3.1596854,3.797562,3.0160959
ETTm2,OT,50496,52416,0.9958030392516988,0.2753552297203792,1.7103987,4.1166735,1.7485449,4.1548195
ETTm2,OT,51904,56704,0.9952838470584174,0.1895493485715718,0.8404269,0.3074355,0.7624974,0.22950602
ETTm2,OT,47296,53824,0.9944151759820952,0.2319127252535049,1.473351,0.20777225,1.6140833,0.34850454
ETTm2,MUFL,50304,54720,0.9922728510174276,0.2652081367073156,1.272507,0.8397374,0.5952811,0.16251159
ETTm2,OT,54592,57536,0.9914831133153776,-0.0551033547253773,2.8559306,2.132683,2.8023407,2.0790932
ETTm2,LULL,51392,52928,0.99135580413269,0.2465730681292814,4.01554,3.5675652,3.941093,3.4931178
ETTm2,OT,49664,54464,0.9906011761905568,0.2102734169683665,1.8486447,1.6660099,2.271504,2.088869
ETTm2,MUFL,52864,54400,0.9905993503534756,0.007626730939294,0.7176633,0.85243034,0.6125307,0.74729776
ETTm2,OT,47424,50688,0.9899296104109994,0.2875389537147937,0.54550314,0.006784916,0.52146864,0.030819416
ETTm2,OT,49728,53376,0.9897491043980304,0.2669561102993336,1.2313404,1.470417,1.7352083,1.9742849
ETTm2,MUFL,54976,56512,0.9895069503307916,0.0943653710791152,0.17860222,0.7877979,0.19778872,1.1641889
ETTm2,OT,46272,50304,0.9891230170320386,0.1850754831869936,2.1529968,0.45781255,2.1653042,0.47011995
ETTm2,OT,50880,56256,0.9886463575404514,0.133800853985501,0.43742514,0.09418821,0.5864749,0.24323797
ETTm2,OT,50176,57088,0.9881487983894652,0.1763725749765472,1.8964708,2.5473964,1.9018254,2.552751
ETTm2,OT,47104,49600,0.9879779580946936,-0.0700375036153363,1.0592966,1.9581661,0.7581825,1.657052
ETTm2,HUFL,52864,54592,0.9876388203068496,-0.0848527382636655,0.78571796,0.47281885,0.83713484,0.5242357
ETTm2,OT,55104,56448,0.9876242257007308,0.2145978920137469,2.0239623,2.5903494,2.1141248,2.680512
ETTm2,OT,48064,49216,0.9874195663739964,0.1608698361994549,3.0882916,1.337451,3.296913,1.5460722
ETTm2,OT,49408,56896,0.9856316224791996,0.2898309323473735,1.8804741,0.9773078,1.9529452,1.0497789
ETTm2,OT,52800,53952,0.9854673051301596,0.115503811125216,1.7632098,0.4356761,1.8866048,0.55907106
ETTm2,HULL,55552,55936,0.9848265852437018,-0.1728787115308072,1.849009,1.3091793,1.9632542,1.4234245
ETTm2,HUFL,54784,56896,0.9846712483829748,-0.1608277527150354,1.6597497,1.8566978,2.1189423,2.3158903
ETTm2,MUFL,48832,51136,0.9846359305882972,0.2249639397324668,0.92671347,0.65338135,0.8039255,0.5305934
ETTm2,HUFL,48832,51136,0.983958183282212,0.1480065327061083,0.5113683,0.668344,0.73192835,0.8889041
ETTm2,LULL,46208,47360,0.9837004969310292,-0.3218476309632795,1.297502,0.52502346,1.122746,0.3502674
ETTm2,MUFL,50368,54208,0.9836732024827376,0.1990247399402826,1.8043387,2.314739,1.8940303,2.4044306
ETTm2,OT,48576,54720,0.98360397091837,0.2231179171141428,0.8544769,0.9143152,1.2933879,1.3532262
ETTm2,OT,49472,49856,0.9827238162157632,0.238323547495339,2.7821598,2.8389206,2.533948,2.5907087
ETTm2,HUFL,50560,54400,0.982326179579153,0.0495038784779204,1.9239447,3.04265,1.7664723,2.8851776
ETTm2,OT,48448,50944,0.9819485199414144,0.2252199341894923,1.577364,0.8981991,1.8119683,1.1328034
ETTm2,MUFL,51072,52992,0.9817906270554938,0.2366256137587951,2.2288258,2.0345714,2.2445915,2.050337
ETTm2,OT,55168,55936,0.9814294823733576,0.2276914702818389,1.7489276,1.4077592,1.9373262,1.5961578
ETTm2,HUFL,50688,54720,0.9811558127992034,0.2535248891670172,3.9020863,2.5788972,3.7611508,2.437962
ETTm2,HUFL,46912,51712,0.9811327692498066,-0.0266075823489912,2.6192753,2.1649616,2.565294,2.1109803
ETTm2,OT,47680,52288,0.9808622788936538,0.2839828295426726,1.8433809,1.3334112,1.6345165,1.1245468
ETTm2,MUFL,56320,56896,0.9802647605663908,0.0517802623679559,0.36714792,0.8157697,0.45486546,0.9034872
ETTm2,MUFL,49728,50688,0.9802538825042336,0.1968398534472287,0.19804382,0.7421341,0.085886955,0.6299772
ETTm2,OT,52544,55360,0.980064310919064,0.130988321559615,1.6047902,0.5261421,1.7641301,0.685482
ETTm2,MUFL,55360,56704,0.9795064682545848,0.0695711474420458,0.43205643,0.4138708,0.7468915,0.7287059
ETTm2,OT,54784,55552,0.9793024944079644,0.0657995332234227,2.4828558,1.0028291,2.5089235,1.0288968
ETTm2,HUFL,51072,52800,0.9792150139076552,0.2462592223859784,1.9356062,1.8600204,1.8442211,1.7686353
ETTm2,HULL,50560,51136,0.9781155457625916,-0.0256810886380548,2.3488324,2.3397963,2.353356,2.3443198
ETTm2,MUFL,53824,54016,0.9777333480972152,0.080084540262013,2.0805492,2.9835224,2.0216365,2.9246097
ETTm2,MUFL,50560,54592,0.9770005656996348,0.0043824674950056,1.5222535,0.99612856,1.3601685,0.8340435
ETTm2,HUFL,54976,56512,0.9767064191028948,-0.0838969816219772,1.1502395,1.0318022,1.3443892,1.2259519
ETTm2,OT,47808,53184,0.9765650794167272,0.2804958122895739,1.922322,1.5459597,1.6849327,1.3085704
ETTm2,MUFL,53952,55296,0.9764375488256144,0.0535636035575093,1.5553632,1.1389256,1.6170921,1.2006545
ETTm2,HUFL,51328,55552,0.975005532214713,0.2519121232902132,0.9173336,0.5836201,1.0729022,0.7391887
ETTm2,OT,48832,54400,0.9749094140538038,0.0301902865196125,1.4006801,1.0136151,1.6312265,1.2441616
ETTm2,LUFL,46592,51584,0.974672895781182,-0.0712512340318307,0.9971733,1.0944929,0.24047947,0.33779907
