dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,3.7681413,2.8492546,3.6821904,2.7633038
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,3.8645725,3.5726604,3.9531841,3.661272
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.00014352798,1.0624356,0.22852802,1.2908201
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.9086633,0.5009222,0.69301605,0.28527498
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.08489275,0.22822618,0.060156345,0.20348978
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,2.8172324,3.126984,2.761096,3.0708475
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.17912483,0.5468807,0.5211215,0.8888774
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,1.9197423,2.9595087,2.0855534,3.1253197
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,2.3784208,2.6252031,2.4427557,2.689538
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,2.5080733,3.9749746,2.6670995,4.134001
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,1.4518042,3.0217705,1.5522723,3.1222386
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,2.2398534,2.076501,2.3051238,2.1417713
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,2.200182,4.2414994,2.082186,4.1235037
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,2.4233575,2.8894768,2.5106173,2.9767365
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.63064766,1.5900326,0.908551,1.8679359
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,2.7824624,4.0970106,2.7802408,4.0947895
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,2.3384972,1.9979968,2.084846,1.7443457
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,1.5076623,2.3130445,1.526629,2.3320112
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,1.9395676,3.2357655,1.8086545,3.1048524
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,2.2275107,2.3707569,2.3703337,2.5135798
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.2089014,0.2786064,0.38808346,0.45778847
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,1.7780042,1.8485241,1.6642749,1.7347949
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,4.272175,3.1985247,4.211155,3.1375048
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,3.92867,3.532875,3.8317,3.4359052
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,4.0164714,2.4273596,3.912332,2.3232203
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.7495074,0.7832794,0.878767,0.912539
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.46419382,1.1494203,0.32354832,1.0087748
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.6298909,0.164392,1.0110393,0.54554033
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,1.5363934,1.5765202,1.5136034,1.5537302
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.3650489,1.1232467,0.3952875,1.1534853
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,2.0948637,2.1528094,2.26338,2.3213258
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.5691645,4.084547,0.43699527,3.952378
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,3.8259318,2.7450306,3.833696,2.7527947
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,4.229578,4.0874977,4.2063823,4.064302
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,1.8061593,0.9705217,1.6123633,0.77672577
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,1.669729,2.4273198,1.9807756,2.7383664
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.72149086,1.438169,0.4437313,1.1604095
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,1.3203576,1.4384768,1.5093689,1.6274881
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,3.135405,2.708959,3.1715384,2.7450924
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,1.4712319,1.7982502,1.2119155,1.5389338
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,2.4532552,2.9680662,2.4943566,3.0091677
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,3.2307622,1.986767,3.1717246,1.9277294
