dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTh1,HULL,12864,13056,0.959037641821233,0.2237634618738912,0.23016143,0.5461559,0.21998143,0.53597593
ETTh1,OT,13056,13824,0.9426761864127728,0.1436291034175758,2.3793287,2.1342516,2.0185986,1.7735214
ETTh1,HULL,12288,12480,0.935269074657346,0.2673239575812737,0.23067307,0.14033341,0.14348531,0.053145647
ETTh1,OT,12032,12352,0.9298092508129354,-0.0485925852744507,1.2345157,0.99438095,0.6810794,0.44094467
ETTh1,MULL,12864,13056,0.922860945154761,0.2361467657994069,0.022084475,0.21457982,0.03372264,0.27038693
ETTh1,MULL,12160,12544,0.9220085746625858,0.2031108849218866,0.49389076,0.0013537407,0.46335983,0.029177189
ETTh1,MUFL,12352,14336,0.9180700492251204,0.2360249742747449,0.583792,0.08072841,0.717957,0.053436637
ETTh1,MULL,11968,14336,0.9153408514350512,-0.0364875687835225,0.041772842,0.9498725,0.047504425,0.9441409
ETTh1,LULL,11904,13248,0.913440683597972,0.0948054579289701,0.54371023,0.034934044,1.1738117,0.6650355
ETTh1,HUFL,12352,14336,0.9102818593969182,0.1994834764370003,0.5548818,0.18838751,0.67833984,0.064929485
ETTh1,MULL,12352,13312,0.9062201900764724,0.2187420809590237,0.19429493,0.4655435,0.19851446,0.46132398
ETTh1,LULL,12288,12672,0.9019374196701532,0.2885559988525516,0.8456631,0.44452095,1.0234609,0.62231874
ETTh1,LULL,11840,13760,0.8952147485611228,0.124829749116463,0.26052094,0.0064878464,0.45649433,0.18948555
ETTh1,MULL,12032,13184,0.8935518450834815,0.2910647830771676,0.09883785,0.3274169,0.19676638,0.22948837
ETTh1,HULL,11968,14336,0.8861122018558761,-0.0938538112760696,0.288872,0.2998445,0.40134406,0.41231656
ETTh1,HULL,12160,12544,0.8790715318912513,0.2311966607821612,0.18529296,0.27626348,0.06608176,0.024888754
ETTh1,MUFL,12160,12544,0.8770018297996932,0.240749934110751,0.51550794,0.31640148,0.6174693,0.2144401
ETTh1,OT,12288,12480,0.8766234930449524,0.2332626004910761,0.08158636,0.04582882,0.3132143,0.27745676
ETTh1,MULL,12288,12672,0.8648718696997232,0.1725654273508581,0.39475155,0.3979416,0.17121434,0.17440438
ETTh1,OT,12096,12672,0.8625317445527627,-0.0279755504999184,1.7184954,1.5781446,2.0617952,1.9214444
ETTh1,OT,12224,12800,0.8577614901673843,0.2579300518785212,0.38574457,0.43034744,0.49101257,0.53561544
ETTh1,OT,11968,12544,0.8551246580790225,0.0818084157555757,0.41428852,0.005949497,0.7501769,0.34183788
ETTh1,LULL,12608,13184,0.8463099216887117,0.1140305595649016,1.0534072,0.57093,1.3575952,0.875118
