dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.17040849,0.011210918,0.15126872,0.007928848
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,1.1030943,3.0957286,1.2568212,3.2494555
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.49525738,0.03732252,0.13578916,0.39679074
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.22724295,0.024202347,0.10118723,0.15025806
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.42528677,0.19920206,0.3149104,0.30957842
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.16528225,0.69901586,0.22495842,0.3087752
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.026780605,0.06697416,0.09929371,0.0055389404
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.6377709,0.66061234,0.85485315,0.8776946
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.10270071,0.033844948,0.015064478,0.08392024
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.06362915,1.0940704,0.105679035,1.0520205
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.19992208,0.23860645,0.117724895,0.32080364
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.040994167,0.23069096,0.15950274,0.11218238
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.39813447,0.24644709,0.031205654,0.12048173
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.7961292,0.31817532,0.8390932,0.27521133
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.637872,0.1360693,0.28129292,0.22050977
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.04524827,0.029387474,0.043248415,0.03138733
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.35852504,0.10844016,0.2695253,0.19743991
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.120726824,0.10693169,0.15899134,0.17278647
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.108845234,0.12989211,0.027479887,0.00643301
electricity,87,22132,24820,0.9771813802303676,0.2819731502307036,0.23720431,0.13941765,0.18608332,0.19053864
electricity,25,21300,23988,0.9770760018754174,0.1435904230314218,0.08289051,0.171242,0.07356477,0.16191626
electricity,9,24180,25716,0.9768741478004268,0.1892141748258888,0.56519556,0.037307024,0.29463124,0.2332573
electricity,103,23284,25972,0.976151222259024,0.2256131401877322,0.571393,0.2028482,0.40735054,0.36689067
electricity,275,22708,23476,0.9751037137668098,0.1743738223684481,0.029455662,0.019269705,0.022001028,0.026724339
electricity,9,21300,23988,0.974787817411335,0.245271811435902,0.20601892,0.046666384,0.005617857,0.24706745
electricity,168,23412,24948,0.9746055922689454,0.2928948213068644,0.036593914,0.32591224,0.10793638,0.25456977
electricity,151,24308,25460,0.9743439948987668,0.2976929175346995,0.1380024,0.24243546,0.15375113,0.22668672
electricity,287,21812,24116,0.974199640783685,0.2541001244179625,0.54018927,0.2842741,0.62997293,0.19449043
electricity,287,22900,25396,0.9741739604748818,0.2818462370875482,0.31495452,0.31068635,0.20968127,0.4159596
electricity,66,23732,25076,0.9740633897886318,0.2729040949321039,0.20942366,0.14746594,0.1604377,0.1964519
electricity,174,24692,26036,0.9736141212246452,0.2735235681344113,0.008842468,0.030354023,0.039237022,4.053116e-05
electricity,129,22836,25524,0.9735306478748224,0.1172573691513469,0.3209381,0.06857395,0.017997503,0.23436666
electricity,95,21364,25780,0.9728913168334292,0.29188283134466,0.078183174,0.028232336,0.060672283,0.045743227
electricity,103,21876,24756,0.972593432924617,0.2605609325878583,0.05962205,0.22244716,0.14192748,0.020897627
electricity,119,22132,25396,0.9718686214994868,0.2709462298199571,0.6312802,0.9394345,0.51323485,0.8213892
electricity,317,23412,25140,0.9718677841483204,0.2969591712374023,0.07158136,0.7778027,0.35260773,0.35361362
electricity,129,23348,24692,0.9717127598761992,0.0207728745242148,0.006991148,0.32579517,0.1181345,0.21465182
electricity,184,23540,24692,0.9712640349712444,0.2517425122739827,0.08776283,0.34096718,0.19896054,0.22976947
electricity,105,21364,25012,0.9708466503832636,0.2970489810128018,0.12592816,0.3563938,0.36943197,0.5998976
electricity,27,21492,22836,0.9706060096660456,0.2575096936576501,0.04926753,0.12305498,0.05179143,0.12053108
electricity,307,21620,25076,0.9705105833494804,0.2031287516387983,0.11615205,0.13398147,0.035160303,0.21497321
electricity,112,23220,25140,0.970486172202232,0.2375939871674715,0.28826475,0.23052144,0.1467557,0.3720305
electricity,87,22068,24948,0.9698598884969668,0.2504737098801857,0.58671856,0.07544017,0.39328957,0.26886916
electricity,133,21172,25204,0.9694088638887356,0.1489337562749722,0.023940802,0.035979986,0.13463616,0.14667535
electricity,99,21300,25332,0.9693993516851356,0.2987567158739466,0.9169054,0.3449366,1.1333163,0.12852573
electricity,184,22644,25908,0.9692900983416748,0.2636018147514014,0.17280483,0.32437778,0.16948724,0.32769537
electricity,300,24948,25140,0.969140517876512,0.1911844479629965,0.04061699,0.051948786,0.038923502,0.053642273
electricity,103,22004,24692,0.9689797892733896,0.2246253001928921,0.20229053,0.17083883,0.29550362,0.07762575
electricity,307,22004,24884,0.968889132310132,0.186807060551802,0.21496987,0.33495784,0.14633489,0.40359282
electricity,18,23092,24628,0.9680413521131368,0.2604505382180785,0.20063901,0.24025059,0.262465,0.1784246
electricity,307,22132,26164,0.9675504762380194,0.2777374593773739,0.30639482,1.068486,0.33637762,1.0385032
electricity,127,24692,26036,0.967422718762227,0.193896138466707,0.017502546,0.17477751,0.24032283,0.08304787
electricity,OT,22324,25012,0.9672782563625164,0.2570776440214177,0.35503697,0.29850245,0.18727255,0.13073802
