dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
ETTh1,main (swap dynamic),34,0.5941689,0.6213371,0.5,0.9059782412368804
ETTh1,control (swap invariant),34,0.6047551,0.608556,0.5294117647058824,0.6853143798653036
ETTm1,main (swap dynamic),496,1.09722,1.2231263,0.42943548387096775,0.00014017319921560847
ETTm1,control (swap invariant),496,1.0952176,1.1840254,0.4475806451612903,0.006283554185162764
electricity,main (swap dynamic),1322,0.36471808,0.36052102,0.48789712556732223,0.6841209506630607
electricity,control (swap invariant),1322,0.36804727,0.3533237,0.5287443267776096,0.022861662858511673
ETTh2,main (swap dynamic),39,0.888617,0.94464046,0.5384615384615384,0.45955750754728797
ETTh2,control (swap invariant),39,0.8627598,0.8986493,0.5384615384615384,0.585392383949511
ETTm2,main (swap dynamic),365,1.4563777,1.4288849,0.5260273972602739,0.2940639028414984
ETTm2,control (swap invariant),365,1.4477171,1.4207076,0.5232876712328767,0.3042155212570079
weather,main (swap dynamic),1236,2.2781913,2.2325573,0.5194174757281553,0.08120164544302601
weather,control (swap invariant),1236,2.2908385,2.2382367,0.5186084142394822,0.043097553365833506
exchange_rate,main (swap dynamic),42,2.6355453,2.5943606,0.5952380952380952,0.5438852990082523
exchange_rate,control (swap invariant),42,2.6968548,2.6616611,0.5476190476190477,0.6380331310333531
traffic,main (swap dynamic),7698,0.17797428,0.23235716,0.3945180566380878,2.2455884773101935e-99
traffic,control (swap invariant),7698,0.21757723,0.19483308,0.5468952974798649,5.382902118076877e-22
solar,main (swap dynamic),6841,0.8956583,0.9646425,0.4597281099254495,5.4631551657158824e-18
solar,control (swap invariant),6841,0.9071529,0.9163401,0.5034351702967402,0.5326997304891259
PEMS08,main (swap dynamic),3614,1.2759553,1.3012818,0.49723298284449363,0.22868837628884675
PEMS08,control (swap invariant),3614,1.2856975,1.308003,0.5113447703375761,0.46918503317575233
AQWan,main (swap dynamic),296,1.140013,1.1294647,0.4831081081081081,0.8963502016132282
AQWan,control (swap invariant),296,1.1492106,1.1276191,0.49324324324324326,0.7176179933670533
Wind,main (swap dynamic),408,1.9177992,1.9755826,0.46568627450980393,0.20737972820848893
Wind,control (swap invariant),408,1.9203521,1.9715031,0.4632352941176471,0.27829166532292104
ZafNoo,main (swap dynamic),81,0.9785976,1.2782335,0.24691358024691357,5.515177870027955e-05
ZafNoo,control (swap invariant),81,0.9984793,1.2684458,0.30864197530864196,0.0005533028795561857
CzeLan,main (swap dynamic),242,1.1279583,1.1253532,0.48760330578512395,0.9309199427068475
CzeLan,control (swap invariant),242,1.0809188,1.0723952,0.48760330578512395,0.9586649386008391
Combined,main (swap dynamic),22714,0.7977475,0.8425668,0.4492823809104517,6.209771417866089e-52
Combined,control (swap invariant),22714,0.8167007,0.81460595,0.519283261424672,0.00011059456033516911
