dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.12396312,0.07627058,0.26815343,0.06791973
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.028699398,0.024649143,0.025048256,0.028300285
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,3.0322216,0.18226385,2.8090827,0.40540266
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.15727544,0.051330328,0.2121973,0.0035915375
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.0011446476,0.101794004,0.079149485,0.021499872
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.015906334,0.02653718,0.023267746,0.019175768
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.08148527,0.040323257,0.06385088,0.10501289
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.1918428,0.13681722,0.3275969,0.0010631084
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.017432213,0.0026118755,0.02440691,0.0043628216
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.07679582,0.08719444,0.09670353,0.06728673
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.0045325756,0.03371191,0.050949097,0.021769762
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.1423161,0.22913504,0.26550865,0.10594249
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.13320637,0.017717838,0.024770498,0.12615371
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.09666443,0.13609076,0.08284044,0.14991474
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.22142649,0.17994714,0.23779511,0.16357851
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.06948233,0.014643908,0.064831495,0.019294739
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.06597805,0.10492563,0.12671399,0.08776641
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.01800251,0.039381027,0.033416748,0.012038231
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.14466834,0.0144741535,0.14885402,0.01865983
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.04243231,0.09927201,0.107308626,0.034395695
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.41225576,0.1225245,0.44385004,0.15411878
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.0026814938,0.26502776,0.1582725,0.10943675
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.070991516,0.052606344,0.0494864,0.07411146
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.0049934387,0.21513557,0.18892026,0.031208754
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.16628456,0.27247953,0.32078815,0.11797595
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.15663552,0.03652072,0.085007906,0.10814834
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.052975416,0.28254676,0.20245719,0.13306499
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.01646781,0.09599829,0.22363114,0.11116505
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.1694808,0.25720406,0.015298605,0.10302186
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.08145857,0.10995364,0.06767273,0.12373948
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.15867925,0.0007174015,0.121549845,0.036412
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.15508151,0.017440557,0.00012588501,0.17239618
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.023040533,0.06949973,0.037840843,0.008618355
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.008096933,0.11240363,0.10552406,0.014976501
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.20781446,0.1513567,0.14166808,0.08521032
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.12890029,1.3629928,0.015221119,1.5071142
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.24803519,0.11256099,0.052611828,0.30798435
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.2693243,1.4067128,0.07855296,1.5974841
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.16549134,0.3138237,0.25145745,0.22785759
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.040343523,0.0930047,0.103450775,0.029897451
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.018407106,0.06712675,0.078056335,0.02933669
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.093839884,0.13968587,0.15780354,0.07572222
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.04689932,0.015071154,0.07103467,0.009064198
traffic,258,14932,17428,0.9778659229587296,0.1691365532359658,0.08975983,0.017458916,0.05312395,0.05409479
traffic,735,14676,16980,0.9776803718625644,0.1827096946253664,0.06776452,0.14236951,0.18850422,0.02162981
traffic,388,14484,17172,0.9775714336716153,0.252082550682929,0.029634237,0.057891846,0.08873987,0.001213789
traffic,778,14484,16980,0.9775444431403624,0.2712938516177978,0.24869704,0.18921566,0.2875502,0.15036249
traffic,678,14100,16404,0.9775079879984384,0.1914561522659587,0.11213684,0.09031725,0.044566393,0.1578877
traffic,530,15892,17044,0.977259567416987,0.2632899177253436,0.008979559,0.5214176,0.19266605,0.319772
traffic,159,14292,14676,0.9772534637350684,0.2437056618503599,0.037676096,0.30325747,0.13457227,0.1310091
traffic,587,16148,17300,0.9772340014867013,0.1205345762627256,0.15943766,0.16818547,0.14010143,0.1875217
traffic,730,14228,16724,0.9770348939664628,0.2241250858491195,0.183362,0.00049066544,0.17005515,0.013797522
traffic,709,15956,16148,0.9769691260787882,0.0722644970412188,0.25461888,0.3024757,0.22552323,0.33157134
traffic,530,15124,17428,0.9768338356424068,0.2520968033786342,0.0713284,0.24738717,0.09381342,0.08224535
traffic,836,14932,15892,0.9767898825514226,0.2475570861803919,0.030741453,0.38429165,0.16084218,0.25419092
traffic,748,14548,14740,0.976755718623386,-0.21732384086556,0.017116308,0.022970915,0.03677225,0.003314972
traffic,764,14676,16596,0.9767292365632928,0.2642973772550796,0.09434843,0.31931305,0.41264248,0.001019001
traffic,575,16660,17236,0.9765241449757788,0.2636443598927835,0.26142907,0.20358181,0.42245626,0.042554617
traffic,740,14100,15060,0.9763929577023972,0.226561503215401,0.00079369545,0.02006197,0.033294916,0.014026642
traffic,494,14164,16852,0.9762666563483948,0.1729598157631492,0.04306388,0.31097913,0.25429463,0.09974837
traffic,747,14868,15444,0.9761856534378368,0.2434809169171083,0.67777896,0.28568244,0.82001567,0.14344573
traffic,530,15060,15636,0.9761719197163704,0.179433835268088,0.01565528,0.05148554,0.01372695,0.02210331
traffic,8,15060,16788,0.9759690665207168,0.175012579761023,0.031559706,0.18758869,0.058457375,0.16069102
traffic,247,15828,16980,0.9758272279772984,0.0991797053533334,0.020784616,0.11488891,0.16112447,0.06702018
traffic,77,14484,17172,0.975712940810289,0.0528882867945198,0.08181739,0.08171797,0.015144825,0.17868018
traffic,530,15252,16020,0.9754389799347932,0.1706453505291211,0.026686907,0.34681845,0.22041512,0.15309024
traffic,304,14228,15380,0.9753135158991943,-0.0147453110903778,0.097920656,0.28080106,0.15836954,0.22035217
traffic,51,16724,17108,0.9751693715976028,0.2524000919468722,0.056886196,0.014906168,0.059269905,0.017289877
traffic,735,14100,15060,0.974809520228559,0.2252760452894124,0.056219578,0.0026946068,0.024649143,0.078174114
traffic,456,15508,16852,0.9747127891607004,0.1331485488320324,0.011077166,0.11819458,0.16087127,0.03159952
traffic,769,14804,17300,0.9746299405472344,0.1342057131679142,0.08206153,0.00664711,0.06672263,0.021986008
traffic,678,15764,16724,0.9743099400230638,0.2043687617227606,0.075683355,0.0030388832,0.08347106,0.0047488213
traffic,572,14612,14804,0.974055631082598,0.284211416360993,0.22292686,0.35858107,0.19640231,0.3851056
traffic,15,14292,16788,0.974028621061858,0.1963594714470967,0.038333893,0.0019607544,0.05337715,0.013082504
traffic,207,14228,16724,0.9738602866193964,-0.0405522791434576,0.1383183,0.06621432,0.016020775,0.056083202
traffic,59,14804,16148,0.9738527139240428,0.296412435565307,0.067546606,0.088026285,0.06634402,0.08922887
traffic,173,14996,15188,0.9738406576559756,0.2510967247081793,0.032179356,0.045903444,0.07362747,0.004455328
traffic,431,14100,16404,0.9737981942974396,-0.0056410058459006,0.07139158,0.18050241,0.18041301,0.071302176
traffic,612,14676,15828,0.9737093371814168,0.1968558086814638,0.19555998,0.42008495,0.26054764,0.3550973
traffic,239,14292,14676,0.973645740859448,0.1086342384562513,0.039213657,0.47547865,0.05936122,0.37690377
traffic,730,14868,16788,0.9736012392336496,0.2481688731012883,0.020828009,0.08613682,0.15614033,0.0491755
traffic,13,15380,15572,0.9733199258124144,0.2290040185417538,0.100278616,0.031819105,0.0088403225,0.1232574
traffic,301,14676,15636,0.9733104538970888,0.2678092605432201,0.41652322,0.055027485,0.51110244,0.039551735
traffic,515,14932,17428,0.9732883330765248,0.287726602070209,0.22505426,0.14767075,0.23161244,0.14111257
traffic,685,14612,16148,0.973144468960686,0.2081851475525129,0.53033805,0.6306927,0.3105991,0.8504317
traffic,162,14932,17428,0.9731390066787045,0.2666588940469056,0.01149106,0.1859281,0.16902852,0.028390646
traffic,232,16660,17236,0.9730490385251742,0.2066508952435886,0.20968723,0.34460938,0.43094194,0.12335467
traffic,539,14292,15828,0.9729473273699007,0.2225381707497767,0.047577143,0.3102038,0.16427398,0.09835267
traffic,65,15380,16724,0.9728863319220226,0.2725506608441687,0.12006211,0.028517962,0.073149204,0.07543087
traffic,681,15316,16468,0.972798478757359,0.2774789209868914,0.08891249,0.23905277,0.3423953,0.014430046
traffic,626,14228,15764,0.972769039554528,0.2501297108253985,0.17786193,0.16625571,0.24390078,0.100216866
traffic,126,16660,17236,0.9726777804283226,0.2523980458874296,0.038864613,1.1043975,0.52671576,0.53881717
traffic,208,14996,16340,0.9726059099931542,0.1582137888750196,0.0068113804,0.023121357,0.0016379356,0.028294802
traffic,415,14676,15636,0.9724343408329048,0.2699876296128071,0.3356235,0.074615,0.4063244,0.003914118
traffic,379,14292,16596,0.9722795906088836,0.1638154807594541,0.17863345,0.22276235,0.19465256,0.15052366
traffic,214,14420,15572,0.9722765460223564,0.2605097047329421,0.08083391,0.018594265,0.044135332,0.055292845
traffic,356,14484,16980,0.9721923897807032,0.2317981398148541,0.13830638,0.33209658,0.20137215,0.2690308
traffic,799,14484,15636,0.9721505179685064,0.2500374791578981,0.13389897,0.07750988,0.14914036,0.062268496
traffic,708,14676,16404,0.9721180460515148,0.2688885715153541,0.12718606,0.122297764,0.40993476,0.16045094
traffic,836,14868,15444,0.9720686669561226,0.0413158444844211,0.09118533,0.11774802,0.071320534,0.13761282
traffic,317,14548,14932,0.9720160661917612,0.2211242258163767,0.012847424,0.3726766,0.08581591,0.27401328
traffic,189,15508,16852,0.9720073947271732,0.2405625635269356,0.056279898,0.054780483,0.07728195,0.07878137
traffic,682,15316,16468,0.9719470278165904,0.2491766528931543,0.0040175915,0.1237669,0.14435625,0.024606943
traffic,407,15124,17428,0.9717714036640522,0.2946726061182019,0.13834,0.050268173,0.037448645,0.05062318
traffic,407,14676,15828,0.9717047178297368,0.2547747767061742,0.2307105,0.2919464,0.0724988,0.5951557
traffic,530,15828,17172,0.9716782781433656,0.2455993342896784,0.19293046,0.0734272,0.43086314,0.31135988
traffic,460,14484,17172,0.971528100800289,0.2970383302100096,0.09925532,0.12060857,0.12284684,0.34271073
traffic,151,15252,16404,0.9713850222492192,0.1302633483529894,0.07873726,0.050845385,0.04498601,0.072877884
traffic,747,14228,16916,0.971361067916183,0.2353082994657601,0.05172801,0.18771482,0.04298401,0.093002796
traffic,55,15124,16468,0.9711616895527518,0.2528361440761538,0.05548048,4.196167e-05,0.01264286,0.042795658
traffic,716,14356,16084,0.9711269982502756,0.2393245974296927,0.012411594,0.03381467,0.024335146,0.021891117
traffic,2,15444,16788,0.9710768269459112,0.2798149688183447,0.044703722,0.008101463,0.021611214,0.031193972
traffic,368,16788,17364,0.9710332807859752,0.2044926651920739,0.052121162,0.19232655,0.107595444,0.03260994
traffic,462,15444,16404,0.9710295982302038,0.2991065753484987,0.2501533,0.08292246,0.018337965,0.3147378
traffic,578,14484,15636,0.9709377332834918,0.2861660816652534,0.17257786,0.14956808,0.28988767,0.032258272
traffic,173,16276,16660,0.9708881511158256,0.2783942733525445,0.05053258,0.27435303,0.18076468,0.14412093
traffic,320,14612,14804,0.9708579382541936,0.228781596246108,0.07086444,0.042622805,0.069279194,0.04420805
traffic,338,14996,16340,0.9706185676958348,0.2874393131432107,0.17859268,0.17306542,0.14079213,0.21086597
traffic,406,14420,16916,0.9705572933722316,0.1741772954419762,0.1044817,0.18235874,0.17170858,0.115131855
traffic,671,14100,14676,0.9705208304093846,0.1903944583939444,0.04590416,0.49118423,0.10047507,0.344805
traffic,472,14676,15636,0.9704263037401936,0.2970416177484664,0.037893772,0.04575038,0.074394226,0.06653762
traffic,79,14484,16596,0.9703842197750344,0.2835150083535414,0.054990053,0.07583213,0.16014051,0.2909627
traffic,388,14932,17428,0.9703590886496024,0.155878555597207,0.052194357,0.07056904,0.04292679,0.024552107
traffic,159,14164,16852,0.9702942156671251,0.17386375661216,0.02837658,0.09936023,0.11505747,0.012679338
traffic,669,14676,16788,0.97017687475905,0.1362338507079858,0.047285557,0.14621186,0.18250465,0.010992765
traffic,266,15828,16980,0.9701700350860888,0.171961503579871,0.3840952,0.11917496,0.08870888,0.41456127
traffic,125,14484,15828,0.970169197800316,0.1033801766641149,0.10671854,0.1979649,0.16073608,0.14394736
traffic,462,14228,16724,0.9701229169146852,0.1972135820874484,0.11669409,0.11272049,0.1376816,0.09173298
traffic,256,14676,15060,0.9701118896033754,0.2398483505234171,0.20895219,0.25882053,0.39438748,0.07338524
traffic,254,14356,17044,0.9700665492554684,0.1771142691369591,0.06280112,0.13351941,0.09694004,0.09938049
traffic,530,14804,16532,0.9700543787387056,0.1795736351362079,0.14413047,0.2812934,0.13495827,0.2904656
traffic,259,14164,16852,0.9700400455291128,0.2080970610526496,0.08910036,0.37828135,0.14329767,0.14588332
traffic,319,16148,17300,0.9699978676787662,0.2615442079708087,0.15672517,0.022262096,0.05735731,0.12162995
traffic,730,14100,16404,0.9699851309107304,0.2598633077622025,0.015587807,0.05634117,0.0021750927,0.038578272
traffic,313,15828,16980,0.9699069467518,-0.1532173485965237,0.07051587,0.17892075,0.2467246,0.0027120113
traffic,789,15956,16916,0.969887495827489,0.2519896879295518,0.09628034,0.53385806,0.21006966,0.42006874
traffic,793,15508,16852,0.9698254093416462,0.2992987185145589,0.030970573,0.4718542,0.18173742,0.32108736
traffic,530,14484,16404,0.9697646158240664,0.1241649272345045,0.10645485,0.19953251,0.09579682,0.21019053
traffic,789,14484,15828,0.9697620402385446,0.2922130646552369,0.02751112,0.19364476,0.08580136,0.08033228
traffic,839,15572,16916,0.9697614286455908,0.298997055528154,0.2804563,0.0931344,0.16612673,0.20746398
traffic,492,14676,17172,0.9697172647757712,0.2215489577398052,0.2678082,0.033571243,0.2271235,0.07425594
traffic,125,14100,16404,0.9696601455122094,0.2227524989076438,0.11655235,0.26891875,0.34670615,0.038764954
traffic,460,14356,17044,0.9696129103161706,0.2603928295247431,0.013650656,0.41209102,0.21668172,0.20905995
traffic,799,14676,16980,0.9694859351877024,0.1562761885866506,0.28027916,0.19536734,0.4535203,0.022126198
traffic,629,14100,16788,0.9694200606699034,0.1197958216708805,0.19979405,0.418329,0.28612447,0.3319986
traffic,510,16468,16852,0.9693977747678428,0.2253929689246032,0.062847614,0.065065384,0.07776713,0.20568013
traffic,224,15252,15636,0.9692946037993144,0.1795553711781785,0.08572197,0.23777318,0.23499823,0.082947016
traffic,290,14228,16724,0.9692086152977922,0.2906417002591677,0.03532195,0.074558735,0.04957843,0.010341644
traffic,713,16148,17300,0.9691526264801206,0.2700605416391038,0.029770851,0.014828205,0.049297094,0.004698038
traffic,65,14484,15636,0.9691286597215274,0.2811656725678954,0.02593255,0.03242874,0.0458436,0.03934741
traffic,569,14676,17364,0.9691215892163284,0.2379307942888198,0.12067485,0.27057123,0.28360462,0.10764146
traffic,524,14036,16916,0.969078132490894,0.2858430571243006,3.1592746,0.21077108,2.929755,0.4402907
traffic,554,15700,17044,0.9690730860706706,0.2783128639620466,0.11097407,0.12439585,0.13181639,0.10355353
traffic,789,14036,16724,0.9689719295190864,0.292288188536396,0.004930496,0.093975544,0.11243439,0.013528347
traffic,359,14100,15828,0.9688647765244132,0.2529069606233204,0.027433872,0.3280406,0.25113773,0.049468994
traffic,110,14484,16980,0.968769508680028,0.1512034594932544,0.15565515,0.21349335,0.3159554,0.053193092
traffic,745,14804,16916,0.9686707429605949,0.2962010741317333,0.16391897,0.1403284,0.1973598,0.10688758
traffic,679,14164,14932,0.9686439153910708,0.2781331083996385,0.18840766,0.14817905,0.18965554,0.14693117
traffic,87,14548,14932,0.9686053584558336,0.1229435897261653,0.028916359,0.04186845,0.04654932,0.05950141
traffic,385,14676,17172,0.9685749216838349,0.1886892038912606,0.072632074,0.19027042,0.14035869,0.12254381
traffic,49,14292,16980,0.968550159637954,0.2673383534144186,0.0048270226,0.09500265,0.06071067,0.039119005
traffic,604,14100,16404,0.968545394903757,0.2435523895580539,0.02382207,0.18930912,0.22386146,0.010730267
traffic,28,14676,15828,0.9685438122662846,0.288394140448416,0.097896814,0.067171335,0.0390594,0.06978488
traffic,530,15956,16916,0.968534899693372,0.2675520260566674,0.10160828,0.14455819,0.10832715,0.13783932
traffic,744,15444,16404,0.9685170759798376,0.2245442627739803,0.09845662,0.24549556,0.13006496,0.21388721
traffic,537,15444,16404,0.9684809594860908,0.280501731759057,0.13647985,0.0741694,0.037085056,0.1735642
traffic,49,14676,16404,0.96843004887634,0.2967743556129045,0.17576885,0.14793062,0.47429252,0.15059304
traffic,554,14164,16852,0.968426593894162,0.1049099729458504,0.23187137,0.114545345,0.133255,0.2131617
traffic,604,14484,15828,0.9683949311167503,0.1048945656375141,0.10659313,0.16429448,0.14035511,0.1305325
traffic,860,14996,16340,0.96825952778844,0.259169470845378,0.17552662,0.13452911,0.09629536,0.21376038
traffic,791,14804,17300,0.9682476721062582,0.1886802540871461,0.22352791,0.029710054,0.004189253,0.1896286
traffic,60,14420,15764,0.9682045828547412,0.2861465320668332,0.012650251,0.028498888,0.015652657,0.025496483
traffic,539,14484,16596,0.9681476502556652,0.0730073709249211,0.028520823,0.48494148,0.5735941,0.06013179
traffic,744,14100,15060,0.9681132479397474,0.2821643954895476,0.08388233,0.019677162,0.042511463,0.06104803
traffic,203,14804,17300,0.968085208694612,0.264228507072467,0.05652523,0.06285906,0.07453227,0.06819844
traffic,313,14420,15764,0.9680244036676832,0.2705900950883735,0.035120964,0.035794258,0.046209812,0.02470541
traffic,476,15828,16980,0.9679915275845484,0.0958961764028078,0.06018114,0.16623831,0.17693853,0.07088137
traffic,468,14676,15636,0.9678763382972392,0.0794051621361754,0.22559738,0.03479314,0.26575494,0.005364418
traffic,789,14868,15444,0.9678330246939394,0.2945257585119535,0.58999205,0.37901092,0.80849624,0.16050673
traffic,713,15444,16404,0.967832382449576,0.263264476140392,0.05327463,0.05601859,0.08645105,0.022842169
traffic,397,15572,17108,0.9678007885167136,0.1904192380950851,0.018530846,0.07203913,0.07796979,0.024461508
traffic,259,15956,16916,0.9677949235639762,0.2740753979943852,0.28585076,0.057033062,0.052496433,0.2903874
traffic,358,15828,17172,0.9677266620413348,0.2967956028336022,0.016776562,0.12713552,0.078457594,0.22236967
