dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
AQWan,PRES,32212,32916,0.9867632186967332,-0.0398712287197428,0.5260439,0.68300676,0.2371211,0.08015823
AQWan,PM10,32084,34964,0.9866429716634352,-0.1114220678151865,0.003636837,0.025998592,0.41373634,0.3913746
AQWan,PRES,31956,34772,0.979372042300171,-0.1245493055532111,0.57603645,0.005364418,0.7051754,0.12377453
AQWan,DEWP,32212,32724,0.9753584950200064,0.0156814507959357,0.13834047,0.27647495,0.057120323,0.1952548
AQWan,DEWP,30740,34964,0.9745967949701944,0.2001462493298121,0.4966898,0.2981081,0.6924758,0.4938941
AQWan,PM2.5,33108,34324,0.9728425803219448,0.2129516726008173,0.23775196,0.2866578,0.71635103,0.19194126
AQWan,CO,32212,32340,0.97281680511613,0.0014063077161938,0.07406378,0.9012346,0.6241255,0.20304537
AQWan,PM2.5,31380,34772,0.9716925373846036,0.1134293544422648,1.0043435,0.11117506,0.14444923,0.7487192
AQWan,PRES,28884,32788,0.9706670102533148,-0.184957424912628,0.1305027,0.5132556,0.3101716,0.9539299
AQWan,PM2.5,29076,33428,0.969840266966144,0.0872710522204932,0.004694462,0.24228954,0.3715191,0.133924
AQWan,PM2.5,29588,31636,0.9689199433868436,-0.0676974870772013,0.20803261,0.27252626,0.2528534,0.73341227
AQWan,PM2.5,31828,32340,0.9687884169737784,0.2168772462432339,0.16827583,0.048491478,0.38730145,0.5070858
AQWan,NO2,28820,34580,0.9683984369080368,0.0953066746304557,0.5821967,0.033088207,0.1331253,0.4821596
AQWan,PM2.5,32084,34964,0.9683284324399982,0.046308060467045,0.06312513,0.40446472,0.16569185,0.301898
AQWan,DEWP,30164,33428,0.9678018270975768,0.0855131792700951,0.398108,0.0637579,0.26389217,0.5982423
AQWan,DEWP,34260,34836,0.9672545535316674,0.0823635811964959,0.15339756,0.023560524,0.83505964,0.9648967
AQWan,CO,30740,34964,0.9666383963901396,0.2197892474522027,0.26768684,0.33218813,0.25645494,0.34342003
AQWan,TEMP,32852,34580,0.965818546449394,0.1539980179546287,0.3043952,0.08706856,0.106238365,0.2852254
AQWan,PM10,31700,32340,0.9625705764744452,-0.3133015932433064,0.2864232,0.3489008,0.4861312,0.4236536
AQWan,NO2,33428,34772,0.9619981157977388,-0.197721175247037,0.62261486,0.016246319,0.013961792,0.6248994
AQWan,CO,31572,32468,0.9617347635178064,0.1717458940550347,0.4696641,0.0771389,0.17692327,0.21560192
AQWan,PM10,29588,33428,0.9605033976472516,-0.2791685673697612,0.33602905,0.06403494,0.28400373,0.012009621
