dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
CzeLan,sw_in,19148,19724,0.9998512518553592,0.2719389552626427,0.49740076,0.63701344,0.25737858,1.3917928
CzeLan,ppfd_in,19148,19724,0.9998512518553592,0.2719389552626419,0.49740076,0.63701344,0.25737858,1.3917928
CzeLan,swc_shallow,16716,16844,0.9992117979854386,-0.4370604858330055,0.14700031,1.2425613,0.51137733,1.900939
CzeLan,ppfd_in,17932,19084,0.9990280559319732,0.2597812064578052,0.056512356,0.32389784,0.23005581,0.15035439
CzeLan,sw_in,17932,19084,0.9990280559319732,0.2597812064578061,0.056512356,0.32389784,0.23005581,0.15035439
CzeLan,ppfd_in,16140,16716,0.999023446033096,0.1806019137420351,0.3024273,0.21540308,0.40449953,0.49152374
CzeLan,sw_in,16140,16716,0.9990234460330952,0.1806019137420369,0.3024273,0.21540308,0.40449953,0.49152374
CzeLan,swc_shallow,16972,19724,0.998945410108448,-0.0329942162660486,0.5223241,0.47842503,0.91620255,0.084546566
CzeLan,vpd,17292,18444,0.9989439557027264,0.0503065478432536,0.39310646,0.36951494,0.23627281,0.25986433
CzeLan,swc_shallow,16332,17484,0.9985078853863186,-0.0133549823299883,0.106863976,0.08056545,0.05832863,0.1291008
CzeLan,swc_shallow,17996,19404,0.9982731997234888,-0.113648306160434,0.86373997,0.50392866,1.9793916,0.61172295
CzeLan,swc_shallow,16140,17292,0.9982355184868652,0.0449440787926877,0.078835964,0.009728909,0.0090556145,0.09762049
CzeLan,rh,17292,18444,0.9980110823545014,0.0349938343905001,0.23175478,0.044975758,0.19684553,0.079885006
CzeLan,ta,16652,18956,0.9979379886581452,-0.4244458390898131,0.30240488,0.119485855,0.32571936,0.5086384
CzeLan,CZE_LAN_Cbe_Jt_16,17356,18508,0.9977636985128332,0.2207553227571863,0.025841713,0.23243904,0.211483,0.0048856735
CzeLan,swc_shallow,18124,18700,0.9976827810693664,0.2823719765360026,0.16681194,0.044594765,0.065449715,0.145957
CzeLan,CZE_LAN_Cbe_Jt_16,16076,18956,0.9972303285234952,0.2668730153704,0.5875292,0.106835365,0.055986404,0.75035095
CzeLan,swc_shallow,16652,17676,0.9970351982793016,-0.1032530883227839,0.1842432,0.16364717,0.03497219,0.3129182
CzeLan,sw_in,17868,19020,0.9965498646428448,0.2414520775001709,0.9683051,0.12079096,0.6699071,0.17760706
CzeLan,ppfd_in,17868,19020,0.9965498646428448,0.2414520775001708,0.9683051,0.12079096,0.6699071,0.17760706
CzeLan,sw_in,17292,18444,0.9965298686638432,0.0753537314623287,0.22471571,0.2809286,0.13535118,0.07913828
CzeLan,ppfd_in,17292,18444,0.9965298686638429,0.0753537314623281,0.22471571,0.2809286,0.13535118,0.07913828
CzeLan,CZE_LAN_Cbe_Jt_16,17100,19532,0.9963933735805306,0.1780108600953724,0.5609555,0.63522243,0.40774822,0.3334813
CzeLan,ta,18380,19660,0.9963098597362108,-0.0329389724092921,0.47358704,1.2986269,0.14437675,1.6278372
CzeLan,vpd,16076,18956,0.9962962529047882,-0.0523051669855552,0.26099777,0.017248154,0.18145084,0.42520046
CzeLan,swc_shallow,19020,19852,0.996138558668996,-0.1374386725550961,0.12770033,0.2548294,0.2804594,0.10207033
CzeLan,CZE_LAN_Cbe_Jt_16,17804,18124,0.9960207056205304,0.2433423519379049,0.36365557,0.018944263,0.49995232,0.88255215
CzeLan,sw_in,18700,19276,0.9960051522096266,0.1416082433007063,0.11109543,0.015315533,0.09400082,0.22041178
CzeLan,ppfd_in,18700,19276,0.9960051522096264,0.1416082433007059,0.11109543,0.015315533,0.09400082,0.22041178
CzeLan,swc_shallow,17420,18572,0.9959196651266842,-0.1190178634519321,0.78512573,0.05856371,0.711061,0.015501022
CzeLan,vpd,16140,16716,0.9958830253005176,0.1745308267487378,0.33002186,0.42639494,0.011856079,0.7682729
CzeLan,swc_shallow,15948,18828,0.995787078080987,0.2714393626573026,0.10688496,0.105507374,0.07831049,0.13408184
CzeLan,vpd,17164,18316,0.9957560656678944,0.0964706395169074,0.61731577,0.26453257,0.58085394,0.3009944
CzeLan,ppfd_in,17484,18636,0.9956230247936906,0.2046415474300183,0.31459713,0.00824213,0.07258129,0.25025797
CzeLan,sw_in,17484,18636,0.9956230247936904,0.2046415474300194,0.31459713,0.00824213,0.07258129,0.25025797
CzeLan,CZE_LAN_Cbe_Jt_16,17228,18828,0.9955771483863028,0.0183159210182785,0.3963914,0.4517312,0.49768734,1.3458099
CzeLan,ta,17292,18444,0.9955704264966196,-0.0317979526926053,0.13058472,0.117498875,0.10840464,0.35648823
CzeLan,swc_shallow,16268,19596,0.9954749550614016,-0.0894869445407765,0.56875706,0.44791317,0.903862,0.11280823
CzeLan,ta,16780,17932,0.9954534623448138,-0.1615609205855275,0.3755703,0.14964008,0.23374176,0.29146862
CzeLan,swc_deep,16140,17292,0.995229586291172,0.2902568103602362,0.42135715,0.44601583,0.6410036,0.22636938
CzeLan,ta,16140,16716,0.9950096555339516,0.2132720190769561,0.12863111,0.39310455,0.03470087,0.2991743
CzeLan,sw_in,16652,18380,0.9949911378849838,0.0398827340423766,0.2724738,0.68449354,0.32380772,0.63315964
CzeLan,ppfd_in,16652,18380,0.9949911378849812,0.0398827340423772,0.2724738,0.68449354,0.32380772,0.63315964
CzeLan,swc_shallow,18060,18636,0.9949747097839904,0.2257416404934585,0.4297285,0.24442339,0.8815465,0.2073946
CzeLan,ta,17804,18252,0.9948477752740128,-0.2619340924166429,1.0164938,0.14547062,0.8398943,0.32207012
CzeLan,CZE_LAN_Cbe_Jt_16,16908,18636,0.994767497984248,0.2513256264159026,0.23172998,0.348166,0.48779106,0.09210491
CzeLan,swc_shallow,18508,19084,0.994677422831239,-0.0625633573934806,0.06273651,0.25179005,0.15704346,0.1574831
CzeLan,ta,17164,18316,0.9946084531937204,0.1457273645582826,0.10588837,0.22614717,0.0003437996,0.12060261
CzeLan,CZE_LAN_Cbe_Jt_16,17932,19660,0.9945924861864244,0.206534925927968,0.13556528,0.41548824,0.21515417,0.06476879
CzeLan,rh,16076,18956,0.9945538314836097,-0.1497243513514637,0.12506771,0.17336321,0.41987228,0.121441364
CzeLan,sw_in,17356,19660,0.994398984340124,0.2083821811342994,0.16051626,0.36447525,0.22846651,0.296525
