dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ETTm1,MUFL,53760,56832,0.997881869715726,0.2491521926379818,1.0204337,0.58270025,0.027137518,1.6302714
ETTm1,HUFL,50688,51456,0.9976276154614444,0.2849497298508141,0.49052143,0.053041697,0.12309265,0.42047048
ETTm1,HUFL,53760,56832,0.9972961148768472,0.2371018588555365,1.0575752,0.57276726,0.1443491,1.4859934
ETTm1,MUFL,46656,48192,0.9968502593091184,0.2802718798484189,0.65648985,0.11678481,0.29484844,0.47842622
ETTm1,MUFL,50112,50688,0.9967659526808046,0.2446130508238951,0.4908681,0.0064866543,0.16204691,0.33530784
ETTm1,HUFL,46080,46464,0.9966370084109912,0.0828368648517977,0.3489895,0.2611072,0.3522644,0.2578323
ETTm1,HUFL,46656,47616,0.9965244564825696,0.2631839992521018,0.3063581,0.1373012,0.20823455,0.23542476
ETTm1,MUFL,46080,46464,0.9964211953648824,0.0761324753844444,0.33522892,0.24775171,0.35687637,0.22610426
ETTm1,HUFL,52032,55872,0.9958421143714522,0.1139010516245526,0.6796441,0.14247751,0.29773593,0.23943067
ETTm1,MUFL,54144,56064,0.9958258009192322,0.1705840453419176,0.22302604,0.15124655,0.01540637,0.38967896
ETTm1,HUFL,47936,50624,0.9956002541428426,0.0431249601105824,0.11574888,0.07453799,0.021505833,0.2117927
ETTm1,MUFL,52032,55872,0.9954341439707748,0.111125771873221,0.7925465,0.25491357,0.14233851,0.39529443
ETTm1,MUFL,47936,49280,0.9950640274227996,0.1567893437786828,0.05922842,0.114641905,0.08820629,0.032792807
ETTm1,LUFL,52992,53184,0.9945803604085622,0.2799178457925127,0.95376396,0.17344761,0.47619677,0.3041196
ETTm1,MUFL,47360,49088,0.9943488375111904,0.2611744609007431,0.33631945,0.4988463,0.16591263,0.6692531
ETTm1,HUFL,50496,51264,0.9942930901578731,0.2161600235167694,0.15249562,0.071835995,0.0052962303,0.0753634
ETTm1,MULL,48448,49408,0.9942177199811728,0.1725731202280933,0.75026536,0.1299715,0.22728062,0.65295625
ETTm1,HUFL,46400,47552,0.993916962575362,-0.1073521334410043,0.33774877,0.5289247,0.40035343,0.46632004
ETTm1,HUFL,46272,48768,0.9939111848722774,0.0348858241724693,0.16721845,0.19469953,0.065668344,0.038187265
ETTm1,HUFL,46208,47360,0.9935234457780858,-0.1088018431549999,0.1461885,0.10338855,0.0017459393,0.04105401
ETTm1,HUFL,47232,48192,0.9933818473015112,0.2779440206283687,0.45766187,0.107233524,0.034650803,0.31577754
ETTm1,HUFL,51648,56256,0.9933166388674148,0.2040406808716377,0.03478527,0.012861729,0.08951521,0.11143875
ETTm1,MUFL,46272,56640,0.993045463112118,0.0486366704018434,0.4532721,0.46264458,0.20037913,0.71553755
ETTm1,MUFL,51648,56256,0.9930232876229648,0.1435393552316948,0.26114988,0.114575386,0.025527239,0.35019803
ETTm1,HULL,48448,49408,0.9929343303760508,-0.1310758804558148,0.5729065,0.07221079,0.16921806,0.47589922
ETTm1,MUFL,50496,51264,0.9929332081909668,0.2571312864165405,0.31851602,0.17292762,0.06470728,0.21029568
ETTm1,LULL,53184,53568,0.9928813469434172,0.1604042651679987,0.2491498,0.28091812,0.13039541,0.16216373
ETTm1,LUFL,47296,54592,0.9928726614636396,0.2294110883934792,0.63419056,0.08124447,0.27793694,0.27500916
ETTm1,HULL,46144,46720,0.9924937731052312,0.0002738277585803,0.11629057,0.012779236,0.10762739,0.0041160583
ETTm1,MUFL,48256,52096,0.9924254989776444,0.2808393416300278,0.10242987,0.04378891,0.124671936,0.02154684
ETTm1,OT,47616,55488,0.9922494157416382,0.1606571202228298,0.33198404,0.6290264,0.15637493,0.14066744
ETTm1,MUFL,48704,50624,0.9922165058181508,0.1484726850331921,0.17435026,0.041249752,0.13962483,0.0065243244
ETTm1,HUFL,48704,51392,0.9919458077346376,0.1172297955370096,0.16883612,0.24308538,0.20820904,0.13395977
ETTm1,LULL,55296,57024,0.9918086851087788,0.1254281535796502,0.23048115,0.112445354,0.05105114,0.06698465
ETTm1,MUFL,46400,46976,0.9916737529977344,0.0011271052070353,0.26277542,0.61512685,0.5629175,0.3149848
ETTm1,HUFL,52800,56064,0.9914359217198564,0.2470454899391904,1.296715,0.07381511,0.7338202,0.6367099
ETTm1,HUFL,46848,49152,0.9907232214181452,0.2001962109641573,2.8928936,0.2425139,2.1083832,1.0270243
ETTm1,MULL,50688,50880,0.9906067179870148,0.0767206086964966,0.41104507,0.10957575,0.08053732,0.220932
ETTm1,MULL,48256,54208,0.990555047205665,0.041970176565391,0.19972515,0.38413763,0.09024906,0.49361372
ETTm1,MUFL,47232,49152,0.9903405399391132,0.1904832729119011,0.27458787,0.26298022,0.039968967,0.051576614
ETTm1,MUFL,53568,55680,0.9902625820524952,0.1192940686045172,0.3865378,2.38543,0.12843418,2.6435337
ETTm1,HUFL,50944,54208,0.9901070494665464,0.2634648715413198,0.48454046,0.07590008,0.49464846,0.065792084
ETTm1,MULL,51136,52096,0.989950842548422,-0.1302005301434775,0.2766838,0.32918262,0.3383255,0.26754093
ETTm1,HULL,46336,47680,0.9898022094558074,-0.1191978130080243,0.50427437,0.087171555,0.6568384,0.2397356
ETTm1,MULL,46336,47680,0.9897416493181802,0.1760297746489508,0.16274786,0.5466566,0.017125607,0.69227886
ETTm1,MUFL,46848,48768,0.9896316936486794,0.2902652040601318,2.5092475,0.09421444,1.6706066,0.93285537
ETTm1,LUFL,46912,49024,0.9894742271282054,0.1131180219018943,0.72299623,0.3221326,0.5273676,0.51776123
ETTm1,MULL,49024,52480,0.9893644732122496,0.0620301809184414,0.2713852,0.13891935,0.046695232,0.08577061
ETTm1,MULL,47488,49600,0.9892603840358776,0.0650187679422678,0.5769863,0.040724754,0.62681293,0.009101868
ETTm1,MUFL,56000,56384,0.989244848757032,0.1412743070113516,0.050460577,0.27346897,0.35176325,0.12875485
ETTm1,MUFL,48960,51456,0.9889443097607292,0.2807391909871117,0.25108647,0.084224224,0.012164831,0.15469742
ETTm1,MUFL,50880,51072,0.988928263162674,0.2866556097378392,0.80612683,1.255589,0.27185178,1.7898641
ETTm1,HUFL,56000,56384,0.9887848629664324,0.2051063744246392,0.17604995,0.18991184,0.30460715,0.29074526
ETTm1,HUFL,49280,50432,0.9886212396619588,0.2888817897821642,0.13729048,0.019901514,0.077148914,0.04024005
ETTm1,HUFL,50112,52224,0.9885138950417236,0.2020925485227727,0.51946616,0.35057116,0.40530157,0.46473575
ETTm1,HUFL,53568,55680,0.9883229197802949,0.143195306645377,0.1466136,0.99885964,0.043356657,1.1021166
ETTm1,HULL,50944,54208,0.988270942514281,0.2595419298852989,0.029150963,1.0302329,0.22125673,0.83812714
ETTm1,MUFL,46208,47552,0.9879774941320436,0.2354516441660455,0.6181936,0.45973015,0.2715211,0.8064027
ETTm1,MUFL,50048,52736,0.987768830822467,0.266399737343328,0.4380412,0.40468645,0.14384747,0.6988802
ETTm1,OT,46976,48832,0.9877054671648764,0.0727447482872496,0.14054632,0.20817232,0.13101149,0.21770716
ETTm1,HUFL,49024,51520,0.9869410269452203,0.1542186239132984,0.013489723,0.12473488,0.06269932,0.075525284
ETTm1,MUFL,49408,49984,0.9868838886033496,0.2859555885845378,0.54772854,0.78308487,0.020215988,1.3105974
ETTm1,HULL,47488,49600,0.9868300395872326,0.1717329227117724,0.452991,0.23802614,0.6686828,0.45371795
ETTm1,HULL,49024,52480,0.9866014020669932,0.2079786500829329,0.07683325,0.40305853,0.2863264,0.19356537
ETTm1,HUFL,54144,56640,0.986334652373243,0.175108354925913,0.5832815,0.050085068,0.05083108,0.5825355
ETTm1,MULL,51072,52032,0.9862220269473598,0.1546145531546122,0.18718576,0.21372747,0.66285753,0.2619443
ETTm1,LULL,55488,57408,0.9861676922453974,0.026986881928557,0.20019484,0.10060406,0.0733242,0.17291498
ETTm1,MUFL,51584,53888,0.9859648895979783,0.1370332254290673,0.737489,0.39836502,0.6458292,0.4900248
ETTm1,HUFL,51584,53888,0.9856673464947384,0.2072331572982742,0.69415617,0.42744064,0.9318788,0.18971801
