dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
Wind,pred_temp,43547,47579,0.9959699061149372,0.0045023144632812,1.7432046,0.51441956,1.3695698,0.14078474
Wind,pred_pressure,44763,47067,0.9955717080074624,0.2546013250618999,0.10448599,1.1056938,0.0004272461,1.2097526
Wind,pred_temp,40603,43867,0.9952803593762208,0.2385661096775837,0.59696436,0.50116205,0.24315214,0.85497427
Wind,pred_humidity,42011,46235,0.9940948174536656,0.2450103868893345,0.47445154,0.19207,0.4225912,0.14020967
Wind,pred_temp,43099,45403,0.9939561611367064,0.293351798159829,0.76900053,0.009263992,0.35109138,0.40864515
Wind,pred_w_speed,43675,47515,0.9939100225562256,0.2685975426278047,0.05025816,1.0640879,0.45558643,1.4694161
Wind,pred_temp,45275,48347,0.9937258802911256,0.2287018547234738,0.45892143,0.34020233,0.39268637,0.27396727
Wind,pred_pressure,44891,45275,0.9935651949852028,0.2277249857193617,0.2215724,1.7731218,0.18353891,1.7350883
Wind,pred_temp,41819,47195,0.9933949523148228,0.1558135620192495,0.66660357,0.20423746,0.74147797,0.27911186
Wind,pred_humidity,39643,41179,0.9931914478012526,0.2607003690353096,1.1976509,0.91537046,0.29158735,0.5738678
Wind,pred_temp,44059,46939,0.9929053286967444,0.1302572608817584,0.0077958107,0.79148054,0.26369858,0.51998615
Wind,pred_temp,42779,48155,0.992725389581968,0.2729064440915247,1.5109668,0.13292646,0.9417491,0.43629122
Wind,pred_w_dir,39387,45403,0.9915259595633524,0.2688062627075139,0.73032236,1.739501,0.14312363,1.1523023
Wind,pred_temp,39707,47963,0.9912496705573334,0.2420136685640173,1.3507171,0.5394702,0.44603825,0.36520863
Wind,pred_humidity,40667,48347,0.9906056505323124,0.070352366183335,0.6027112,1.3449464,0.30163288,1.0438681
Wind,pred_pressure,41307,41499,0.9905093761770108,0.0605649485195164,0.43168163,1.158225,0.22164392,0.94818735
Wind,pred_w_speed,40923,47451,0.9903777694368296,0.23187804446286,0.00560236,0.68265295,0.03184843,0.6564069
Wind,pred_temp,42203,44123,0.9902336106114766,0.1723607331840861,0.25343895,0.3257227,0.13124847,0.7104101
Wind,pred_temp,39899,46619,0.9899964167056828,0.152726477206883,0.38813257,1.3836164,0.054574966,1.826324
Wind,pred_humidity,42587,47579,0.989900094647088,0.2879474922206119,0.6828618,0.024571419,0.3709569,0.33647633
Wind,pred_temp,45083,46427,0.9897838489003598,-0.0952830100177591,0.28312302,0.42270803,0.26605225,0.40563726
Wind,pred_w_dir,40091,45787,0.9897028676556996,0.236325330589871,0.04212618,0.846972,0.031867504,0.9209657
Wind,pred_w_dir,43739,48155,0.989035314712682,0.229918706334076,0.70735645,0.52491,0.3719554,0.18950891
Wind,pred_pressure,40347,48603,0.9885185815363506,0.2069517177071136,0.019435406,1.5403132,0.09125471,1.4296231
Wind,pred_w_dir,42139,45659,0.9880950993549038,0.0285685871823529,0.42147923,0.09231758,0.95955276,0.6303911
Wind,pred_w_dir,40475,44571,0.98805277061054,0.0823205027447459,0.9497199,0.32718372,0.25049925,0.37203693
Wind,pred_temp,42587,43355,0.9878701516138894,0.0525201870542771,0.16423178,0.35905504,0.10222769,0.42105913
Wind,pred_pressure,44379,45339,0.9878195241350116,0.0709211270307688,0.3530898,0.11129999,0.27410507,0.5158949
Wind,pred_temp,41563,41947,0.9877526306668598,0.1481294239930812,0.014878273,0.26024866,0.08935642,0.3347268
Wind,pred_pressure,44187,47835,0.9876846929626304,-0.0962622926106096,0.047094345,0.8485346,0.3422556,1.1436958
Wind,pred_temp,40859,47003,0.9876526590839724,0.2091976882403149,1.2129855,0.18724346,0.5443044,0.48143768
Wind,pred_w_dir,43035,47323,0.9871201016775114,-0.1500099057225525,0.60673904,2.354507,0.3956275,2.5656185
Wind,pred_temp,44827,47515,0.9871149762911288,-0.0993427177856484,1.2570281,0.010031223,1.0535069,0.19349003
Wind,pred_pressure,41371,43291,0.9866647864550396,0.2287853457817728,0.7794013,1.4201202,0.8690715,1.5097904
Wind,pred_humidity,40219,44059,0.9862814148861736,-0.150017360570057,0.10297966,0.17777443,0.31951952,0.6002736
Wind,pred_pressure,39963,48219,0.9861498018958624,0.1437387845553694,0.069372654,0.8658948,0.31394053,0.6213269
Wind,pred_temp,41627,42011,0.9861142856071266,-0.0736865824046853,0.41331625,0.7898216,0.19742155,1.0057163
Wind,pred_humidity,40603,40987,0.9857996729132796,0.0686891406367442,0.016105175,0.27872086,0.0711627,0.22366333
Wind,pred_w_dir,42395,42843,0.985448263466826,0.1752633032995002,1.2799387,0.5256462,1.0668659,0.31257343
Wind,pred_w_dir,46619,46811,0.9852301265101686,-0.2139979753881881,0.58693075,1.1005425,0.43645,1.2510233
Wind,pred_humidity,42715,43099,0.9850027944783456,0.0480051649453189,0.6403432,0.3133955,0.16665602,0.16029167
Wind,pred_w_speed,40283,47131,0.9846197171734208,0.0218117086309272,0.74067116,0.09362602,0.89964056,0.25259542
Wind,pred_pressure,43931,44507,0.9844858013546228,0.2154335498121228,0.07225895,0.03875017,0.14691687,0.257926
Wind,pred_temp,42971,46043,0.984208680256352,0.2954500059995394,0.043273926,0.43313265,0.020847797,0.49725437
Wind,pred_temp,45659,47387,0.9841432421513178,0.1304473503505108,0.28600836,0.17542076,0.293252,0.1826644
Wind,pred_temp,40411,43675,0.9838882691243814,0.2763953769196636,0.67099524,0.08188772,0.1608491,0.42825842
Wind,pred_temp,40283,41051,0.9838685532992958,0.2813792678825668,1.2701735,0.43257523,0.82868433,0.008913994
Wind,pred_w_dir,44763,47067,0.9835206238420678,-0.0944209561108623,0.8887925,0.68010616,0.08624172,0.29492807
Wind,pred_w_speed,42907,43483,0.9834698456430324,0.1388816623981261,0.63325596,0.043690205,0.21086597,0.37869978
Wind,pred_humidity,39771,47963,0.9834457394066168,0.0515655341428043,1.1800599,1.0101366,0.49963188,0.32970858
Wind,pred_humidity,40475,45403,0.9829928178363976,0.2726099274852764,0.09193802,0.38714504,0.43404436,0.7292514
Wind,pred_w_speed,45403,48283,0.9824480888289912,0.1096095364919474,1.5089669,0.49025393,1.0627637,0.044050694
Wind,pred_humidity,47195,48539,0.9821291032963396,-0.0460300557362969,1.1482534,1.6420126,0.08909941,0.40465975
Wind,pred_temp,43739,44315,0.981899326561384,0.0324806148671649,0.095430374,0.17187262,0.11965418,0.14764881
Wind,pred_pressure,40155,45915,0.981742514869764,0.1292925186407469,0.1509161,0.9348984,0.6332855,1.7191
Wind,pred_humidity,40859,47771,0.981496147666446,0.0611109301864915,0.83357835,1.2368019,0.1124239,0.5156474
Wind,pred_pressure,44955,47643,0.9814772189391352,0.2224337596401074,0.16144514,0.43791008,0.021749973,0.57760525
Wind,pred_w_speed,44827,47963,0.9814219320332648,0.2223553818540887,0.44295073,0.07337093,0.7740941,0.25777245
Wind,pred_pressure,39835,40987,0.9813976495159282,0.2708204747870097,0.5868306,0.64169264,0.36078596,0.41564798
Wind,pred_pressure,40219,43483,0.980673262162019,0.1666898196384622,0.045111656,1.4886122,0.29632568,1.8300495
Wind,pred_pressure,39899,47515,0.9805582916636676,0.1157837333835402,0.6978321,1.3966775,0.33275652,1.0316019
Wind,pred_humidity,41051,41307,0.9804511066242156,0.0696857437956039,0.6787319,0.2367301,1.3096163,0.8676145
Wind,pred_pressure,46043,47387,0.9803380236037482,0.0856580332394258,0.70713186,1.2250018,0.7573371,1.275207
Wind,pred_temp,41755,48283,0.980316590964136,0.1843776807187179,0.30460405,0.07654762,0.24388313,0.015826702
Wind,pred_w_dir,45531,46875,0.9802521498064262,0.2969451082932611,0.752408,0.45180082,0.39895964,0.09835243
Wind,pred_pressure,47451,48411,0.9800568230508436,0.2795889870125429,0.39332104,0.98749065,0.82346964,1.4176393
Wind,pred_humidity,42971,45467,0.979727744605593,-0.019870937710047,0.674397,0.101400375,0.7380042,0.03779316
Wind,pred_w_speed,39259,43227,0.979653951902368,0.0961148791987068,0.20052385,0.46079063,0.2599039,0.5201707
Wind,pred_humidity,41115,47067,0.979507966604018,0.2954974923280702,0.20473719,0.007628441,0.6196599,0.42255116
Wind,pred_pressure,43547,47003,0.9788772892115456,0.1526503444463014,0.046392918,0.027962685,0.6141448,0.6885004
Wind,pred_temp,42907,43483,0.9788726829975254,0.2621349952860859,0.024345398,0.11015272,0.067477226,0.15328455
Wind,target,42907,45403,0.9787999173154434,0.2744464264284646,0.17717361,0.14772463,0.17881775,0.14936876
Wind,pred_humidity,45787,46811,0.978615454327179,0.1872367649892005,0.4097228,0.44852066,0.030574322,0.008223534
Wind,pred_pressure,41691,42267,0.9783461068301312,0.1210762331838565,1.2797046,0.26840162,1.1151905,0.10388756
Wind,ture_w_speed,39771,45851,0.978162674572984,-0.1549693297955504,0.68187904,0.83108234,0.006842613,0.14236069
Wind,pred_w_dir,39835,48347,0.9776735541672406,0.2598451204266326,0.15974236,0.54791355,0.19462681,0.582798
Wind,pred_humidity,41627,44507,0.977290576015213,-0.0659165950953878,0.023736954,0.17395067,0.16632462,0.36401224
Wind,pred_w_dir,39963,41307,0.976298007957094,0.1702374939529312,0.4437828,0.16776943,0.307909,0.5839224
Wind,pred_humidity,40923,44955,0.9750278028616648,0.1433272463236508,0.79735327,0.4382038,1.2380304,0.0024733543
Wind,pred_pressure,43867,45979,0.9748530284020156,-0.0320994092075928,0.3006196,0.096324444,0.3118043,0.107509136
Wind,pred_temp,40475,44699,0.9745395957419326,-0.2306214310808355,0.80921984,0.5352888,0.26017952,0.013751507
Wind,pred_humidity,46939,47899,0.9744883325028528,0.0253724163206652,0.55897856,0.15601301,0.6744275,0.27146196
Wind,pred_temp,42395,45787,0.9742278237395114,0.149175462113529,1.2372646,0.13231945,1.1535187,0.048573494
Wind,target,42651,45851,0.973952409323627,0.2085394586966161,1.0778489,0.14494371,0.7156825,0.21722269
Wind,pred_w_dir,40283,46683,0.9737953236617438,0.2944821102490614,1.4241366,0.80700636,0.79112625,0.17399597
Wind,pred_humidity,41755,44827,0.9737021837939662,-0.0138963583508232,0.074614525,0.28521204,0.15811157,0.3687091
Wind,pred_humidity,43547,48155,0.9735377219194898,0.1704215913587938,0.048172474,0.07165527,0.14923048,0.17271328
Wind,pred_humidity,39259,42139,0.9732508602484136,0.2927481292202231,0.47028542,0.23327637,0.07183075,0.77539253
Wind,pred_w_dir,45147,45979,0.9732042961045718,0.2717680199991744,0.8611312,0.08691025,1.42875,0.6545291
Wind,ture_w_speed,42075,44123,0.9730580079065356,0.101357148518224,0.22199106,0.19111967,0.32298422,0.090126514
Wind,pred_humidity,46683,47259,0.972954736063419,0.2786547889628636,0.7082844,0.30955267,0.211267,0.80657005
Wind,pred_w_dir,39131,42651,0.972626161064219,-0.2423698135463183,0.6414809,0.7467923,0.27108908,0.37640047
Wind,pred_humidity,41243,47707,0.9725629495494136,0.20517643046729,0.57773733,0.33806086,0.40471077,0.1650343
Wind,pred_w_dir,44379,46107,0.9723018019870996,0.2485749105920155,0.31285286,0.169281,0.26727247,0.74940634
Wind,target,39387,43483,0.97215492582787,0.1439186702229475,0.631274,0.24885106,0.10407925,0.48650217
Wind,pred_pressure,42395,47195,0.9715232795669192,0.2046339538564686,0.29599142,0.058760166,0.34998274,0.587214
Wind,pred_temp,41435,47771,0.9713487219012372,0.1604845909283603,0.94330454,0.5869665,0.116306305,0.24003172
Wind,pred_humidity,40411,44443,0.971299345659346,0.2244847585788725,0.009606838,0.50882053,0.03569603,0.5541234
Wind,pred_w_speed,43611,44507,0.9712659570933,0.0003997681972028,0.36497498,0.27936125,0.43552017,0.20881605
Wind,target,41563,43675,0.9711057709450124,-0.2490047033471588,1.60502,0.01332283,1.6390958,0.047398567
Wind,pred_temp,45211,48091,0.9702765141565918,0.2988037476730671,0.17788267,0.03600788,0.36260796,0.50448275
Wind,pred_pressure,46427,47131,0.9702711397593944,0.2254119555650245,0.28297138,0.74023676,0.24194908,0.69921446
Wind,target,39195,46171,0.969904402014226,0.2150672878456343,0.21544743,0.7059231,0.04818821,0.9695587
Wind,pred_humidity,43675,44635,0.969895058920032,0.0080119495828959,0.4473977,0.024342537,0.42026615,0.051474094
Wind,target,39323,46939,0.9698120273199806,0.1592017752281905,0.49303055,0.38713646,0.6353617,0.24480534
Wind,pred_pressure,42843,45723,0.9697372373358396,0.2735108058016702,0.26311827,0.9481983,0.36034346,1.0454235
Wind,pred_w_dir,40667,46171,0.9693474130031468,0.2437154292503382,1.2513208,0.16688299,0.6429987,0.44143915
Wind,pred_w_speed,39963,42459,0.9689913536498458,0.239652822933081,0.11858559,0.5094018,0.018274307,0.40909052
Wind,target,44571,44699,0.9689621604395496,0.0998658585848695,0.0916543,0.7063341,0.258348,0.5396404
Wind,pred_w_speed,39771,44699,0.9688368339110078,0.0214709856594613,0.7570181,0.29030848,0.57752705,0.11081743
