dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
electricity,317,22644,23988,0.9934825917354172,0.1635762629298413,0.33631063,0.3298173,0.26163602,0.4044919
electricity,113,25204,26100,0.990702096503514,0.1131264419546761,0.505342,1.1295142,0.77167654,0.8631797
electricity,129,22132,26164,0.990583571930088,0.2447972418914887,0.113556385,0.4217708,0.07088518,0.3790996
electricity,317,21172,23860,0.99043771054289,0.2803463668865412,0.14256549,0.15990853,0.112375736,0.19009829
electricity,295,21364,23860,0.9897910989698556,0.2971736070634108,0.4985335,0.675328,0.6453426,0.5285189
electricity,317,22068,25140,0.9897826732570092,0.2975211184723756,0.31785154,0.2861185,0.32598615,0.2779839
electricity,246,21748,22708,0.9881491026684364,0.2158178764072747,0.1733203,0.3058598,0.19900227,0.28017783
electricity,103,23476,26164,0.9874954295025858,0.2939452438121518,0.22216558,0.33432388,0.103360415,0.45312905
electricity,87,23988,25332,0.985698549916772,0.0760049130147148,0.32969236,0.26899433,0.10741854,0.49126816
electricity,287,21492,23988,0.9843358601054162,0.2842065306325933,0.7360699,0.4172473,0.30204535,0.85127187
electricity,300,24820,25396,0.984124475369404,0.2415777521846374,0.48920012,0.6540699,0.7189028,0.4243672
electricity,103,22132,24820,0.9833204944404657,0.1909891333910588,0.51954556,0.12285805,0.3912592,0.2511444
electricity,317,21940,22900,0.981720617521776,0.2642304339373102,0.07351589,0.03302574,0.056900263,0.1634419
electricity,287,21876,23604,0.9805126191785808,0.2378047684723397,0.7421353,0.5777004,0.44735026,0.8724854
electricity,317,24628,25588,0.9802209112353576,0.2316028020656191,0.15082312,0.3019495,0.0997417,0.35303092
electricity,300,25076,25844,0.9790919601417946,0.2947324200295645,0.21622491,0.15760922,0.13825917,0.07964349
electricity,46,22644,23220,0.9789935264525332,0.2972481231262157,0.37866879,0.229043,0.185637,0.4220748
electricity,129,22004,26036,0.9786160482716978,0.2631927210223933,0.6819258,0.29766774,0.10116696,1.0807605
electricity,287,21428,22772,0.97806745351798,0.2894872659817189,0.12470794,0.42328858,0.094540834,0.4534557
electricity,87,22132,24820,0.9771813802303676,0.2819731502307036,0.23852396,0.2136569,0.12031841,0.33186245
electricity,25,21300,23988,0.9770760018754174,0.1435904230314218,0.3708191,0.15195823,0.48363757,0.039139748
electricity,9,24180,25716,0.9768741478004268,0.1892141748258888,0.2802558,0.78447485,0.34892654,0.7158041
electricity,103,23284,25972,0.976151222259024,0.2256131401877322,0.8482535,0.55233264,0.64944124,0.7511449
electricity,275,22708,23476,0.9751037137668098,0.1743738223684481,0.14367318,0.0002834797,0.06462097,0.07876873
electricity,9,21300,23988,0.974787817411335,0.245271811435902,0.61757255,0.22817683,0.76559615,0.08015323
