dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
traffic,184,14676,15636,0.9898279735865702,0.2672260859982149,0.18901587,0.13687849,0.042895794,0.36879015
traffic,842,14292,15636,0.9895226746459266,0.276955677177435,0.02204585,0.01655221,0.04308629,0.03759265
traffic,524,14228,16724,0.9889976693321328,0.1499348475945832,1.374712,0.43339372,0.7344041,1.0737016
traffic,280,14676,15636,0.9887605219509398,0.2701891379885531,0.18197894,0.09382653,0.09273076,0.36853623
traffic,107,14100,15444,0.9882868884972108,0.2879844859871916,0.058189392,0.16724157,0.13104582,0.09438515
traffic,593,14164,15508,0.9877047784981976,0.2709257827304954,0.050938606,0.014401674,0.03374076,0.002796173
traffic,535,14036,15764,0.9873742632962996,0.2536396120544841,0.01230824,0.11731315,0.14631426,0.041309357
traffic,101,14676,15636,0.9865853300382617,0.1732946632072339,0.26857018,0.06766009,0.063797235,0.4000275
traffic,62,14484,15828,0.9864198624388884,0.2765356202833676,0.23447657,0.18191457,0.16646576,0.24992537
traffic,708,14484,15828,0.9859956645761578,0.2845084172331571,0.0354352,0.18943524,0.10912418,0.11574626
traffic,836,14804,16148,0.9856879145372044,0.0298014775244322,0.106259584,0.22096276,0.26121998,0.06600237
traffic,619,14164,15508,0.9855310404891964,-0.0040701079176424,0.15217471,0.2619171,0.21341252,0.2006793
traffic,167,14804,16148,0.9854166531943892,0.2409934884477868,0.0028195381,0.038128614,0.009772062,0.050720215
traffic,756,14228,14612,0.9852955626018716,0.2826541629556884,0.21047235,0.31271696,0.26996303,0.25322628
traffic,112,14100,15444,0.9848594631985408,0.2061981606557212,0.030160904,0.254619,0.107504845,0.17727506
traffic,748,14612,16724,0.9840223527398818,0.2812616930185663,0.36763716,0.42705584,0.3301344,0.4645586
traffic,788,14676,16980,0.983292511888811,0.2702201826782063,0.038753033,0.3055024,0.060800314,0.3275497
traffic,124,14484,15828,0.9830711815468116,0.2064082626902987,0.16111732,0.13512588,0.14786744,0.14837575
traffic,738,14676,16980,0.9826932220915195,0.2596915105756853,0.57102513,0.13128543,0.7325134,0.29277372
traffic,256,16148,17300,0.9823641915600824,0.0671866132765973,0.21222615,0.06779647,0.14506555,0.00063586235
traffic,203,14676,15828,0.9822661765888514,0.1188226357758956,0.34726858,0.16384363,0.43877745,0.2553525
traffic,296,14420,16724,0.982081220977042,0.2505080604013391,0.4293983,0.2821796,0.20527434,0.50630355
traffic,564,14484,15828,0.9813992367953072,0.2617982211576485,0.0929718,0.004798174,0.00600791,0.09418154
traffic,547,14164,16852,0.9810842732559092,0.2782944961169741,0.31999612,0.3057413,0.19011378,0.17585897
traffic,161,14164,15508,0.9809829731943404,-0.1145315478377364,0.32137132,0.32194424,0.29801702,0.34529853
traffic,788,14036,14612,0.9808440379529044,0.2798780472322308,0.3274474,0.06867337,0.017000198,0.3791206
traffic,452,14420,16724,0.9804951705213512,0.2602779549131335,0.54334736,0.4758854,0.3681693,0.65106344
traffic,37,15828,16980,0.9802102230055862,0.2026855426858653,0.14434695,0.3083601,0.053206205,0.50591326
traffic,508,14484,15828,0.9799399485489032,0.2301385777521998,0.31191278,0.28490877,0.3415959,0.25522566
traffic,633,14484,15828,0.9796407581515886,0.2017197155197481,0.24160719,0.05344844,0.15637898,0.13867664
traffic,636,14100,16212,0.9795009838688644,0.2946693156936205,0.4884274,0.39243007,0.3373208,0.54353666
traffic,215,14100,15252,0.9793826908315764,-0.0629725434870688,0.06680846,0.18513775,0.03970194,0.07862735
traffic,277,14164,16852,0.9792308480276752,0.2919468565110603,0.23734856,0.2043879,0.05673194,0.023771286
traffic,679,16148,17300,0.9790678862250068,0.0295604084294774,0.021414042,0.20497489,0.0026056767,0.18616652
traffic,179,16276,17044,0.9789981376279238,0.217459189048334,0.21894002,0.04437065,0.015700102,0.15886927
traffic,244,14676,17172,0.9788204716563164,0.2307728685474714,0.7547915,1.8135612,0.9434173,1.6249354
traffic,278,14484,17172,0.9787789888560228,-0.0392136503964632,0.028231382,0.21220708,0.022598743,0.20657444
traffic,607,14100,16404,0.978308804139745,0.274762386181103,0.031336308,0.053797483,0.055898666,0.14103246
traffic,601,14484,15828,0.978006861394528,0.2031372776485974,0.18761563,0.35884476,0.33310175,0.21335864
traffic,860,14804,16148,0.9780023927535524,0.2737152904422826,0.18810368,0.17388058,0.14550662,0.21647763
traffic,716,14676,16788,0.977993115692696,0.2381069986046588,0.12122035,0.004111767,0.21905446,0.09372234
traffic,756,14804,16148,0.9779681622209716,0.2045887614090027,0.25008798,0.18505812,0.131459,0.3036871
traffic,132,14484,16980,0.9779486200451374,0.2054111950840931,0.3448882,0.3541386,0.16154456,0.53748226
traffic,258,14932,17428,0.9778659229587296,0.1691365532359658,0.12106705,0.26332664,0.028896332,0.113363266
traffic,735,14676,16980,0.9776803718625644,0.1827096946253664,0.10141897,0.24303198,0.3096211,0.4512341
traffic,388,14484,17172,0.9775714336716153,0.252082550682929,0.04893732,0.174402,0.04051733,0.08494735
traffic,778,14484,16980,0.9775444431403624,0.2712938516177978,0.13397932,0.40446663,0.21877217,0.31967378
traffic,678,14100,16404,0.9775079879984384,0.1914561522659587,0.5127764,0.4656334,0.6475694,0.33084035
traffic,530,15892,17044,0.977259567416987,0.2632899177253436,0.7106856,0.7604518,0.88797057,0.58316684
