dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
weather,p (mbar),46445,52013,0.9994698315213276,0.0637199952363459,0.17450094,0.020886421,0.35727024,0.16188288
weather,PAR (�mol/m�/s),43565,51053,0.9993313520178202,-0.3757032855701201,0.3692789,1.4208102,0.36062336,1.4294658
weather,SWDR (W/m�),43565,45293,0.9992678527164458,0.0494203864970536,0.34346533,0.61724424,0.36679268,0.5939169
weather,p (mbar),51309,51693,0.9987971301943352,0.08760732420156,0.052518845,2.0157037,0.4653058,1.6029167
weather,rho (g/m**3),44333,44717,0.9987628937377389,0.1360285887198773,0.6370349,0.70481014,0.9157567,0.98353195
weather,VPmax (mbar),44525,45677,0.9987423960997238,0.0080665409355706,0.08415365,0.11555338,0.07186031,0.10326004
weather,PAR (�mol/m�/s),47021,49325,0.9986075532585716,0.12146621945672,1.0451713,0.13707781,0.72625446,0.18183899
weather,max. PAR (�mol/m�/s),47085,51693,0.998539559208295,-0.0837750369741673,0.39389038,0.4845066,0.18691349,0.6914835
weather,T (degC),44525,45677,0.998526042458531,0.1239537665722569,0.1486001,0.6958809,0.34309483,0.50138617
weather,Tpot (K),44525,45677,0.9985227864565652,0.1268214426479674,0.03367138,0.9523492,0.4066391,0.57938147
weather,max. PAR (�mol/m�/s),47021,49325,0.9984847049697564,0.0900829516653684,1.3592367,0.22032833,0.96264124,0.17626715
weather,PAR (�mol/m�/s),51117,51693,0.99834726510722,-0.0537263662983685,0.5191612,0.10878658,4.339218e-05,0.6279044
weather,rho (g/m**3),44525,45677,0.9983439830938132,0.1633554066637765,0.041306973,0.89814234,0.2430315,1.0998669
weather,PAR (�mol/m�/s),44781,45933,0.9982866760260388,0.1612419710639488,0.06959772,0.0072612762,0.01660633,0.09346533
weather,PAR (�mol/m�/s),44909,46637,0.998282588251038,0.1298758606290251,0.24877977,0.70515347,0.092494965,0.8614383
weather,p (mbar),43501,48301,0.998219422510768,0.1158502694667462,1.2572374,0.2664957,1.6190538,0.6283121
weather,rho (g/m**3),44589,46637,0.9981425193128362,0.0573086047671266,2.1336417,0.18413544,1.8628368,0.086669445
weather,rh (%),44717,49325,0.9978261244962524,0.2716640456958237,0.4698968,0.5672493,0.23950529,0.7976408
weather,p (mbar),49901,50349,0.9976902466498414,0.1608700528672035,1.0224957,1.4389277,0.17003202,0.5864639
weather,PAR (�mol/m�/s),45229,49261,0.9976856062665616,0.0561079564601929,0.2205391,1.0080409,0.2029047,1.0256753
weather,Tpot (K),44333,44717,0.9976492459998956,0.1093310400971192,1.1771717,0.70157003,0.57749987,0.10189819
weather,SWDR (W/m�),51117,51693,0.9975909141938972,-0.1687550490218876,0.09902191,0.15882778,0.30941916,0.05156946
weather,max. PAR (�mol/m�/s),45485,46637,0.9975533311892062,0.1407705415463384,0.13111353,0.099535465,0.17955828,0.41020727
weather,p (mbar),44333,52397,0.9975360354665784,0.0647201627658495,0.7228322,0.08623266,0.62877464,0.007824898
weather,p (mbar),46125,49965,0.997534887018418,0.2777457674959991,1.2241435,0.6968403,0.5670967,0.03979349
weather,p (mbar),47085,48813,0.9975184410454904,0.196086791997055,0.0716815,0.73971844,0.9281416,0.26010466
weather,max. PAR (�mol/m�/s),43565,51053,0.9974985346638872,0.2048209195073694,0.23951387,1.1794724,0.11582756,1.3031588
weather,Tpot (K),46637,46765,0.9974984436330896,0.0114380623832369,0.29317856,0.36149883,0.036925316,0.6916027
weather,SWDR (W/m�),44909,46637,0.9974597128248502,0.0702873162518401,0.33107567,0.932498,0.18942738,1.0741463
weather,SWDR (W/m�),47085,49965,0.9974512641259072,0.0881137261742378,0.49428082,0.96238804,0.3411293,1.1155396
weather,p (mbar),47213,47277,0.997385381045906,0.2846427605612534,0.44260263,0.6355982,0.8106351,1.0036306
weather,Tlog (degC),43949,50285,0.9973750178997391,0.1415086046858436,0.04917431,0.3476324,0.32192278,0.7187295
weather,p (mbar),44461,46637,0.99730862632448,0.1947488016146446,0.8300729,0.40004683,0.5281744,0.098148346
weather,max. PAR (�mol/m�/s),49261,50413,0.9972471425946632,0.0131079893896458,0.051891804,0.029246807,0.06674194,0.0143966675
weather,PAR (�mol/m�/s),44653,45805,0.997178754916874,0.2148929761517466,0.07329273,0.19520807,0.08701992,0.18148088
weather,p (mbar),46189,52333,0.9971726191092484,-0.0344358764170541,0.6068373,0.407434,1.2945528,0.28028154
