dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
PEMS08,57,15565,17293,0.999566597688139,0.2813413244674792,0.0803709,0.4230008,0.18281054,0.52544045
PEMS08,52,15565,17293,0.9994222300517872,0.1489633297419849,0.17741823,0.15968132,0.010270119,0.02800703
PEMS08,54,15181,17485,0.9993910331293022,0.2040988796629941,0.6697502,0.79852486,0.74194145,0.8707161
PEMS08,2,14989,15565,0.9993415970114206,0.2866267038886076,0.022388458,0.20937347,0.14948654,0.33647156
PEMS08,166,15565,16141,0.9992984719168976,0.2802177474510778,0.11346531,0.030578136,0.20929146,0.12640429
PEMS08,126,14925,16077,0.9991826346362376,0.2440249408796831,1.0295653,0.34181452,0.9195547,0.2318039
PEMS08,125,14925,16077,0.9991826346362376,0.2440249408796831,0.9774747,0.83842945,0.3640523,0.22500706
PEMS08,121,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,48,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,80,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,123,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,122,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,141,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,61,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,142,14925,16077,0.9991826346362376,0.2440249408796831,0.9484048,0.7046833,0.27078104,0.027059555
PEMS08,64,14925,16077,0.9991826346362376,0.2440249408796831,0.90345573,0.16427994,1.0175371,0.27836132
PEMS08,124,14925,16077,0.9991710841844532,0.2448045758651475,0.9350362,0.7061157,0.2585702,0.029649734
PEMS08,153,14925,16077,0.9991506892509644,0.2717636739617515,2.0576103,1.3247459,1.7638936,1.0310292
PEMS08,60,14925,16077,0.9991433249537516,0.2470734728032629,1.9699235,1.1993499,1.7342687,0.96369505
PEMS08,83,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,159,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,70,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,81,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,84,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,55,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,73,14925,16077,0.9991433249537516,0.2470734728032629,1.5142758,1.1846502,1.1559286,0.826303
PEMS08,62,14925,16077,0.9991226004226754,0.2657967347478787,1.731034,1.3678267,1.4798853,1.116678
PEMS08,109,14925,16077,0.9991226004226754,0.2657967347478787,1.731034,1.3678267,1.4798853,1.116678
PEMS08,149,14925,16077,0.9991226004226754,0.2657967347478787,1.7310345,1.3678262,1.4798856,1.1166773
PEMS08,154,14925,16077,0.9991226004226754,0.2657967347478787,1.0541587,0.321671,0.9480891,0.21560144
PEMS08,50,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,116,14925,16077,0.9990964641995294,0.298051242199367,1.7573833,1.1210823,1.4535275,0.8172264
PEMS08,91,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,90,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,89,14925,16077,0.9990964641995294,0.298051242199367,1.40308,0.5484996,1.2940392,0.43945885
PEMS08,144,14925,16077,0.9990964641995294,0.298051242199367,0.75372505,0.13300943,0.6527424,0.032026768
PEMS08,75,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,131,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,145,14925,16077,0.9990964641995294,0.298051242199367,1.8003547,1.4246829,1.4138298,1.0381579
PEMS08,85,14925,16077,0.9990964641995294,0.298051242199367,3.247644,2.418467,3.1976807,2.3685038
PEMS08,115,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,74,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,51,14925,16077,0.9990964641995294,0.298051242199367,1.7386479,1.2892275,1.4035044,0.9540839
PEMS08,63,14989,15565,0.9990593411094484,0.1769712448440994,1.3796396,0.8007114,1.5533679,0.9744396
PEMS08,56,14989,15565,0.9990231613993116,0.1761406429258702,0.117311,0.027183533,0.32128382,0.23115635
PEMS08,45,14925,16077,0.9990024864070368,0.2426089160181782,0.6940541,0.45550585,0.7882352,0.5496869
PEMS08,20,15565,17293,0.9989842797901508,0.1298339412992586,0.08023405,0.22793198,0.43421292,0.58191085
PEMS08,9,15885,17613,0.998882224818729,0.1923120544662939,0.34433413,0.283741,0.13455439,0.19514751
PEMS08,71,15565,16141,0.9988085538197142,0.1623539359837527,0.24289036,0.13632154,0.6534631,0.5468943
PEMS08,143,14989,17293,0.9987749771317712,-0.1973073671461267,0.5077834,0.37245274,0.8683486,0.7330179
PEMS08,25,15885,17613,0.9987718316591774,0.007878590859796,0.0065569878,0.19685411,0.12781763,0.062479496
PEMS08,99,16141,17293,0.9987463870013906,0.1605753537725036,0.3610506,0.7867677,0.13547397,0.29024315
PEMS08,54,15501,16077,0.9987379750802028,0.2031266230745203,0.044731617,0.05115652,0.13291454,0.12648964
PEMS08,54,15821,16973,0.9987351045247288,0.2096533016037962,0.08243704,0.16416359,0.2847035,0.5313041
PEMS08,34,16141,17293,0.9986752790890496,-0.053245920342999,0.14082098,0.123977184,0.5535252,0.8183234
PEMS08,166,14989,17293,0.9986480786199924,0.2222324481885279,1.8765705,1.3125665,2.0883381,1.5243342
PEMS08,3,14989,15565,0.9986304618500792,-0.0193775177665877,0.05192089,0.09331894,0.22958088,0.27097893
PEMS08,0,14989,17293,0.9986216658519724,0.094891933621626,0.10183549,0.37694693,0.19521117,0.4703226
PEMS08,86,16141,17293,0.9985472291185178,0.2005892378860178,0.22981787,0.048493862,0.24332571,0.42464972
PEMS08,32,14989,16141,0.9984346909295828,0.0441004821792247,0.39894867,0.034010172,0.40817928,0.043240786
PEMS08,109,14669,16397,0.9984318352923314,0.1302736761517991,0.1566875,0.055719137,0.17655492,0.07558656
PEMS08,154,14669,16397,0.9984318352923314,0.1302736761517991,0.7399163,0.37249374,1.1533275,0.040917397
PEMS08,62,14669,16397,0.9984318352923314,0.1302736761517991,0.1566875,0.055719137,0.17655492,0.07558656
PEMS08,149,14669,16397,0.9984318352923314,0.1302736761517991,0.15668774,0.055717945,0.17655444,0.07558465
PEMS08,145,14669,16397,0.9984237465473156,0.1311966902826662,0.1544118,0.09646511,0.2619176,0.011040688
PEMS08,144,14669,16397,0.9984237465473156,0.1311966902826662,0.30002594,0.30255318,0.5797882,0.022790909
PEMS08,75,14669,16397,0.9984237465473156,0.1311966902826662,0.111261845,0.026504517,0.18302774,0.098270416
PEMS08,115,14669,16397,0.9984237465473156,0.1311966902826662,0.111261845,0.026504517,0.18302774,0.098270416
PEMS08,85,14669,16397,0.9984237465473156,0.1311966902826662,0.6917143,0.15391207,0.27032948,0.26747274
PEMS08,51,14669,16397,0.9984237465473156,0.1311966902826662,0.111261845,0.026504517,0.18302774,0.098270416
PEMS08,90,14669,16397,0.9984237465473156,0.1311966902826662,0.111261845,0.026504517,0.18302774,0.098270416
