dataset,channel,start_i,start_j,trend_corr,residual_corr,d_A,d_B,d_ctrl_A,d_ctrl_B
ZafNoo,swc_deep,15892,16852,0.9964274610951304,0.0866882974713211,1.1594496,1.6864867,1.1220317,1.6490688
ZafNoo,swc_deep,15956,16148,0.994901419376525,0.0159464048996668,0.29321718,0.38105965,1.1824844,0.50820756
ZafNoo,swc_deep,16596,17684,0.9899589917300318,0.0773849053357659,2.5981047,3.4060414,2.5462933,3.35423
ZafNoo,swc_deep,15764,18900,0.9863691711082112,-0.033933124100845,1.6481545,1.8930943,1.5766151,1.8215549
ZafNoo,precip,17812,18964,0.9829643175460088,-0.2354886557479839,0.7333174,0.4115243,0.90149736,0.5797043
ZafNoo,swc_deep,16276,17236,0.9819274620786927,0.1209765220750022,0.40536547,0.6407645,0.2987764,0.06337738
ZafNoo,swc_deep,17364,18196,0.9805527069038236,0.0403904875363304,1.4052022,1.5477164,1.4995284,1.6420426
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15828,16212,0.9740518941355794,0.2556526062791543,0.2906742,0.5289364,0.2620852,0.5575254
ZafNoo,rh,15380,18068,0.9700080295840184,0.2570580927108159,0.25413465,0.49914145,0.33429098,0.41898513
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15508,17044,0.9692420250840574,0.2677351426699216,0.009053946,0.17913032,0.07998085,0.10820341
ZafNoo,swc_shallow,15764,17492,0.963020679832122,0.2175278495327167,1.6952736,2.3338745,1.8553557,2.4939566
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16532,16916,0.9621173983784224,0.2635181287609882,0.07680154,0.19052553,0.15325618,0.11407089
ZafNoo,swc_deep,16212,17620,0.9607786659041976,-0.1230224242709829,1.8408043,4.5546274,1.9677474,4.6815705
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15764,17108,0.9561950693687687,0.2217448377838103,0.09917307,0.4484024,0.29399443,0.25358105
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15444,16980,0.9550821482372384,0.1752041471057634,0.12379098,0.22130728,0.13396788,0.21113038
ZafNoo,swc_shallow,17108,17556,0.9513507637249238,-0.18500801841487,0.6799512,2.0710635,0.39022112,1.7813334
ZafNoo,swc_deep,16340,17812,0.9501734196492402,0.0205669726363127,1.4144883,2.6203184,1.316489,2.522319
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,15700,17620,0.9472489849651352,0.218373630447463,0.010560274,0.2129345,0.022867441,0.20062733
ZafNoo,ZAF_NOO_E3_IRR_Mdo_Jt_2,16020,16404,0.9421133753222656,0.2789518313892284,0.21808004,0.27290034,0.22472739,0.266253
ZafNoo,rh,16596,18900,0.941807208864163,0.0949235393538521,0.057285547,0.7970717,0.11286402,0.62692213
ZafNoo,swc_shallow,17620,18260,0.941051563081342,-0.1502662523703055,3.2213128,3.54971,3.1745582,3.5029554
